case_key,family,gold,d0d3_local,entertained,failed,n_failed
DA_d2_heldout100/272,DA,"Window-Period Acute Myocardial Infarction",D3,multistance;impc;forest,multistance;impc;forest,3
DA_d2_heldout100/348,DA,"Asymptomatic posterior corneal dystrophy",D1,multistance;impc,impc,1
DA_d2_heldout200b/522,DA,"Catatonia related to underlying Lewy body dementia",D1,collapse3c;multistance;impc;forest,multistance;forest,2
DA_d2_heldout200b/551,DA,"Linagliptin-induced acute pancreatitis",D2,collapse3c;multistance;impc;forest,multistance,1
DA_d2_heldout200b/566,DA,"High-grade (3A) follicular lymphoma, stage IVB",D2,multistance;impc;forest,forest,1
DA_d2_heldout200b/646,DA,"Radiation-induced solitary rectal ulcer",D2,collapse3c;multistance;impc;forest,collapse3c;impc;forest,3
DA_d2_heldout200b/773,DA,"Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO)",D3,collapse3c;multistance;impc;forest,multistance;impc;forest,3
DA_d2_seq100/119,DA,"Eruptive pruritic papular porokeratosis (EPPP)",D2,impc,impc,1
DA_d2_seq100/19,DA,"Follicular thyroid carcinoma with manubrial invasion",D2,multistance;impc;forest,multistance,1
DA_d2_seq100/5,DA,"Left maxillary giant cell reparative granuloma (GCRG)",D3,collapse3c;multistance;impc;forest,impc,1
MCR_seq200b/257,MCR,"collar button abscess",D3,multistance,multistance,1
MCR_seq200b/326,MCR,"Brucellosis",D3,collapse3c;multistance;impc;forest,collapse3c;multistance;impc;forest,4
MCR_seq200b/409,MCR,"Chronic necrotizing pancreatitis",D3,collapse3c;multistance;forest,collapse3c;multistance;forest,3
MCR_seq200b/475,MCR,"Parsonage Turner Syndrome",D3,collapse3c;multistance,collapse3c;multistance,2
MCR_v1_seq100/49,MCR,"StumpAppendicitis",D3,collapse3c;multistance;impc;forest,impc;forest,2
MCR_v1_seq100/56,MCR,"Spindle cell squamous cell carcinoma",D2,collapse3c;multistance;impc;forest,collapse3c;multistance;impc;forest,4
MCR_v1_seq100/74,MCR,"Catecholaminergic polymorphic ventricular tachycardia",D3,collapse3c;multistance;impc;forest,collapse3c;multistance;impc,3
MCR_v1_seq100/91,MCR,"Angiosarcoma",D2,multistance,multistance,1
MCR_v2_seq100/146,MCR,"Diffuse large B cell lymphoma",D3,multistance,multistance,1
MCR_v2_seq100/179,MCR,"hypoxia-induced thrombocytopenia",D1,multistance;impc;forest,multistance;impc;forest,3
MCR_v2_seq100/202,MCR,"Mantle cell lymphoma",D2,multistance,multistance,1
MCR_v2_seq100/234,MCR,"SpindleCellHemangioma",D1,multistance,multistance,1
