case_id,in_set_a,mapper_opt1,mapper_opt2,mapper_rr,L1-prior-only_opt1,L1-prior-only_opt2,L1-prior-only_rr,L1-prior-only_gr,L1-posterior+expand_opt1,L1-posterior+expand_opt2,L1-posterior+expand_rr,L1-posterior+expand_gr,L2-joint_opt1,L2-joint_opt2,L2-joint_rr,L2-joint_gr
33,0,1,1,1.0,0,0,0.2,5,0,0,0.2,5,0,1,0.5,2
4,1,0,1,0.5,0,0,0.2,5,0,0,0.2,5,0,1,0.5,2
27,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
40,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,0,0.3333333333333333,3
11,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
60,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
28,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
39,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
59,1,0,1,0.5,0,1,0.5,2,0,1,0.5,2,0,1,0.5,2
12,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
5,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
62,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
67,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
57,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
22,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
36,0,1,1,1.0,0,1,0.5,2,0,1,0.5,2,1,1,1.0,1
29,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,1,0.5,2
15,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
3,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
21,0,1,1,1.0,0,0,0.25,4,0,0,0.25,4,1,1,1.0,1
7,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
19,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,0,1,0.5,2
63,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
45,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
219,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
95,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
83,0,0,0,0.3333333333333333,0,0,0.3333333333333333,3,0,0,0.25,4,0,0,0.25,4
164,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
188,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
149,0,1,1,1.0,0,1,0.5,2,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3
242,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
211,0,1,1,1.0,0,0,0.25,4,0,0,0.25,4,1,1,1.0,1
186,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,1,0.5,2
118,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
205,1,0,1,0.5,0,1,0.5,2,0,0,0.3333333333333333,3,0,0,0.25,4
122,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,0,0.3333333333333333,3
163,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,1,0.5,2
129,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
182,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
117,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,0,0.2,5
102,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
181,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,0,0,0.3333333333333333,3
249,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
194,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
111,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
107,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
165,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,0,0.25,4
125,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
167,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
161,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
214,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,1,0.5,2
220,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
233,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,0,0.25,4
228,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
231,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
103,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
229,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
132,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
119,0,1,1,1.0,0,1,0.5,2,1,1,1.0,1,1,1,1.0,1
139,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
156,0,1,1,1.0,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3,1,1,1.0,1
72,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
90,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,0,0.2,5
100,1,0,1,0.5,1,1,1.0,1,1,1,1.0,1,0,0,0.3333333333333333,3
216,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
114,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
237,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
99,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
246,1,0,1,0.5,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3
207,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
76,0,1,1,1.0,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3,1,1,1.0,1
89,0,1,1,1.0,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3,0,0,0.25,4
128,0,1,1,1.0,0,1,0.5,2,0,1,0.5,2,1,1,1.0,1
227,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,0,0,0.25,4
81,0,1,1,1.0,0,1,0.5,2,0,1,0.5,2,1,1,1.0,1
137,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
120,1,0,1,0.5,1,1,1.0,1,0,1,0.5,2,0,1,0.5,2
97,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
174,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
243,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
198,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
74,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
183,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
202,0,1,1,1.0,0,1,0.5,2,0,1,0.5,2,1,1,1.0,1
226,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
134,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
190,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
206,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
225,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
150,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
124,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
177,1,0,1,0.5,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3,0,1,0.5,2
187,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
87,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
151,1,0,1,0.5,0,1,0.5,2,0,1,0.5,2,0,1,0.5,2
158,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
147,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
140,0,1,1,1.0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1
241,0,0,0,0.0,0,0,0.0,,0,0,0.0,,0,0,0.0,
173,1,0,1,0.5,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3,0,0,0.3333333333333333,3
