dataset,slice,case_id,gold,layer,e7_fail_code,e7_locus,APHHM_fail_code,vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,vig_histo_dens,vig_imaging_dens,vig_course_dens,vig_histo_hits,vig_imaging_hits,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,n_option_near_pairs,max_distractor_gold_jaccard,champion_option_echo,e7_s2_n,e7_s3_n,e7_s2_rank_gold,e7_s2_near_n,e7_s3_near_n,e7_champ_gold_jaccard,e7_mapper_rescue,e7_correct,B06_correct,B07_correct
mcr,mcr_v1,1,schwannoma,,s2_miss,s2_miss,aphhm_tree_miss,1653,247,21,2,1,0.8097165991902834,0.4048582995951417,0.0,0.4048582995951417,2.834008097165992,0,1,10,1,0,0,0,1,0,,,,0,0.0,,50.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,2,5-oxoprolinemia,,s2_gold_low_rank,s2_hit_s3_drop,aphhm_tree_miss,2266,318,38,2,5,0.628930817610063,1.5723270440251573,0.0,0.0,1.8867924528301887,0,0,15,2,0,0,0,1,0,,,,0,0.0,,48.0,5.0,21.0,0.0,0.0,0.0,1,1,1,0
mcr,mcr_v1,3,Eosinophilic granulomatosis with polyangiitis,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_prune,2145,307,27,3,4,0.9771986970684038,1.3029315960912053,0.0,0.9771986970684039,2.9315960912052117,0,3,45,4,0,1,0,1,0,,,,0,0.0,,47.0,5.0,24.0,1.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,4,IgG4-related hypophysitis,,ok,ok,aphhm_ok,1617,237,31,3,1,1.2658227848101267,0.42194092827004215,0.0,1.6877637130801688,1.2658227848101267,0,4,25,3,0,0,0,1,0,,,,0,0.0,,51.0,5.0,1.0,4.0,2.0,1.0,0,1,1,1
mcr,mcr_v1,5,cryptococcoma,,s2_miss,s2_miss,aphhm_tree_miss,1619,242,31,6,2,2.479338842975207,0.8264462809917356,0.4132231404958678,1.2396694214876034,1.2396694214876034,1,3,13,1,0,0,0,1,0,,,,0,0.0,,51.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,6,Exophiala xenobiotica keratitis,,s2_miss,s2_miss,aphhm_prune,1704,252,22,1,3,0.3968253968253968,1.1904761904761905,0.0,0.0,1.5873015873015872,0,0,31,3,0,0,0,1,0,,,,0,0.0,,56.0,5.0,,13.0,5.0,0.25,0,0,0,0
mcr,mcr_v1,7,Wunderlich syndrome,,s2_miss,s2_miss,aphhm_tree_miss,1482,217,17,2,1,0.9216589861751152,0.4608294930875576,0.0,0.9216589861751152,0.9216589861751152,0,2,19,2,0,0,0,1,0,,,,0,0.0,,46.0,5.0,,9.0,1.0,0.0,0,0,0,0
mcr,mcr_v1,8,Liver metastasis from colon cancer,,s2_miss,s2_miss,aphhm_prune,1400,200,21,3,3,1.5,1.5,1.0,1.0,1.5,2,2,34,5,0,0,0,1,0,,,,0,0.0,,48.0,5.0,,21.0,1.0,0.333,1,1,1,0
mcr,mcr_v1,11,Multisystem inflammatory syndrome in children,base_win_recall,s2_miss,s2_miss,aphhm_judge_miss,3289,473,45,6,2,1.2684989429175475,0.42283298097251587,0.0,0.42283298097251587,1.0570824524312896,0,2,45,5,0,0,0,1,0,,,,0,0.0,,65.0,5.0,,9.0,2.0,0.143,0,0,0,1
mcr,mcr_v1,12,Tumor-induced osteomalacia,,ok,ok,aphhm_ok,2288,337,45,3,0,0.8902077151335311,0.0,0.0,0.8902077151335311,1.1869436201780414,0,3,26,3,0,0,0,1,0,,,,0,0.0,,48.0,5.0,9.0,2.0,0.0,1.0,0,1,1,1
mcr,mcr_v1,13,Compound odontoma,,ok,ok,aphhm_ok,1094,166,16,1,1,0.6024096385542169,0.6024096385542169,0.0,0.6024096385542169,1.2048192771084338,0,1,17,2,0,0,0,1,0,,,,0,0.0,,42.0,5.0,1.0,2.0,1.0,1.0,0,1,1,1
mcr,mcr_v1,15,leiomyomatous hamartoma,,s2_miss,s2_miss,aphhm_prune,1019,155,18,1,0,0.6451612903225806,0.0,0.0,0.6451612903225806,1.2903225806451613,0,1,23,2,0,0,0,1,0,,,,0,0.0,,41.0,5.0,,1.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,16,LocalizedUrethralAmyloidosis,,s2_miss,s2_miss,aphhm_prune,1433,193,18,1,2,0.5181347150259068,1.0362694300518136,0.5181347150259067,0.0,3.626943005181347,1,0,28,1,0,0,0,1,0,,,,0,0.0,,50.0,5.0,,0.0,0.0,0.0,1,1,0,1
mcr,mcr_v1,17,immune-related pneumonitis,,s2_miss,s2_miss,aphhm_tree_miss,1961,262,27,5,2,1.9083969465648856,0.7633587786259541,0.7633587786259542,1.1450381679389312,3.435114503816794,2,3,26,3,0,0,0,1,0,,,,0,0.0,,55.0,5.0,,3.0,2.0,0.333,1,1,1,0
mcr,mcr_v1,18,Schwannoma,,s2_miss,s2_miss,aphhm_tree_miss,1263,182,20,3,0,1.6483516483516485,0.0,0.0,1.098901098901099,1.6483516483516483,0,2,10,1,0,0,0,1,0,,,,0,0.0,,51.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,19,Leiomyosarcoma,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_ok,1534,218,20,3,6,1.3761467889908259,2.7522935779816518,0.0,0.9174311926605505,1.3761467889908257,0,2,14,1,0,0,0,1,0,,,,0,0.0,,44.0,5.0,11.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,20,Type 4 renal tubular acidosis,all_miss_but_recalled,s2_miss,s2_miss,aphhm_tree_miss,2781,419,42,4,2,0.9546539379474941,0.47732696897374705,0.2386634844868735,0.2386634844868735,2.863961813842482,1,1,29,5,0,1,0,1,0,,,,0,0.0,,52.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,21,Fibrous dysplasia,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,1167,184,17,2,3,1.0869565217391304,1.6304347826086956,0.0,1.0869565217391304,3.260869565217391,0,2,17,2,0,0,0,1,0,,,,0,0.0,,51.0,5.0,2.0,2.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,22,adenomatoid tumor,,ok,ok,aphhm_ok,1024,154,18,0,0,0.0,0.0,0.0,0.0,3.2467532467532467,0,0,17,2,0,0,0,1,0,,,,0,0.0,,43.0,5.0,4.0,7.0,0.0,1.0,0,1,1,0
mcr,mcr_v1,23,AdenoidCysticCarcinoma,,s2_miss,s2_miss,aphhm_tree_miss,1780,272,23,3,2,1.1029411764705883,0.7352941176470588,0.0,0.7352941176470589,1.838235294117647,0,2,22,1,0,0,0,1,0,,,,0,0.0,,47.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,24,Superior mesenteric artery syndrome,,ok,ok,aphhm_ok,1574,224,17,2,6,0.8928571428571428,2.6785714285714284,0.0,0.8928571428571429,2.232142857142857,0,2,35,4,0,0,0,1,0,,,,0,0.0,,50.0,5.0,1.0,5.0,1.0,1.0,0,1,1,1
mcr,mcr_v1,26,Self-limited epilepsy with autonomic seizures,,s2_miss,s2_miss,aphhm_tree_miss,2210,319,24,2,6,0.6269592476489028,1.8808777429467085,0.0,0.31347962382445144,1.567398119122257,0,1,45,6,0,1,0,1,0,,,,0,0.0,,51.0,5.0,,3.0,1.0,0.111,0,0,0,0
mcr,mcr_v1,27,Massive ovarian edema,,s2_miss,s2_miss,aphhm_tree_miss,2623,384,46,2,0,0.5208333333333333,0.0,0.0,0.78125,0.78125,0,3,21,3,0,0,0,1,0,,,,0,0.0,,49.0,5.0,,28.0,3.0,0.25,0,0,0,0
