vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,has_pe_section,has_tests_section,dataset,slice,case_id,y_e7_chain_fail,y_base_win_chain,y_s4_miss,journal_len,title_len
1603,224,19,1,0,0.4464285714285714,0.0,41,4,0,0,0,1,4,1,1.0,3,0,0,da,d2_seq100,3,0,0,0,,
1917,248,11,0,0,0.0,0.0,29,3,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,4,1,1,0,,
1303,193,19,2,1,1.0362694300518136,0.5181347150259068,53,7,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,5,1,0,0,,
1421,197,13,2,0,1.015228426395939,0.0,35,5,0,0,1,1,4,1,1.0,2,0,1,da,d2_seq100,7,1,0,1,,
1549,193,9,4,0,2.072538860103627,0.0,54,7,0,1,0,1,4,1,1.0,1,0,1,da,d2_seq100,11,1,0,0,,
1327,186,10,3,0,1.6129032258064515,0.0,68,8,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,12,1,0,0,,
1765,254,17,3,0,1.1811023622047243,0.0,27,3,0,0,0,1,4,1,1.0,3,0,0,da,d2_seq100,15,0,0,0,,
1374,192,17,2,0,1.0416666666666665,0.0,52,6,0,1,0,1,4,1,1.0,1,0,0,da,d2_seq100,19,1,0,1,,
1830,258,20,1,0,0.3875968992248062,0.0,60,7,0,1,0,1,4,1,1.0,1,0,1,da,d2_seq100,21,1,0,0,,
2118,271,16,4,1,1.4760147601476015,0.36900369003690037,84,8,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,22,1,0,1,,
1954,263,19,4,1,1.520912547528517,0.38022813688212925,27,3,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,27,0,0,0,,
1081,152,9,1,0,0.6578947368421052,0.0,78,9,0,1,1,1,4,1,1.0,1,0,1,da,d2_seq100,28,1,0,0,,
1873,261,13,2,0,0.7662835249042145,0.0,95,9,0,1,0,1,4,1,1.0,1,0,1,da,d2_seq100,29,1,0,0,,
1750,250,18,1,0,0.4,0.0,90,14,0,0,0,1,4,1,1.0,1,1,1,da,d2_seq100,33,1,0,0,,
1702,219,16,5,0,2.28310502283105,0.0,38,4,0,0,1,1,4,1,1.0,2,0,1,da,d2_seq100,36,0,0,0,,
2121,271,20,4,0,1.4760147601476015,0.0,24,3,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,39,1,0,0,,
1591,215,13,0,0,0.0,0.0,80,12,0,0,0,1,4,1,1.0,2,0,0,da,d2_seq100,40,1,1,1,,
1729,232,11,3,0,1.293103448275862,0.0,60,7,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,45,1,1,1,,
1602,227,11,2,0,0.881057268722467,0.0,35,4,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,57,1,0,0,,
1750,252,23,0,0,0.0,0.0,57,7,0,1,0,1,4,1,1.0,2,0,0,da,d2_seq100,59,1,1,0,,
1427,210,11,0,0,0.0,0.0,45,7,0,0,1,1,4,1,1.0,2,0,0,da,d2_seq100,60,0,0,0,,
1923,270,14,5,1,1.8518518518518516,0.3703703703703704,56,7,0,1,0,1,4,1,1.0,2,0,1,da,d2_seq100,62,0,0,0,,
1142,155,10,0,0,0.0,0.0,84,11,0,1,0,1,4,1,1.0,2,0,0,da,d2_seq100,63,1,1,0,,
1117,162,15,0,0,0.0,0.0,39,6,0,1,0,1,4,1,1.0,1,0,0,da,d2_seq100,67,1,0,0,,
1204,168,11,1,0,0.5952380952380952,0.0,48,6,0,0,0,1,4,1,1.0,1,1,0,da,d2_seq100,72,0,0,0,,
1593,230,13,1,1,0.43478260869565216,0.43478260869565216,86,11,0,1,0,1,4,1,1.0,2,0,0,da,d2_seq100,74,1,1,1,,
1663,238,17,4,1,1.680672268907563,0.42016806722689076,69,10,0,1,0,1,4,1,1.0,1,0,0,da,d2_seq100,76,1,1,1,,
1787,214,8,1,0,0.46728971962616817,0.0,86,8,0,1,1,1,4,1,1.0,1,0,1,da,d2_seq100,81,1,0,0,,
1336,174,13,0,0,0.0,0.0,31,5,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,83,1,0,0,,
1518,227,15,1,0,0.4405286343612335,0.0,15,1,0,0,0,1,4,1,1.0,1,1,1,da,d2_seq100,87,0,0,0,,
1842,251,21,1,0,0.398406374501992,0.0,98,8,0,1,0,1,4,1,1.0,2,0,1,da,d2_seq100,89,1,0,0,,
1674,216,16,1,0,0.4629629629629629,0.0,19,2,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,90,1,0,0,,
1329,192,9,1,0,0.5208333333333333,0.0,59,8,0,0,1,2,4,1,1.0,1,0,0,da,d2_seq100,95,1,0,0,,
1267,158,9,2,0,1.2658227848101267,0.0,42,6,0,0,1,1,4,1,1.0,2,0,1,da,d2_seq100,97,0,0,0,,
1349,168,14,0,0,0.0,0.0,39,4,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,99,0,0,0,,
1725,231,14,0,4,0.0,1.7316017316017316,49,5,0,0,1,1,4,1,1.0,2,0,0,da,d2_seq100,100,1,0,1,,
2049,269,23,1,0,0.37174721189591076,0.0,38,4,0,0,1,1,4,1,1.0,2,0,0,da,d2_seq100,102,1,0,0,,
1706,236,15,0,0,0.0,0.0,78,9,0,1,1,1,4,1,1.0,2,0,0,da,d2_seq100,103,0,0,0,,
1783,248,18,4,1,1.6129032258064515,0.4032258064516129,20,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_seq100,107,1,0,0,,
1402,199,15,1,0,0.5025125628140703,0.0,21,3,0,0,0,1,4,1,1.0,2,1,0,da,d2_seq100,111,0,0,0,,
1299,181,15,1,0,0.5524861878453038,0.0,52,5,0,0,1,1,4,1,1.0,1,0,1,da,d2_seq100,114,1,0,0,,
1386,207,16,3,0,1.4492753623188406,0.0,37,4,0,1,0,1,4,1,1.0,1,0,1,da,d2_seq100,117,1,0,0,,
2000,271,13,4,0,1.4760147601476015,0.0,84,10,0,1,0,1,4,1,1.0,1,0,1,da,d2_seq100,118,1,0,0,,
1825,249,13,2,0,0.8032128514056224,0.0,46,5,0,0,1,1,4,1,1.0,1,0,1,da,d2_seq100,119,1,0,0,,
1048,150,16,0,0,0.0,0.0,18,3,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,120,1,0,0,,
1520,200,16,1,0,0.5,0.0,57,7,0,0,1,1,4,1,1.0,1,0,1,da,d2_seq100,122,1,0,0,,
2251,297,12,4,1,1.3468013468013467,0.33670033670033667,80,10,0,0,0,1,4,1,1.0,2,0,0,da,d2_seq100,124,1,0,0,,
1618,239,15,1,0,0.41841004184100417,0.0,43,6,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,125,1,0,0,,
1482,208,9,2,0,0.9615384615384616,0.0,22,2,0,0,0,1,4,1,1.0,2,0,0,da,d2_seq100,128,0,0,0,,
1873,231,12,1,2,0.4329004329004329,0.8658008658008658,134,15,0,1,1,1,4,1,1.0,2,1,1,da,d2_seq100,129,1,0,1,,
2006,293,20,1,0,0.3412969283276451,0.0,109,15,0,1,1,1,4,1,1.0,1,0,1,da,d2_seq100,132,1,0,0,,
1858,252,22,6,0,2.380952380952381,0.0,70,10,0,1,1,1,4,1,1.0,1,1,0,da,d2_seq100,134,1,0,0,,
1450,186,15,0,0,0.0,0.0,20,2,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,137,1,1,0,,
1410,180,9,7,0,3.888888888888889,0.0,82,9,0,1,1,1,4,1,1.0,1,0,1,da,d2_seq100,139,1,0,0,,
1366,193,17,2,0,1.0362694300518136,0.0,39,3,0,0,0,1,4,1,1.0,1,0,1,da,d2_seq100,140,1,1,1,,
2314,346,15,2,0,0.5780346820809248,0.0,71,10,0,0,1,1,4,1,1.0,1,0,1,da,d2_seq100,147,1,0,0,,
1834,260,14,4,0,1.5384615384615385,0.0,40,8,0,0,1,1,4,1,1.0,2,0,0,da,d2_seq100,149,1,1,1,,
1247,164,8,0,0,0.0,0.0,54,8,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,150,1,1,0,,
1686,243,17,0,0,0.0,0.0,53,7,0,0,0,1,4,1,1.0,2,0,0,da,d2_seq100,151,1,0,0,,
992,127,11,1,0,0.7874015748031495,0.0,99,13,0,1,1,1,4,1,1.0,1,0,0,da,d2_seq100,156,1,1,1,,
1426,211,14,1,0,0.47393364928909953,0.0,21,2,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,158,1,0,0,,
1712,247,15,0,0,0.0,0.0,42,4,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,161,1,0,0,,
2005,265,13,5,0,1.8867924528301887,0.0,115,12,0,1,1,1,4,1,1.0,2,0,1,da,d2_seq100,163,1,1,0,,
1559,206,13,6,2,2.912621359223301,0.9708737864077669,75,8,0,1,1,1,4,1,1.0,1,0,1,da,d2_seq100,164,1,0,0,,
1659,234,12,3,1,1.282051282051282,0.4273504273504274,36,4,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,165,1,0,0,,
1961,248,12,3,0,1.2096774193548387,0.0,57,6,0,0,0,1,4,1,1.0,1,0,1,da,d2_seq100,167,1,0,0,,
902,130,10,1,0,0.7692307692307693,0.0,18,2,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,173,1,0,0,,
1551,212,16,6,1,2.8301886792452833,0.4716981132075472,44,7,0,0,0,2,4,1,1.0,1,0,1,da,d2_seq100,174,1,0,0,,
1400,196,22,1,0,0.5102040816326531,0.0,92,11,0,0,1,1,4,1,1.0,1,0,1,da,d2_seq100,177,1,1,1,,
1690,230,11,1,0,0.43478260869565216,0.0,36,3,0,0,1,1,4,1,1.0,1,1,0,da,d2_seq100,181,1,0,0,,
1118,167,20,0,0,0.0,0.0,52,6,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,182,1,0,0,,
2189,304,14,3,0,0.9868421052631579,0.0,101,13,0,1,1,1,4,1,1.0,1,0,1,da,d2_seq100,183,0,0,0,,
1666,220,20,3,0,1.3636363636363635,0.0,66,7,0,1,0,1,4,1,1.0,1,0,1,da,d2_seq100,186,1,1,1,,
1471,196,11,1,0,0.5102040816326531,0.0,21,2,0,0,0,1,4,1,1.0,1,1,0,da,d2_seq100,187,1,0,0,,
1868,261,15,1,0,0.38314176245210724,0.0,56,9,0,1,1,1,4,1,1.0,1,1,1,da,d2_seq100,188,1,1,1,,
1415,201,12,4,0,1.9900497512437811,0.0,76,10,0,1,0,1,4,1,1.0,1,1,0,da,d2_seq100,190,1,0,0,,
1134,165,14,0,0,0.0,0.0,41,6,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,194,1,0,1,,
746,95,9,0,0,0.0,0.0,27,4,0,0,0,1,4,1,1.0,1,1,0,da,d2_seq100,198,1,1,1,,
1140,163,17,2,0,1.2269938650306749,0.0,65,11,0,0,0,1,4,1,1.0,1,0,1,da,d2_seq100,202,0,0,0,,
2071,287,15,5,0,1.7421602787456445,0.0,30,3,0,0,0,1,4,1,1.0,1,0,1,da,d2_seq100,205,1,0,0,,
1828,258,11,1,0,0.3875968992248062,0.0,107,14,0,0,1,1,4,1,1.0,2,1,1,da,d2_seq100,206,0,0,0,,
943,121,9,2,1,1.6528925619834711,0.8264462809917356,32,4,0,0,1,1,4,1,1.0,1,0,0,da,d2_seq100,207,1,0,1,,
1794,243,20,3,0,1.2345679012345678,0.0,81,10,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,211,0,0,0,,
1088,151,13,0,0,0.0,0.0,65,9,0,1,0,1,4,1,1.0,2,0,0,da,d2_seq100,214,0,0,0,,
1023,152,11,1,0,0.6578947368421052,0.0,83,11,0,1,1,1,4,1,1.0,2,0,1,da,d2_seq100,216,1,0,0,,
1624,227,16,2,0,0.881057268722467,0.0,76,8,0,0,1,1,4,1,1.0,2,0,0,da,d2_seq100,219,1,1,1,,
1155,147,11,3,0,2.0408163265306123,0.0,61,9,0,1,1,2,4,1,1.0,1,1,0,da,d2_seq100,220,1,0,0,,
2298,323,23,5,2,1.5479876160990713,0.6191950464396285,133,17,0,0,1,1,4,1,1.0,1,0,1,da,d2_seq100,225,1,0,0,,
1867,272,15,3,0,1.1029411764705883,0.0,41,5,0,1,0,1,4,1,1.0,1,1,1,da,d2_seq100,226,1,0,0,,
1973,276,24,4,0,1.4492753623188406,0.0,19,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_seq100,227,1,1,1,,
1585,210,14,5,0,2.380952380952381,0.0,33,4,0,0,1,1,4,1,1.0,3,0,1,da,d2_seq100,228,0,0,0,,
2097,278,16,4,0,1.4388489208633095,0.0,21,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_seq100,229,1,0,0,,
1634,206,15,3,0,1.4563106796116505,0.0,44,6,0,1,0,1,4,1,1.0,1,0,0,da,d2_seq100,231,1,0,0,,
1404,172,15,3,0,1.744186046511628,0.0,41,4,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,233,0,0,0,,
1386,207,11,0,0,0.0,0.0,37,4,0,0,0,1,4,1,1.0,1,0,0,da,d2_seq100,237,1,1,0,,
1682,239,20,1,0,0.41841004184100417,0.0,44,5,0,1,0,1,4,1,1.0,1,0,0,da,d2_seq100,241,0,0,0,,
