dataset,slice,case_id,arm,locus,subcode,champion,gold,silver_cluster,silver_locus_ok,rule_locus
mcr,mcr_v2,130,aphhm_c_v1,generation_miss,view_miss_all,Breast Cancer with Axillary Lymph Node Metastasis,Clinging carcinoma in situ,unrelated,1,generation_miss
mcr,mcr_v2,162,multistance,generation_miss,view_miss_all,Orf virus infection,Milker's nodules,unrelated,1,generation_miss
mcr,mcr_v2,242,v0,generation_miss,s2_miss,Congenital Cytomegalovirus Infection,Intraventricular hemorrhage,unrelated,1,generation_miss
mcr,mcr_v1,119,aphhm_c_v1,generation_miss,view_miss_all,Ovarian Cyst,cystadenofibroma,unrelated,1,generation_miss
da,d2_heldout100,317,multistance,generation_miss,view_miss_all,Pyoderma gangrenosum,Pyoderma vegetans,parent_subtype,1,generation_miss
mcr,mcr_200b,408,collapse3c,generation_miss,view_miss_all,Clear-cell squamous cell carcinoma,sebaceous carcinoma,sibling_family,1,generation_miss
mcr,mcr_v2,145,lite,generation_miss,view_miss_all,Malrotation of the intestine,right paraduodenal hernia,unrelated,1,generation_miss
mcr,mcr_200b,443,impc,generation_miss,view_miss_all,malignant lymphoma,Thymoma,unrelated,1,generation_miss
mcr,mcr_200b,405,B07,generation_miss,draft_miss,Cardiac angiosarcoma with hepatic vein thrombosis and tumor thrombus,Synovial sarcoma,unrelated,1,generation_miss
mcr,mcr_200b,453,B06,generation_miss,agents_miss,Cemento-ossifying fibroma,osteoblastoma,unrelated,1,generation_miss
mcr,mcr_v2,161,lite,generation_miss,view_miss_all,Merkel Cell Carcinoma,EccrinePorocarcinoma,unrelated,1,generation_miss
mcr,mcr_200b,267,forest,generation_miss,view_miss_all,Abscess,T-cell lymphoma,unrelated,1,generation_miss
da,d2_heldout100,352,adaptive4v2,generation_miss,view_miss_all,Idiopathic Intracranial Hypertension,Neurocysticercosis,unrelated,1,generation_miss
da,d2_heldout200b,479,lite,generation_miss,view_miss_all,Infectious Mononucleosis,Epstein-Barr virus (EBV) hepatitis,unrelated,1,generation_miss
da,d2_heldout100,341,adaptive4v2,generation_miss,view_miss_all,Histiocytoid Sweet syndrome,Leukemia cutis secondary to juvenile myelomonocytic leukemia (JMML),unrelated,1,generation_miss
da,d2_heldout100,381,aphhm_c_v1,generation_miss,view_miss_all,Thymoma-associated multiorgan autoimmunity,Good syndrome,unrelated,1,generation_miss
da,d2_seq100,81,v0,generation_miss,s2_miss,Strongyloidiasis,Disseminated Strongyloides stercoralis infection with ocular involvement (choroiditis),unrelated,1,generation_miss
mcr,mcr_v2,147,aphhm_c_v1,generation_miss,view_miss_all,Chondroblastoma,angioleiomyoma,unrelated,1,generation_miss
da,d2_heldout100,381,collapse3c,generation_miss,view_miss_all,Paraneoplastic pemphigus,Good syndrome,unrelated,1,generation_miss
mcr,mcr_200b,389,impc,generation_miss,view_miss_all,Blastomycosis,Fusarium pneumonia,unrelated,1,generation_miss
da,d2_heldout200b,721,collapse3c,generation_miss,view_miss_all,COVID-19 with impaired humoral response,Persistent SARS-CoV-2 infection in an immunocompromised patient (long COVID),parent_subtype,1,generation_miss
mcr,mcr_200b,385,v0,generation_miss,s2_miss,Olaparib-induced thrombocytopenia,olaparib-induced purpuric drug eruption,parent_subtype,1,generation_miss
mcr,mcr_v2,136,e7,generation_miss,s2_miss,Acute Demyelinating Encephalomyelitis,glioblastoma multiforme,unrelated,1,generation_miss
mcr,mcr_v1,113,lite,generation_miss,view_miss_all,Sister Mary Joseph nodule with metastatic colon cancer,jejunal adenocarcinoma,unrelated,1,generation_miss
