dataset,slice,case_id,gold,layer,layer_aphhm,e7_correct,v0_correct,B06_correct,B07_correct,B01_correct,APHHM_correct,e7_win_vs_base,base_win_vs_e7,exclusive_arm,vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,e7_s2_n,e7_s2_recall,e7_s3_recall,e7_s4_hit,e7_fail_mode,v0_s2_n,v0_s2_recall,v0_s3_recall,v0_s4_hit,v0_fail_mode,e7_s2_gold_rank,e7_mapper_rescue,B06_recall,B06_fail_mode,B07_recall,B07_fail_mode,B01_recall,B01_fail_mode,e7_s3_n,e7_s3_near_gold_n
mcr,mcr_v1,1,schwannoma,,,0,0,0,0,0,0,0,0,,1653,247,21,2,1,0.8097165991902834,0.4048582995951417,10,1,False,False,False,1,0,,,,50.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,2,5-oxoprolinemia,,aphhm_lose,1,1,1,0,0,0,0,0,,2266,318,38,2,5,0.628930817610063,1.5723270440251573,15,2,False,False,False,1,0,,,,48.0,1,0,0,prune_miss_s3,18.0,0,0,0,recall_miss_s2,21,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,3,Eosinophilic granulomatosis with polyangiitis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,2145,307,27,3,4,0.9771986970684038,1.3029315960912053,45,4,False,True,False,1,0,,,,47.0,1,0,0,prune_miss_s3,15.0,0,0,0,recall_miss_s2,24,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,4,IgG4-related hypophysitis,,,1,1,1,1,1,1,0,0,,1617,237,31,3,1,1.2658227848101267,0.42194092827004215,25,3,False,False,False,1,0,,,,51.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,5,cryptococcoma,,,0,0,0,0,0,0,0,0,,1619,242,31,6,2,2.479338842975207,0.8264462809917356,13,1,False,False,False,1,0,,,,51.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,6,Exophiala xenobiotica keratitis,,,0,0,0,0,0,0,0,0,,1704,252,22,1,3,0.3968253968253968,1.1904761904761905,31,3,False,False,False,1,0,,,,56.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,7,Wunderlich syndrome,,,0,0,0,0,0,0,0,0,,1482,217,17,2,1,0.9216589861751152,0.4608294930875576,19,2,False,False,False,1,0,,,,46.0,0,0,0,recall_miss_s2,15.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,8,Liver metastasis from colon cancer,,,1,1,1,0,1,1,0,0,,1400,200,21,3,3,1.5,1.5,34,5,False,False,False,1,0,,,,48.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,1,cand_ok,0,recall_miss,5,0
mcr,mcr_v1,11,Multisystem inflammatory syndrome in children,base_win_recall,aphhm_lose,0,0,0,1,1,0,0,1,B07,3289,473,45,6,2,1.2684989429175475,0.42283298097251587,45,5,False,False,False,1,0,,,,65.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
mcr,mcr_v1,12,Tumor-induced osteomalacia,,,1,0,1,1,1,1,0,0,,2288,337,45,3,0,0.8902077151335311,0.0,26,3,False,False,False,1,0,,,,48.0,1,1,1,s4_ok,18.0,1,1,0,rank_miss_s4,9,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,13,Compound odontoma,,,1,1,1,1,0,1,0,0,,1094,166,16,1,1,0.6024096385542169,0.6024096385542169,17,2,False,False,False,1,0,,,,42.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,15,leiomyomatous hamartoma,,,0,0,0,0,0,0,0,0,,1019,155,18,1,0,0.6451612903225806,0.0,23,2,False,False,False,1,0,,,,41.0,0,0,0,recall_miss_s2,17.0,1,1,0,rank_miss_s4,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,16,LocalizedUrethralAmyloidosis,,,1,0,0,1,0,1,0,0,,1433,193,18,1,2,0.5181347150259068,1.0362694300518136,28,1,False,False,False,1,0,,,,50.0,0,0,0,recall_miss_s2,18.0,1,1,0,rank_miss_s4,,False,1,cand_ok,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,17,immune-related pneumonitis,,,1,1,1,0,1,1,0,0,,1961,262,27,5,2,1.9083969465648856,0.7633587786259541,26,3,False,False,False,1,0,,,,55.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,18,Schwannoma,,,0,0,0,0,0,0,0,0,,1263,182,20,3,0,1.6483516483516485,0.0,10,1,False,False,False,1,0,,,,51.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,19,Leiomyosarcoma,all_miss_but_recalled,aphhm_win,0,0,0,0,0,1,0,0,,1534,218,20,3,6,1.3761467889908259,2.7522935779816518,14,1,False,False,False,1,0,,,,44.0,1,1,0,rank_miss_s4,18.0,1,1,0,rank_miss_s4,11,False,1,cand_ok,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,20,Type 4 renal tubular acidosis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,2781,419,42,4,2,0.9546539379474941,0.47732696897374705,29,5,False,True,False,1,0,,,,52.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,1,cand_ok,0,recall_miss,5,0
mcr,mcr_v1,21,Fibrous dysplasia,all_miss_but_recalled,,0,0,0,0,1,0,0,0,,1167,184,17,2,3,1.0869565217391304,1.6304347826086956,17,2,False,False,False,1,0,,,,51.0,1,1,0,rank_miss_s4,19.0,1,1,0,rank_miss_s4,2,False,1,cand_ok,0,recall_miss,1,cand_ok,5,1
mcr,mcr_v1,22,adenomatoid tumor,,,1,1,1,0,0,1,0,0,,1024,154,18,0,0,0.0,0.0,17,2,False,False,False,1,0,,,,43.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,4,False,1,cand_ok,1,cand_ok,0,recall_miss,5,1
mcr,mcr_v1,23,AdenoidCysticCarcinoma,,,0,0,0,0,0,0,0,0,,1780,272,23,3,2,1.1029411764705883,0.7352941176470588,22,1,False,False,False,1,0,,,,47.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,24,Superior mesenteric artery syndrome,,,1,1,1,1,1,1,0,0,,1574,224,17,2,6,0.8928571428571428,2.6785714285714284,35,4,False,False,False,1,0,,,,50.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,26,Self-limited epilepsy with autonomic seizures,,,0,0,0,0,0,0,0,0,,2210,319,24,2,6,0.6269592476489028,1.8808777429467085,45,6,False,True,False,1,0,,,,51.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,27,Massive ovarian edema,,,0,0,0,0,0,0,0,0,,2623,384,46,2,0,0.5208333333333333,0.0,21,3,False,False,False,1,0,,,,49.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,28,Toxic epidermal necrolysis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,2168,298,26,3,1,1.006711409395973,0.33557046979865773,26,3,False,False,False,1,0,,,,52.0,1,1,0,rank_miss_s4,17.0,1,1,0,rank_miss_s4,2,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
