dataset,slice,case_id,gold,layer,layer_aphhm,e7_locus,e7_correct,e7_s2_recall,e7_s3_recall,e7_s4_hit,e7_s2_n,e7_s3_n,e7_champion,v0_locus,v0_correct,v0_s2_recall,v0_s3_recall,v0_s4_hit,v0_s2_n,v0_s3_n,v0_champion,B06_correct,B06_locus,B06_agents_hit,B06_supervisor_hit,B06_gold_first_discussion_turn,B06_discussion_turns,B06_votes,B07_correct,B07_locus,B07_draft_hit,B07_refine_hit,B07_diagnose_hit,B07_has_refine,B07_recovered_after_refine_drop,B07_draft,B07_diagnose,B01_correct,B01_locus,B01_rag_hit,B01_gen_hit,B01_n_queries,B01_n_chunks,APHHM_locus,APHHM_correct,APHHM_tree_recall,APHHM_final_recall,APHHM_tree_n,APHHM_final_n,APHHM_gold_leaf,APHHM_gold_parent,APHHM_human_at1
mcr,mcr_v1,1,schwannoma,,,s2_miss,0,False,False,False,50,5,Infected hematometra,s2_miss,0,False,False,False,19,5,Leiomyoma with cystic degeneration,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Infected Hematometra"", ""Uterine Fibroid with Cystic Degeneration""]","[""Infected Hematometra"", ""Uterine Fibroid with Cystic Degeneration""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,23,3,,,False
mcr,mcr_v1,2,5-oxoprolinemia,,aphhm_lose,s2_hit_s3_drop,1,True,False,False,48,5,Pyroglutamic acidemia,s2_miss,1,False,False,False,18,5,Pyroglutamic acidemia,1,supervisor_miss_but_scored_ok,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Metabolic Acidosis due to Vancomycin-Induced D-Lactic Acidosis"", ""Metabolic Acidosis due to Other Causes of High Anion Gap (e.g., Methanol or Ethylene Glycol Toxicity)""]","[""Metabolic Acidosis due to Vancomycin-Induced D-Lactic Acidosis"", ""Metabolic Acidosis due to Other Causes of High Anion Gap (e.g., Methanol or Ethylene Glycol Toxicity)""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,18,2,,,False
mcr,mcr_v1,3,Eosinophilic granulomatosis with polyangiitis,all_miss_but_recalled,,s2_hit_s3_drop,0,True,False,False,47,5,Peroneal nerve palsy,s2_miss,0,False,False,False,15,5,Peroneal nerve palsy,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Peroneal Neuropathy"", ""Lumbar Disc Herniation with Peripheral Nerve Involvement""]","[""Peroneal Neuropathy"", ""Lumbar Disc Herniation with Peripheral Nerve Involvement""]",0,rag_miss,False,False,4,12,tree_hit_final_drop,0,True,False,63,4,Eosinophilic Granulomatosis with Polyangiitis,Peripheral Neuropathy,False
mcr,mcr_v1,4,IgG4-related hypophysitis,,,ok,1,True,True,True,51,5,IgG4-related hypophysitis,ok,1,True,True,True,16,5,IgG4-related hypophysitis,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""IgG4-related hypophysitis"", ""Lymphocytic hypophysitis""]","[""IgG4-related hypophysitis"", ""Lymphocytic hypophysitis""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,26,1,IgG4-related hypophysitis,Inflammatory/Immune-Mediated Pituitary Disease,True
mcr,mcr_v1,5,cryptococcoma,,,s2_miss,0,False,False,False,51,5,Creutzfeldt-Jakob disease,s2_miss,0,False,False,False,19,5,Creutzfeldt-Jakob disease,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Glioblastoma"", ""Tumefactive Demyelination""]","[""Glioblastoma"", ""Tumefactive Demyelination""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,26,4,,,False
mcr,mcr_v1,6,Exophiala xenobiotica keratitis,,,s2_miss,0,False,False,False,56,5,Fungal keratitis,s2_miss,0,False,False,False,19,5,Fungal keratitis,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Infectious Keratitis"", ""Immunologic Rejection of the Corneal Graft""]","[""Infectious Keratitis"", ""Immunologic Rejection of the Corneal Graft""]",0,rag_hit_gen_miss,True,False,4,12,tree_hit_final_drop,0,True,False,43,1,Keratitis, Degenerative Corneal Disorder,False
mcr,mcr_v1,7,Wunderlich syndrome,,,s2_miss,0,False,False,False,46,5,Posterior urethral valves,s2_miss,0,False,False,False,15,5,Posterior urethral valves,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Posterior Urethral Valves (PUV)"", ""Ureteropelvic Junction Obstruction (UPJO)""]","[""Posterior Urethral Valves (PUV)"", ""Ureteropelvic Junction Obstruction (UPJO)""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,20,3,,,False
mcr,mcr_v1,8,Liver metastasis from colon cancer,,,s2_miss,1,False,False,False,48,5,Colorectal cancer metastasis,s2_miss,1,False,False,False,16,5,Colorectal cancer metastasis,1,supervisor_miss_but_scored_ok,True,False,0,3,3,0,diagnose_hit_judge_miss,True,False,True,True,True,"[""Liver Metastasis"", ""Hepatocellular Carcinoma""]","[""Liver Metastasis"", ""Hepatocellular Carcinoma""]",1,rag_hit_gen_miss,True,False,4,12,tree_hit_final_drop,1,True,False,23,1,liver metastasis from colon cancer,Primary Liver Neoplasm,False
mcr,mcr_v1,11,Multisystem inflammatory syndrome in children,base_win_recall,aphhm_lose,s2_miss,0,False,False,False,65,5,Streptococcal toxic shock syndrome,s2_miss,0,False,False,False,17,5,Meningococcemia,0,supervisor_hit_judge_miss,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Multisystem Inflammatory Syndrome"", ""Antiphospholipid Syndrome (APS)""]","[""Multisystem Inflammatory Syndrome"", ""Antiphospholipid Syndrome (APS)""]",1,gen_ok,True,True,4,12,final_hit_judge_miss,0,True,True,16,4,Multisystem Inflammatory Syndrome in Children,Infectious Causes with Systemic Inflammation,False
mcr,mcr_v1,12,Tumor-induced osteomalacia,,,ok,1,True,True,True,48,5,Tumor-induced osteomalacia,s3_hit_s4_miss,0,True,True,False,18,5,Phosphatonin-related bone disease,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Tumor-induced osteomalacia"", ""X-linked hypophosphatemia""]","[""Tumor-induced osteomalacia"", ""X-linked hypophosphatemia""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,27,3,Osteomalacia,Disorders of Phosphate Metabolism,False
