case_id	cohort	arm	compat_branch	gate_triggered	parent_source	protocol	family_coverage	tree_parent_present	family_top1	family_top2	mapper_opt1	mapper_opt2	mapper_rr	bind_repair_applied	n_extra_leaves
3	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
3	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
3	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	1	18
3	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
4	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	0	0	0	1	0.5	0	0
4	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
4	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	18
4	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	1	0.5	0	0
5	pilot24	R0_joint			none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
5	pilot24	R_compat	merge_only	True	none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
5	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	1	0	0	0.333333	1	13
5	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	0	0.0	0	0
7	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
7	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	1	1	1	1.0	0	0
7	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	1	1	1	1.0	1	15
7	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
11	pilot24	R0_joint			none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
11	pilot24	R_compat	merge_only	True	none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
11	pilot24	R_compat_R2	merge_only	True	none	v1_auto_parent	0	1	0	0	0	0	0.0	0	18
11	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	0	0.0	0	0
12	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
12	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	1	1	1	1.0	0	0
12	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	1	1	1	1.0	1	18
12	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
15	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
15	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
15	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	14
15	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
19	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
19	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
19	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	1	17
19	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
21	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
21	pilot24	R_compat	calib_only	False	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
21	pilot24	R_compat_R2	calib_only	False	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	15
21	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	0	0	1	1	1.0	0	0
22	pilot24	R0_joint			none	v1_auto_parent	0	0	0	0	0	0	0.0	0	0
