case_id	cohort	arm	protocol	parent_source	acceptable_parents	gold_leaf_ids	family_coverage	tree_parent_present	l1_candidate_recall	family_top1	family_top2	family_rr	mapper_opt1	mapper_opt2	mapper_rr	funnel_bucket	bind_repair_applied	n_leaves_injected_extra	n_leaves_catalogue
11	pilot24	R0	v1_auto_parent	none			0	1	1	0	0	0.0	0	0	0.0	MAPPER_UNBIND	0	0	19
11	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B5	B1.1|B2.1|B3.1|B5.1	1	1	1	1	1	1.0	0	0	0.0	L1_PRESENT_OK	0	0	19
11	pilot24	R2	v1_auto_parent	none			0	1	1	0	0	0.0	0	0	0.0	MAPPER_UNBIND	0	14	19
12	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4	B1.3|B2.3|B3.2|B4.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
12	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4	B1.3|B2.3|B3.2|B4.2|B4.3	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
12	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4	B1.3|B2.3|B3.2|B4.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	15	20
15	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B4	B1.1|B2.1|B4.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	15
15	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4	B1.1|B2.1|B3.1|B4.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	15
15	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B4	B1.1|B2.1|B4.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	11	15
19	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2	B1.2|B2.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	18
19	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.2|B2.2|B3.1|B4.1|B5.1|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	18
