case_id	cohort	compat_branch	compat_opt1	compat_opt2	compat_rr	typed_opt1	typed_opt2	typed_rr	typed_cov	n_leaves	n_extra	resumed
3	pilot24	merge_only	1	1	1.0	1	1	1.0	1	19	18	1
4	pilot24	merge_only	1	1	1.0	0	0	0.0	0	19	18	1
5	pilot24	merge_only	0	0	0.0	0	0	0.3333333333333333	1	14	13	1
7	pilot24	merge_only	1	1	1.0	0	0	0.25	1	16	15	1
11	pilot24	merge_only	0	0	0.0	0	1	0.5	1	19	18	1
12	pilot24	merge_only	1	1	1.0	1	1	1.0	1	20	18	1
15	pilot24	merge_only	1	1	1.0	1	1	1.0	1	15	14	1
19	pilot24	merge_only	1	1	1.0	1	1	1.0	1	18	17	1
21	pilot24	calib_only	1	1	1.0	0	0	0.3333333333333333	1	20	15	1
22	pilot24	merge_only	0	0	0.0	0	0	0.0	0	20	19	1
27	pilot24	merge_only	0	0	0.0	0	0	0.25	1	15	13	1
28	pilot24	calib_only	1	1	1.0	0	0	0.25	1	22	17	1
29	pilot24	merge_only	1	1	1.0	1	1	1.0	1	20	19	1
33	pilot24	calib_only	1	1	1.0	1	1	1.0	1	20	15	1
36	pilot24	merge_only	1	1	1.0	1	1	1.0	1	20	19	1
39	pilot24	merge_only	0	0	0.0	0	1	0.5	1	16	15	1
40	pilot24	merge_only	1	1	1.0	0	0	0.3333333333333333	1	20	19	1
45	pilot24	merge_only	1	1	1.0	0	1	0.5	1	20	19	1
57	pilot24	merge_only	1	1	1.0	0	1	0.5	1	20	19	1
59	pilot24	merge_only	1	1	1.0	0	1	0.5	1	16	14	1
60	pilot24	merge_only	1	1	1.0	1	1	1.0	1	16	15	1
62	pilot24	merge_only	1	1	1.0	1	1	1.0	1	18	17	1
63	pilot24	merge_only	1	1	1.0	0	1	0.5	1	19	18	1
67	pilot24	merge_only	0	0	0.0	0	0	0.0	0	20	19	1
72	remain76	merge_only	1	1	1.0	1	1	1.0	1	18	16	1
74	remain76	merge_only	0	0	0.0	1	1	1.0	1	18	17	1
76	remain76	merge_only	1	1	1.0	0	1	0.5	1	19	18	1
81	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	18	1
83	remain76	merge_only	0	0	0.3333333333333333	0	0	0.3333333333333333	1	20	17	1
87	remain76	merge_only	1	1	1.0	0	1	0.5	1	14	13	1
89	remain76	merge_only	1	1	1.0	0	1	0.5	1	15	13	1
90	remain76	merge_only	0	1	0.5	1	1	1.0	1	18	16	1
95	remain76	merge_only	1	1	1.0	0	1	0.5	1	20	19	1
97	remain76	calib_only	0	0	0.0	0	1	0.5	1	20	20	1
99	remain76	merge_only	1	1	1.0	0	1	0.5	1	15	14	1
100	remain76	merge_only	1	1	1.0	0	1	0.5	1	20	18	1
102	remain76	merge_only	1	1	1.0	1	1	1.0	1	15	13	1
103	remain76	merge_only	1	1	1.0	1	1	1.0	1	19	18	1
107	remain76	merge_only	0	0	0.0	0	0	0.25	1	16	15	1
111	remain76	merge_only	1	1	1.0	0	1	0.5	1	20	19	1
114	remain76	merge_only	0	0	0.0	0	1	0.5	1	20	19	1
117	remain76	merge_only	0	1	0.5	1	1	1.0	1	21	19	1
118	remain76	merge_only	1	1	1.0	0	0	0.25	1	19	18	1
119	remain76	merge_only	1	1	1.0	0	1	0.5	1	20	17	1
120	remain76	calib_only	1	1	1.0	0	0	0.25	1	19	14	1
122	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	14	13	1
124	remain76	merge_only	1	1	1.0	0	1	0.5	1	14	12	1
125	remain76	merge_only	0	0	0.0	1	1	1.0	1	20	17	1
128	remain76	merge_only	1	1	1.0	1	1	1.0	1	15	14	1
129	remain76	merge_only	0	0	0.0	0	0	0.3333333333333333	1	20	18	1
132	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	17	1
134	remain76	merge_only	1	1	1.0	1	1	1.0	1	19	18	1
137	remain76	merge_only	1	1	1.0	0	1	0.5	1	15	14	1
139	remain76	merge_only	1	1	1.0	0	1	0.5	1	15	14	1
140	remain76	merge_only	1	1	1.0	0	1	0.5	1	15	13	1
147	remain76	merge_only	1	1	1.0	0	1	0.5	1	18	17	1
149	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	19	1
150	remain76	calib_only	1	1	1.0	0	0	0.3333333333333333	1	15	11	1
151	remain76	calib_only	0	1	0.5	1	1	1.0	1	15	11	1
156	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	19	1
158	remain76	merge_only	1	1	1.0	1	1	1.0	1	19	17	1
161	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	19	18	1
163	remain76	calib_only	1	1	1.0	0	1	0.5	1	20	15	1
164	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	19	1
165	remain76	merge_only	1	1	1.0	1	1	1.0	1	16	15	1
167	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	16	15	1
173	remain76	calib_only	0	1	0.5	0	0	0.25	1	20	15	1
174	remain76	merge_only	1	1	1.0	0	1	0.5	1	20	19	1
177	remain76	merge_only	0	1	0.5	0	1	0.5	1	19	17	1
181	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	18	15	1
182	remain76	merge_only	1	1	1.0	1	1	1.0	1	16	15	1
183	remain76	merge_only	0	0	0.0	0	0	0.3333333333333333	1	18	16	1
186	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	18	1
187	remain76	merge_only	0	0	0.0	1	1	1.0	1	17	16	1
188	remain76	merge_only	0	0	0.0	0	0	0.0	0	20	17	1
190	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	18	17	1
194	remain76	merge_only	1	1	1.0	0	0	0.0	0	16	15	1
198	remain76	merge_only	0	0	0.0	1	1	1.0	1	18	17	1
202	remain76	merge_only	1	1	1.0	1	1	1.0	1	16	15	1
205	remain76	merge_only	0	1	0.5	1	1	1.0	1	16	14	1
