case_id	cohort	compat_branch	compat_opt1	compat_opt2	compat_rr	typed_opt1	typed_opt2	typed_rr	typed_cov	typed_status	n_leaves	n_extra	resumed	error
3	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	19	18	0	
4	pilot24	merge_only	1	1	1.0	0	0	0.0	0	OK	19	18	0	
5	pilot24	merge_only	0	0	0.0	0	0	0.3333333333333333	1	OK	14	13	0	
7	pilot24	merge_only	1	1	1.0	0	0	0.25	1	OK	16	15	0	
11	pilot24	merge_only	0	0	0.0	0	1	0.5	1	OK	19	18	0	
12	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	20	18	0	
15	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	15	14	0	
19	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	18	17	0	
21	pilot24	calib_only	1	1	1.0	0	0	0.3333333333333333	1	OK	20	15	0	
22	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	20	19	0	
27	pilot24	merge_only	0	0	0.0	0	0	0.25	1	OK	15	13	0	
28	pilot24	calib_only	1	1	1.0	0	0	0.25	1	OK	22	17	0	
29	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	20	19	0	
33	pilot24	calib_only	1	1	1.0	1	1	1.0	1	OK	20	15	0	
36	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	20	19	0	
39	pilot24	merge_only	0	0	0.0	0	1	0.5	1	OK	16	15	0	
40	pilot24	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	20	19	0	
45	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	20	19	0	
57	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	20	19	0	
59	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	16	14	0	
60	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	16	15	0	
62	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	18	17	0	
63	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	19	18	0	
67	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	20	19	0	
