case_id	cohort	compat_branch	compat_opt1	compat_opt2	compat_rr	typed_opt1	typed_opt2	typed_rr	typed_cov	typed_status	n_leaves	n_extra	inject_mode	resumed	error
3	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	19	18	preserve_joint_then_posterior	0	
4	pilot24	merge_only	1	1	1.0	0	0	0.0	0	OK	19	18	preserve_joint_then_posterior	0	
5	pilot24	merge_only	0	0	0.0	0	0	0.3333333333333333	1	OK	14	13	preserve_joint_then_posterior	0	
7	pilot24	merge_only	1	1	1.0	0	0	0.25	1	OK	16	15	preserve_joint_then_posterior	0	
11	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	19	18	preserve_joint_then_posterior	0	
12	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	20	18	preserve_joint_then_posterior	0	
15	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	15	14	preserve_joint_then_posterior	0	
19	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	18	17	preserve_joint_then_posterior	0	
21	pilot24	calib_only	1	1	1.0	0	0	0.3333333333333333	1	OK	20	15	preserve_joint_then_posterior	0	
22	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	20	19	preserve_joint_then_posterior	0	
27	pilot24	merge_only	0	0	0.0	0	0	0.25	1	OK	15	13	preserve_joint_then_posterior	0	
28	pilot24	calib_only	1	1	1.0	0	0	0.25	1	OK	22	17	preserve_joint_then_posterior	0	
29	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	20	19	preserve_joint_then_posterior	0	
33	pilot24	calib_only	1	1	1.0	1	1	1.0	1	OK	20	15	preserve_joint_then_posterior	0	
36	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	20	19	preserve_joint_then_posterior	0	
39	pilot24	merge_only	0	0	0.0	0	1	0.5	1	OK	16	15	preserve_joint_then_posterior	0	
40	pilot24	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	20	19	preserve_joint_then_posterior	0	
45	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	20	19	preserve_joint_then_posterior	0	
57	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	20	19	preserve_joint_then_posterior	0	
59	pilot24	merge_only	1	1	1.0	0	0	0.25	1	OK	16	14	preserve_joint_then_posterior	0	
60	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	16	15	preserve_joint_then_posterior	0	
62	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	18	17	preserve_joint_then_posterior	0	
63	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	19	18	preserve_joint_then_posterior	0	
67	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	20	19	preserve_joint_then_posterior	0	
72	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	18	16	preserve_joint_then_posterior	0	
74	remain76	merge_only	0	0	0.0	1	1	1.0	1	OK	18	17	preserve_joint_then_posterior	0	
76	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	19	18	preserve_joint_then_posterior	0	
81	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	20	18	preserve_joint_then_posterior	0	
83	remain76	merge_only	0	0	0.3333333333333333	0	0	0.3333333333333333	1	OK	20	17	preserve_joint_then_posterior	0	
87	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	14	13	preserve_joint_then_posterior	0	
89	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	15	13	preserve_joint_then_posterior	0	
90	remain76	merge_only	0	1	0.5	1	1	1.0	1	OK	18	16	preserve_joint_then_posterior	0	
95	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	20	19	preserve_joint_then_posterior	0	
97	remain76	calib_only	0	0	0.0	0	1	0.5	1	OK	20	20	preserve_joint_then_posterior	0	
99	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	15	14	preserve_joint_then_posterior	0	
100	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	20	18	preserve_joint_then_posterior	0	
102	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	15	13	preserve_joint_then_posterior	0	
103	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	19	18	preserve_joint_then_posterior	0	
107	remain76	merge_only	0	0	0.0	0	0	0.25	1	OK	16	15	preserve_joint_then_posterior	0	
111	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	20	19	preserve_joint_then_posterior	0	
114	remain76	merge_only	0	0	0.0	0	1	0.5	1	OK	20	19	preserve_joint_then_posterior	0	
117	remain76	merge_only	0	1	0.5	1	1	1.0	1	OK	21	19	preserve_joint_then_posterior	0	
118	remain76	merge_only	1	1	1.0	0	0	0.25	1	OK	19	18	preserve_joint_then_posterior	0	
119	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	20	17	preserve_joint_then_posterior	0	
120	remain76	calib_only	1	1	1.0	0	0	0.25	1	OK	19	14	preserve_joint_then_posterior	0	
122	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	14	13	preserve_joint_then_posterior	0	
124	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	14	12	preserve_joint_then_posterior	0	
125	remain76	merge_only	0	0	0.0	1	1	1.0	1	OK	20	17	preserve_joint_then_posterior	0	
128	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	15	14	preserve_joint_then_posterior	0	
129	remain76	merge_only	0	0	0.0	0	1	0.5	1	OK	20	18	preserve_joint_then_posterior	0	
132	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	20	17	preserve_joint_then_posterior	0	
134	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	19	18	preserve_joint_then_posterior	0	
137	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	15	14	preserve_joint_then_posterior	0	
139	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	15	14	preserve_joint_then_posterior	0	
140	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	15	13	preserve_joint_then_posterior	0	
