case_id	cohort	preset	compiler_rules_injected	n_selected	selected_budget	stop_reason	parent_source	acceptable_parents	n_acceptable_parents	gold_leaf_ids	family_coverage	family_top1	family_top2	family_rr	gold_family_rank	l1_top1_id	l1_top2_id	n_l1	l1_prior_opt1	l1_prior_opt2	l1_prior_rr	joint_remap_opt1	joint_remap_opt2	mapper_opt1	mapper_opt2	mapper_rr	funnel_bucket
3	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B3	B1	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
4	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2	1	B2.2	1	0	0	0.2	5	B1	B3	5	0	0	0.2	0	1	0	1	0.5	L1_HIT_MISRANK
5	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B2	B1	4	0	0	0.0	0	0	0	0	0.0	L1_MISS
7	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B3|B4	4	B1.2|B2.2|B3.2|B4.2	1	1	1	1.0	1	B1	B3	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
11	pilot24	p5_anti_anchor_direct	True	0	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
12	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.3|B2.3|B3.2|B4.2	1	1	1	1.0	1	B2	B1	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
15	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B4	3	B1.1|B2.1|B4.1	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
19	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2	2	B1.2|B2.2	1	1	1	1.0	1	B1	B4	5	1	1	1.0	0	1	1	1	1.0	L1_OK_OPTION_HIT
21	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B4	1	B4.2	1	0	0	0.25	4	B2	B3	5	0	0	0.25	1	1	1	1	1.0	L1_HIT_MISRANK
22	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	none		0		0	0	0	0.0		B1	B3	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
27	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	none		0		0	0	0	0.0		B2	B1	4	0	0	0.0	0	0	0	0	0.0	L1_MISS
28	pilot24	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B5	2	B1.2|B5.2	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
29	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2|B4|B5	3	B2.1|B4.1|B5.1	1	1	1	1.0	1	B2	B1	5	1	1	1.0	0	1	0	1	0.5	L1_OK_OPTION_HIT
33	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B4	2	B1.1|B4.2	1	1	1	1.0	1	B1	B3	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
36	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B3|B5	2	B3.1|B5.1	1	0	1	0.5	2	B1	B3	5	0	1	0.5	1	1	1	1	1.0	L1_OK_OPTION_MISS
39	pilot24	p5_anti_anchor_direct	True	6	6	budget_exhausted	none		0		0	0	0	0.0		B4	B1	4	0	0	0.0	0	0	0	0	0.0	L1_MISS
40	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2|B3|B5	3	B2.4|B3.3|B5.4	1	1	1	1.0	1	B3	B2	5	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
45	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
57	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B4	B1	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
59	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B2	1	B2.1	1	0	1	0.5	2	B1	B2	4	0	1	0.5	0	1	0	1	0.5	L1_OK_OPTION_MISS
60	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.1|B2.2|B3.1|B4.1	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
62	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.2|B2.1|B3.1|B4.2|B5.2	1	1	1	1.0	1	B3	B1	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
63	pilot24	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B3	1	B3.2	1	1	1	1.0	1	B3	B1	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
67	pilot24	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B2	B3	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
72	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B3|B4|B5	4	B1.1|B3.3|B4.1|B5.2	1	1	1	1.0	1	B1	B4	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
74	remain76	p5_anti_anchor_direct	True	4	6	selector_abstained	label_synonym	B1	1		1	0	1	0.5	2	B2	B1	5	0	0	0.0	0	0	0	0	0.0	L1_OK_OPTION_MISS
76	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B5	1	B5.2	1	0	0	0.333333	3	B4	B1	5	0	0	0.333333	1	1	1	1	1.0	L1_HIT_MISRANK
81	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B3	1	B3.3	1	0	1	0.5	2	B1	B3	5	0	1	0.5	1	1	1	1	1.0	L1_OK_OPTION_MISS
83	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B3	1	B3.3	1	0	0	0.333333	3	B1	B2	5	0	0	0.333333	0	0	0	0	0.333333	L1_HIT_MISRANK
87	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.2|B2.2|B3.2|B4.2	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
89	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B3|B4	2	B3.3|B4.1	1	0	0	0.333333	3	B1	B2	4	0	0	0.333333	1	1	1	1	1.0	L1_HIT_MISRANK
90	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1	1	B1.3	1	1	1	1.0	1	B1	B3	5	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
95	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
97	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
