case_id	cohort	compat_branch	compat_opt1	compat_opt2	compat_rr	typed_opt1	typed_opt2	typed_rr	typed_cov	typed_status	n_leaves	n_extra	inject_mode	resumed	error
3	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	4	3	restricted_option_synonym	0	
4	pilot24	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	5	4	restricted_option_synonym	0	
5	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	3	2	restricted_option_synonym	0	
7	pilot24	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	6	5	restricted_option_synonym	0	
11	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	2	1	restricted_option_synonym	0	
12	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	7	5	restricted_option_synonym	0	
15	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	2	1	restricted_option_synonym	0	
19	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	2	1	restricted_option_synonym	0	
21	pilot24	calib_only	1	1	1.0	0	0	0.3333333333333333	1	OK	9	4	restricted_option_synonym	0	
22	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	2	1	restricted_option_synonym	0	
27	pilot24	merge_only	0	0	0.0	0	0	0.3333333333333333	1	OK	5	3	restricted_option_synonym	0	
28	pilot24	calib_only	1	1	1.0	0	0	0.3333333333333333	1	OK	8	3	restricted_option_synonym	0	
29	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	6	5	restricted_option_synonym	0	
33	pilot24	calib_only	1	1	1.0	1	1	1.0	1	OK	8	3	restricted_option_synonym	0	
36	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	3	2	restricted_option_synonym	0	
39	pilot24	merge_only	0	0	0.0	0	1	0.5	1	OK	4	3	restricted_option_synonym	0	
40	pilot24	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	6	5	restricted_option_synonym	0	
45	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	6	5	restricted_option_synonym	0	
57	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	6	5	restricted_option_synonym	0	
59	pilot24	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	7	5	restricted_option_synonym	0	
60	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	5	4	restricted_option_synonym	0	
62	pilot24	merge_only	1	1	1.0	1	1	1.0	1	OK	5	4	restricted_option_synonym	0	
63	pilot24	merge_only	1	1	1.0	0	1	0.5	1	OK	6	5	restricted_option_synonym	0	
67	pilot24	merge_only	0	0	0.0	0	0	0.0	0	OK	1	0	restricted_option_synonym	0	
