status	case_id	cohort	arm	option_top1	option_top2	option_rr	gold_option_rank	gold_matched	gold_relation	n_repaired	n_leaves	bind_repair_applied	compat_branch	gate_triggered	empty_ranking
OK	3	pilot24	R_compat_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
OK	3	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
OK	4	pilot24	R_compat_live	1	1	1.0	1	1	equivalent	0	1	0	merge_only	1	
OK	4	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	equivalent	0	1	0	merge_only	1	
OK	5	pilot24	R_compat_live	0	0	0.0	2	0	unrelated	0	1	0	merge_only	1	
OK	5	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	related	2	1	1	merge_only	1	
OK	7	pilot24	R_compat_live	1	1	1.0	1	1	equivalent	0	1	0	merge_only	1	
OK	7	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	equivalent	0	1	0	merge_only	1	
OK	11	pilot24	R_compat_live	0	0	0.0	2	0	unrelated	0	1	0	merge_only	1	
OK	11	pilot24	R_compat_synonym_bind_live	0	0	0.0	2	0	unrelated	0	1	0	merge_only	1	
OK	12	pilot24	R_compat_live	1	1	1.0	1	1	subtype_of	0	2	0	merge_only	1	
OK	12	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	subtype_of	0	2	0	merge_only	1	
OK	15	pilot24	R_compat_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
OK	15	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
OK	19	pilot24	R_compat_live	1	1	1.0	1	1	equivalent	0	1	0	merge_only	1	
OK	19	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	equivalent	1	1	1	merge_only	1	
OK	21	pilot24	R_compat_live	1	1	1.0	1	1	subtype_of	0	5	0	calib_only	0	
OK	21	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	subtype_of	0	5	0	calib_only	0	
OK	22	pilot24	R_compat_live	0	0	0.0	2	0	unrelated	0	1	0	merge_only	1	
OK	22	pilot24	R_compat_synonym_bind_live	0	0	0.0	2	0	unrelated	0	1	0	merge_only	1	
OK	27	pilot24	R_compat_live	0	0	0.0	2	0	unrelated	0	2	0	merge_only	1	
OK	27	pilot24	R_compat_synonym_bind_live	0	0	0.0	2	0	unrelated	0	2	0	merge_only	1	
OK	28	pilot24	R_compat_live	1	1	1.0	1	1	equivalent	0	5	0	calib_only	0	
OK	28	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	equivalent	1	5	1	calib_only	0	
OK	29	pilot24	R_compat_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
OK	29	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
OK	33	pilot24	R_compat_live	1	1	1.0	1	1	subtype_of	0	5	0	calib_only	0	
OK	33	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	subtype_of	0	5	0	calib_only	0	
OK	36	pilot24	R_compat_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
OK	36	pilot24	R_compat_synonym_bind_live	1	1	1.0	1	1	subtype_of	0	1	0	merge_only	1	
