experiment_id,arm_id,scope,intention_n,served_n,unserved_n,served_rate,clinical_relation_counts_served,safe_exact_n_ita,safe_exact_rate_ita,safe_exact_n_served,safe_exact_rate_served,legacy_chain_n_ita,legacy_chain_rate_ita,legacy_chain_n_served,legacy_chain_rate_served,clinical_complete_n_ita,clinical_complete_rate_ita,clinical_complete_n_served,clinical_complete_rate_served,compatible_partial_n_ita,compatible_partial_rate_ita,compatible_partial_n_served,compatible_partial_rate_served,complete_or_compatible_partial_n_ita,complete_or_compatible_partial_rate_ita,complete_or_compatible_partial_n_served,complete_or_compatible_partial_rate_served,task_evaluable_n_ita,task_evaluable_n_served,task_coverage_ita,task_coverage_served,task_n_ita,task_rate_ita,task_rate_observed,task_n_served,task_rate_served,task_rate_served_observed
E1,ab02_flat__clean_fixed,ALL,200,200,0,1.0,"{""complete_equivalent"": 50, ""conflicting_subtype_or_scope"": 50, ""manifestation_or_related"": 5, ""not_equivalent"": 29, ""partial_parent_or_component"": 56, ""uncertain"": 10}",13,0.065,13,0.065,46,0.23,46,0.23,50,0.25,50,0.25,56,0.28,56,0.28,106,0.53,106,0.53,115,115,0.575,0.575,34,,0.2956521739130435,34,,0.2956521739130435
E1,ab02_flat__clean_fixed,DA,100,100,0,1.0,"{""complete_equivalent"": 22, ""conflicting_subtype_or_scope"": 25, ""manifestation_or_related"": 2, ""not_equivalent"": 9, ""partial_parent_or_component"": 38, ""uncertain"": 4}",3,0.03,3,0.03,17,0.17,17,0.17,22,0.22,22,0.22,38,0.38,38,0.38,60,0.6,60,0.6,69,69,0.69,0.69,23,,0.3333333333333333,23,,0.3333333333333333
E1,ab02_flat__clean_fixed,MCR,100,100,0,1.0,"{""complete_equivalent"": 28, ""conflicting_subtype_or_scope"": 25, ""manifestation_or_related"": 3, ""not_equivalent"": 20, ""partial_parent_or_component"": 18, ""uncertain"": 6}",10,0.1,10,0.1,29,0.29,29,0.29,28,0.28,28,0.28,18,0.18,18,0.18,46,0.46,46,0.46,46,46,0.46,0.46,11,,0.2391304347826087,11,,0.2391304347826087
E1,ab02_flat__clean_shuffled_blocks,ALL,200,199,1,0.995,"{""complete_equivalent"": 57, ""conflicting_subtype_or_scope"": 47, ""manifestation_or_related"": 11, ""not_equivalent"": 26, ""partial_parent_or_component"": 49, ""uncertain"": 9}",11,0.055,11,0.05527638190954774,39,0.195,39,0.19597989949748743,57,0.285,57,0.2864321608040201,49,0.245,49,0.24623115577889448,106,0.53,106,0.5326633165829145,113,112,0.565,0.5628140703517588,35,,0.30973451327433627,35,,0.3125
E1,ab02_flat__clean_shuffled_blocks,DA,100,99,1,0.99,"{""complete_equivalent"": 25, ""conflicting_subtype_or_scope"": 25, ""manifestation_or_related"": 5, ""not_equivalent"": 6, ""partial_parent_or_component"": 35, ""uncertain"": 3}",4,0.04,4,0.04040404040404041,15,0.15,15,0.15151515151515152,25,0.25,25,0.25252525252525254,35,0.35,35,0.35353535353535354,60,0.6,60,0.6060606060606061,68,67,0.68,0.6767676767676768,23,,0.3382352941176471,23,,0.34328358208955223
E1,ab02_flat__clean_shuffled_blocks,MCR,100,100,0,1.0,"{""complete_equivalent"": 32, ""conflicting_subtype_or_scope"": 22, ""manifestation_or_related"": 6, ""not_equivalent"": 20, ""partial_parent_or_component"": 14, ""uncertain"": 6}",7,0.07,7,0.07,24,0.24,24,0.24,32,0.32,32,0.32,14,0.14,14,0.14,46,0.46,46,0.46,45,45,0.45,0.45,12,,0.26666666666666666,12,,0.26666666666666666
E1,ab02_flat__options_fixed,ALL,200,199,1,0.995,"{""complete_equivalent"": 128, ""conflicting_subtype_or_scope"": 20, ""manifestation_or_related"": 3, ""not_equivalent"": 12, ""partial_parent_or_component"": 32, ""uncertain"": 4}",93,0.465,93,0.46733668341708545,125,0.625,125,0.628140703517588,128,0.64,128,0.6432160804020101,32,0.16,32,0.16080402010050251,160,0.8,160,0.8040201005025126,136,135,0.68,0.678391959798995,76,,0.5588235294117647,76,,0.562962962962963
E1,ab02_flat__options_fixed,DA,100,100,0,1.0,"{""complete_equivalent"": 66, ""conflicting_subtype_or_scope"": 10, ""manifestation_or_related"": 1, ""not_equivalent"": 1, ""partial_parent_or_component"": 20, ""uncertain"": 2}",54,0.54,54,0.54,63,0.63,63,0.63,66,0.66,66,0.66,20,0.2,20,0.2,86,0.86,86,0.86,82,82,0.82,0.82,52,,0.6341463414634146,52,,0.6341463414634146
E1,ab02_flat__options_fixed,MCR,100,99,1,0.99,"{""complete_equivalent"": 62, ""conflicting_subtype_or_scope"": 10, ""manifestation_or_related"": 2, ""not_equivalent"": 11, ""partial_parent_or_component"": 12, ""uncertain"": 2}",39,0.39,39,0.3939393939393939,62,0.62,62,0.6262626262626263,62,0.62,62,0.6262626262626263,12,0.12,12,0.12121212121212122,74,0.74,74,0.7474747474747475,54,53,0.54,0.5353535353535354,24,,0.4444444444444444,24,,0.4528301886792453
E1,ab02_flat__options_shuffled_blocks,ALL,200,199,1,0.995,"{""complete_equivalent"": 120, ""conflicting_subtype_or_scope"": 24, ""manifestation_or_related"": 3, ""not_equivalent"": 11, ""partial_parent_or_component"": 31, ""uncertain"": 10}",74,0.37,74,0.37185929648241206,112,0.56,112,0.5628140703517588,120,0.6,120,0.6030150753768844,31,0.155,31,0.15577889447236182,151,0.755,151,0.7587939698492462,130,129,0.65,0.6482412060301508,71,,0.5461538461538461,71,,0.5503875968992248
