experiment_id,left_arm,right_arm,label,multiplicity_family,scope,endpoint,n,both,left_only,right_only,neither,left_rate_ita,right_rate_ita,delta_right_minus_left,exact_mcnemar_p,paired_bootstrap_delta_ci95,gain_case_keys,loss_case_keys,holm_adjusted_p
E1,ab02_flat__clean_fixed,ab02_flat__options_fixed,options_vs_clean_fixed__ab02_flat,primary,ALL,clinical_complete,200,40,9,88,63,0.245,0.64,0.395,2.0037912301249855e-17,"[0.315, 0.475]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""MCR_seq200b/249"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/324"", ""MCR_seq200b/346"", ""MCR_seq200b/355"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_seq200b/416"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/734"", ""DA_d2_seq100/237"", ""MCR_v1_seq100/90"", ""MCR_v1_seq100/95""]",1.4026538610874898e-16
E1,aphhm_hierarchical__clean_fixed,aphhm_hierarchical__options_fixed,options_vs_clean_fixed__aphhm_hierarchical,primary,ALL,clinical_complete,200,32,6,89,73,0.19,0.605,0.415,4.697192490523779e-20,"[0.335, 0.49]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/420"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/464"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/574"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/586"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/702"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/734"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/182"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/3"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""DA_d2_seq100/99"", ""MCR_seq200b/249"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/275"", ""MCR_seq200b/291"", ""MCR_seq200b/294"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/321"", ""MCR_seq200b/352"", ""MCR_seq200b/355"", ""MCR_seq200b/371"", ""MCR_seq200b/386"", ""MCR_seq200b/394"", ""MCR_seq200b/401"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/416"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/30"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/76"", ""MCR_v1_seq100/95"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout200b/631"", ""DA_d2_seq100/228"", ""MCR_seq200b/295"", ""MCR_seq200b/320"", ""MCR_v2_seq100/220"", ""MCR_v2_seq100/236""]",3.757753992419023e-19
E1,ab02_flat__clean_shuffled_blocks,ab02_flat__options_shuffled_blocks,options_vs_clean_shuffled__ab02_flat,primary,ALL,clinical_complete,200,48,9,71,72,0.285,0.595,0.31,4.3739781822391746e-13,"[0.235, 0.39]","[""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/399"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/574"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/161"", ""DA_d2_seq100/202"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/228"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""DA_d2_seq100/99"", ""MCR_seq200b/249"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/275"", ""MCR_seq200b/277"", ""MCR_seq200b/291"", ""MCR_seq200b/293"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/324"", ""MCR_seq200b/346"", ""MCR_seq200b/355"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/87"", ""MCR_v1_seq100/95"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/152"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/175"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/352"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/738"", ""DA_d2_seq100/237"", ""MCR_seq200b/344"", ""MCR_seq200b/416"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/220""]",2.6243869093435048e-12
E1,aphhm_hierarchical__clean_shuffled_blocks,aphhm_hierarchical__options_shuffled_blocks,options_vs_clean_shuffled__aphhm_hierarchical,primary,ALL,clinical_complete,200,32,11,67,90,0.215,0.495,0.28,6.11831045524052e-11,"[0.2, 0.36]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/349"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/399"", ""DA_d2_heldout100/429"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/702"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/743"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/125"", ""DA_d2_seq100/158"", ""DA_d2_seq100/161"", ""DA_d2_seq100/182"", ""DA_d2_seq100/214"", ""DA_d2_seq100/3"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""MCR_seq200b/272"", ""MCR_seq200b/278"", ""MCR_seq200b/291"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/324"", ""MCR_seq200b/330"", ""MCR_seq200b/346"", ""MCR_seq200b/355"", ""MCR_seq200b/386"", ""MCR_seq200b/394"", ""MCR_seq200b/416"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/28"", ""MCR_v1_seq100/6"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/152"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/222"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout100/306"", ""DA_d2_heldout100/375"", ""DA_d2_heldout200b/464"", ""DA_d2_seq100/228"", ""MCR_seq200b/275"", ""MCR_seq200b/332"", ""MCR_seq200b/413"", ""MCR_seq200b/436"", ""MCR_v1_seq100/21"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/52""]",3.05915522762026e-10
E1,ab02_flat__clean_fixed,ab02_flat__clean_shuffled_blocks,shuffle_vs_fixed_clean__ab02_flat,primary,ALL,clinical_complete,200,37,12,20,131,0.245,0.285,0.04,0.21532714972272515,"[-0.015, 0.095]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/702"", ""DA_d2_heldout200b/738"", ""DA_d2_seq100/187"", ""DA_d2_seq100/81"", ""MCR_seq200b/294"", ""MCR_seq200b/416"", ""MCR_seq200b/436"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/47"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/220""]","[""DA_d2_heldout100/399"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/734"", ""DA_d2_seq100/161"", ""DA_d2_seq100/228"", ""DA_d2_seq100/99"", ""MCR_seq200b/291"", ""MCR_seq200b/293"", ""MCR_v1_seq100/21"", ""MCR_v1_seq100/95""]",0.5263957469724119
E1,aphhm_hierarchical__clean_fixed,aphhm_hierarchical__clean_shuffled_blocks,shuffle_vs_fixed_clean__aphhm_hierarchical,primary,ALL,clinical_complete,200,25,13,18,144,0.19,0.215,0.025,0.47312965989112854,"[-0.03, 0.08]","[""DA_d2_heldout100/306"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/420"", ""DA_d2_heldout200b/464"", ""DA_d2_heldout200b/586"", ""DA_d2_heldout200b/684"", ""DA_d2_seq100/134"", ""DA_d2_seq100/187"", ""DA_d2_seq100/99"", ""MCR_seq200b/275"", ""MCR_seq200b/321"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/436"", ""MCR_v1_seq100/21"", ""MCR_v1_seq100/30"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/95""]","[""DA_d2_heldout100/290"", ""DA_d2_heldout100/399"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/650"", ""DA_d2_seq100/161"", ""DA_d2_seq100/83"", ""MCR_seq200b/278"", ""MCR_seq200b/293"", ""MCR_v2_seq100/152"", ""MCR_v2_seq100/220"", ""MCR_v2_seq100/236""]",0.5263957469724119
E1,ab02_flat__options_fixed,ab02_flat__options_shuffled_blocks,shuffle_vs_fixed_options__ab02_flat,primary,ALL,clinical_complete,200,106,22,13,59,0.64,0.595,-0.045,0.17546524899080396,"[-0.105, 0.015]","[""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/574"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/702"", ""MCR_seq200b/275"", ""MCR_seq200b/277"", ""MCR_seq200b/436"", ""MCR_v1_seq100/90"", ""MCR_v1_seq100/95"", ""MCR_v2_seq100/152"", ""MCR_v2_seq100/175""]","[""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/214"", ""DA_d2_seq100/76"", ""MCR_seq200b/302"", ""MCR_seq200b/344"", ""MCR_seq200b/416"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/21"", ""MCR_v1_seq100/60"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]",0.5263957469724119
E1,aphhm_hierarchical__options_fixed,aphhm_hierarchical__options_shuffled_blocks,shuffle_vs_fixed_options__aphhm_hierarchical,primary,ALL,clinical_complete,200,82,39,17,62,0.605,0.495,-0.11,0.00456153274640822,"[-0.18, -0.04]","[""DA_d2_heldout100/349"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""MCR_seq200b/295"", ""MCR_seq200b/302"", ""MCR_seq200b/320"", ""MCR_seq200b/324"", ""MCR_seq200b/330"", ""MCR_seq200b/346"", ""MCR_v1_seq100/28"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/222""]","[""DA_d2_heldout100/290"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/424"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/464"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/574"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/734"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_seq100/122"", ""DA_d2_seq100/202"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""MCR_seq200b/249"", ""MCR_seq200b/274"", ""MCR_seq200b/275"", ""MCR_seq200b/293"", ""MCR_seq200b/332"", ""MCR_seq200b/352"", ""MCR_seq200b/371"", ""MCR_seq200b/401"", ""MCR_seq200b/413"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/52"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/76"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/188""]",0.01824613098563288
E1,ab02_flat__clean_fixed,ab02_flat__options_fixed,options_vs_clean_fixed__ab02_flat,primary,ALL,compatible_partial,200,17,42,16,125,0.295,0.165,-0.13,0.0008617822405421263,"[-0.205, -0.055]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/21"", ""DA_d2_seq100/237"", ""MCR_seq200b/371"", ""MCR_v1_seq100/124"", ""MCR_v1_seq100/90"", ""MCR_v1_seq100/95""]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/747"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/202"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89"", ""MCR_seq200b/272"", ""MCR_seq200b/324"", ""MCR_seq200b/330"", ""MCR_seq200b/355"", ""MCR_seq200b/430"", ""MCR_v1_seq100/28"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/244""]",0.006032475683794884
E1,aphhm_hierarchical__clean_fixed,aphhm_hierarchical__options_fixed,options_vs_clean_fixed__aphhm_hierarchical,primary,ALL,compatible_partial,200,23,43,14,120,0.33,0.185,-0.145,0.00015388902244434233,"[-0.215, -0.075]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/312"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/21"", ""DA_d2_seq100/228"", ""MCR_seq200b/337"", ""MCR_seq200b/384"", ""MCR_seq200b/436"", ""MCR_v1_seq100/124""]","[""DA_d2_heldout100/306"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/420"", ""DA_d2_heldout100/440"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/574"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/584"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/702"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/715"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/202"", ""DA_d2_seq100/219"", ""DA_d2_seq100/3"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89"", ""MCR_seq200b/272"", ""MCR_seq200b/316"", ""MCR_seq200b/319"", ""MCR_seq200b/330"", ""MCR_seq200b/355"", ""MCR_seq200b/371"", ""MCR_seq200b/386"", ""MCR_seq200b/394"", ""MCR_seq200b/401"", ""MCR_v1_seq100/6"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/240""]",0.0012311121795547386
