experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,provenance,n,left_rate,right_rate,delta_right_minus_left,both,left_only,right_only,neither,gain_case_keys,loss_case_keys,exact_mcnemar_p,paired_case_bootstrap_delta_ci95,bootstrap_unit,holm_adjusted_p,holm_family_size
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,199,0.06532663316582915,0.46733668341708545,0.4020100502512563,11,2,82,104,"[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/399"", ""DA_d2_heldout100/420"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/506"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/615"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/161"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/228"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""DA_d2_seq100/99"", ""MCR_seq200b/274"", ""MCR_seq200b/278"", ""MCR_seq200b/294"", ""MCR_seq200b/295"", ""MCR_seq200b/306"", ""MCR_seq200b/320"", ""MCR_seq200b/321"", ""MCR_seq200b/324"", ""MCR_seq200b/346"", ""MCR_seq200b/386"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/104"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/12"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/184"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/236"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout200b/555"", ""MCR_v1_seq100/21""]",3.6923274592835773e-22,"[0.331658, 0.472362]",case,2.953861967426862e-21,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,199,0.23115577889447236,0.628140703517588,0.3969849246231156,38,8,87,66,"[""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/399"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/506"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/615"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/134"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/27"", ""DA_d2_seq100/3"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""DA_d2_seq100/99"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/294"", ""MCR_seq200b/295"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/324"", ""MCR_seq200b/346"", ""MCR_seq200b/355"", ""MCR_seq200b/384"", ""MCR_seq200b/386"", ""MCR_seq200b/394"", ""MCR_seq200b/401"", ""MCR_seq200b/408"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/650"", ""MCR_seq200b/430"", ""MCR_seq200b/466"", ""MCR_v1_seq100/28"", ""MCR_v1_seq100/90""]",6.741612423029947e-18,"[0.316583, 0.477387]",case,5.3932899384239574e-17,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,199,0.24623115577889448,0.6432160804020101,0.3969849246231156,40,9,88,62,"[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""MCR_seq200b/249"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/324"", ""MCR_seq200b/346"", ""MCR_seq200b/355"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_seq200b/416"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/734"", ""DA_d2_seq100/237"", ""MCR_v1_seq100/90"", ""MCR_v1_seq100/95""]",2.0037912301249855e-17,"[0.316583, 0.477387]",case,1.4026538610874898e-16,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,199,0.2964824120603015,0.1658291457286432,-0.1306532663316583,17,42,16,124,"[""DA_d2_heldout100/301"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/21"", ""DA_d2_seq100/237"", ""MCR_seq200b/371"", ""MCR_v1_seq100/124"", ""MCR_v1_seq100/90"", ""MCR_v1_seq100/95""]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/747"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/202"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89"", ""MCR_seq200b/272"", ""MCR_seq200b/324"", ""MCR_seq200b/330"", ""MCR_seq200b/355"", ""MCR_seq200b/430"", ""MCR_v1_seq100/28"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/244""]",0.0008617822405421263,"[-0.201005, -0.055276]",case,0.006032475683794884,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,199,0.542713567839196,0.8090452261306532,0.2663316582914573,101,7,60,31,"[""DA_d2_heldout100/352"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/187"", ""DA_d2_seq100/21"", ""DA_d2_seq100/214"", ""DA_d2_seq100/27"", ""DA_d2_seq100/83"", ""DA_d2_seq100/95"", ""MCR_seq200b/249"", ""MCR_seq200b/274"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/346"", ""MCR_seq200b/371"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_seq200b/416"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/124"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/734"", ""DA_d2_heldout200b/747"", ""MCR_seq200b/330"", ""MCR_seq200b/430"", ""MCR_v1_seq100/28""]",1.3280368233066497e-11,"[0.19598, 0.336683]",case,1.0624294586453198e-10,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,100,0.03,0.54,0.51,2,1,52,45,"[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/399"", ""DA_d2_heldout100/420"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/506"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/615"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/161"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/228"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""DA_d2_seq100/99""]","[""DA_d2_heldout200b/555""]",1.199040866595169e-14,"[0.41, 0.61]",case,9.592326932761353e-14,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,100,0.17,0.63,0.46,13,4,50,33,"[""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/399"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/506"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/615"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/134"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/27"", ""DA_d2_seq100/3"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""DA_d2_seq100/99""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/650""]",3.8029690507812575e-11,"[0.35, 0.57]",case,3.042375240625006e-10,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,100,0.21,0.66,0.45,14,7,52,27,"[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/734"", ""DA_d2_seq100/237""]",1.3589917802203644e-09,"[0.33, 0.57]",case,9.51294246154255e-09,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,100,0.4,0.21,-0.19,9,31,12,48,"[""DA_d2_heldout100/301"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/600"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/21"", ""DA_d2_seq100/237""]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/747"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/202"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89""]",0.005401572654591291,"[-0.31, -0.06]",case,0.03781100858213904,8
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,100,0.61,0.87,0.26,57,4,30,9,"[""DA_d2_heldout100/352"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/187"", ""DA_d2_seq100/21"", ""DA_d2_seq100/214"", ""DA_d2_seq100/27"", ""DA_d2_seq100/83"", ""DA_d2_seq100/95""]","[""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/734"", ""DA_d2_heldout200b/747""]",6.16488978266716e-06,"[0.16, 0.36]",case,4.931911826133728e-05,8
