experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,provenance,n,left_rate,right_rate,delta_right_minus_left,both,left_only,right_only,neither,gain_case_keys,loss_case_keys,exact_mcnemar_p,paired_case_bootstrap_delta_ci95,bootstrap_unit,source_multiplicity_family,holm_adjusted_p,holm_family_size
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,ALL,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.6626506024096386,0.6626506024096386,0.0,95,15,15,41,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/589"", ""DA_d2_heldout200b/646"", ""MCR_seq200b/341"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout200b/488"", ""DA_d2_heldout200b/490"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29"", ""MCR_seq200b/283"", ""MCR_seq200b/330"", ""MCR_seq200b/356"", ""MCR_seq200b/403"", ""MCR_seq200b/420"", ""MCR_v1_seq100/107"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/151""]",1.0,"[-0.066265, 0.066265]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,ALL,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.6746987951807228,0.7048192771084337,0.030120481927710843,102,10,15,39,"[""DA_d2_heldout100/306"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/589"", ""DA_d2_heldout200b/646"", ""MCR_seq200b/341"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/234""]","[""DA_d2_heldout200b/490"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29"", ""MCR_seq200b/283"", ""MCR_seq200b/403"", ""MCR_v1_seq100/107"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/151""]",0.42435622215270996,"[-0.03012, 0.090361]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,ALL,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.7168674698795181,0.7228915662650602,0.006024096385542169,108,11,12,35,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/589"", ""MCR_seq200b/341"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout200b/488"", ""DA_d2_heldout200b/490"", ""DA_d2_heldout200b/653"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29"", ""MCR_seq200b/330"", ""MCR_seq200b/403"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/234""]",1.0,"[-0.048193, 0.060241]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,ALL,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.1144578313253012,0.13855421686746988,0.024096385542168676,15,4,8,139,"[""DA_d2_heldout200b/488"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29"", ""MCR_seq200b/330"", ""MCR_seq200b/354"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/234""]","[""DA_d2_heldout100/302"", ""DA_d2_heldout200b/497"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/589""]",0.3876953125,"[-0.018072, 0.066265]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,ALL,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.8313253012048193,0.8614457831325302,0.030120481927710843,133,5,10,18,"[""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/530"", ""MCR_seq200b/341"", ""MCR_seq200b/354"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout200b/490"", ""DA_d2_heldout200b/497"", ""DA_d2_heldout200b/653"", ""MCR_seq200b/403"", ""MCR_v2_seq100/140""]",0.3017578125,"[-0.012048, 0.078313]",case,primary,0.9052734375,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,DA,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.5888888888888889,0.6333333333333333,0.044444444444444446,48,5,9,28,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/589"", ""DA_d2_heldout200b/646""]","[""DA_d2_heldout200b/488"", ""DA_d2_heldout200b/490"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29""]",0.4239501953125,"[-0.033333, 0.122222]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,DA,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.6,0.6555555555555556,0.05555555555555555,51,3,8,28,"[""DA_d2_heldout100/306"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/589"", ""DA_d2_heldout200b/646""]","[""DA_d2_heldout200b/490"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29""]",0.2265625,"[-0.011111, 0.133333]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,DA,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.6666666666666666,0.6666666666666666,0.0,54,6,6,24,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/589""]","[""DA_d2_heldout200b/488"", ""DA_d2_heldout200b/490"", ""DA_d2_heldout200b/653"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29""]",1.0,"[-0.077778, 0.077778]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,DA,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.2,0.2,0.0,14,4,4,68,"[""DA_d2_heldout200b/488"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/220"", ""DA_d2_seq100/29""]","[""DA_d2_heldout100/302"", ""DA_d2_heldout200b/497"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/589""]",1.0,"[-0.066667, 0.066667]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,DA,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.8666666666666667,0.8666666666666667,0.0,75,3,3,9,"[""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/530""]","[""DA_d2_heldout200b/490"", ""DA_d2_heldout200b/497"", ""DA_d2_heldout200b/653""]",1.0,"[-0.055556, 0.055556]",case,primary,1.0,5
