unit,group_type,group,transition_code,n,denominator,rate,representative_case_keys,provenance
case_arm_occurrence,overall,ALL,clinical_complete_missed_by_legacy,1098,23046,0.04764384274928404,"[""DA_d2_heldout100/254"", ""DA_d2_heldout100/257"", ""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/269"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/289"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/314"", ""DA_d2_heldout100/317"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/333"", ""DA_d2_heldout100/341"", ""DA_d2_heldout100/347"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/373"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/379""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,compatible_partial_missed_by_legacy,4860,23046,0.21088258266076543,"[""DA_d2_heldout100/254"", ""DA_d2_heldout100/255"", ""DA_d2_heldout100/259"", ""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/266"", ""DA_d2_heldout100/268"", ""DA_d2_heldout100/269"", ""DA_d2_heldout100/270"", ""DA_d2_heldout100/273"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/281"", ""DA_d2_heldout100/284"", ""DA_d2_heldout100/289"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/301"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/310""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,concordant_noncompatible_manifestation_related,2107,23046,0.09142584396424543,"[""DA_d2_heldout100/259"", ""DA_d2_heldout100/270"", ""DA_d2_heldout100/273"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/301"", ""DA_d2_heldout100/303"", ""DA_d2_heldout100/310"", ""DA_d2_heldout100/312"", ""DA_d2_heldout100/318"", ""DA_d2_heldout100/328"", ""DA_d2_heldout100/330"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/354"", ""DA_d2_heldout100/355"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/365"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/381"", ""DA_d2_heldout100/389"", ""DA_d2_heldout100/392""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,concordant_noncompatible_not_equivalent,4509,23046,0.1956521739130435,"[""DA_d2_heldout100/254"", ""DA_d2_heldout100/257"", ""DA_d2_heldout100/259"", ""DA_d2_heldout100/261"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/270"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/289"", ""DA_d2_heldout100/303"", ""DA_d2_heldout100/312"", ""DA_d2_heldout100/317"", ""DA_d2_heldout100/321"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/330"", ""DA_d2_heldout100/334"", ""DA_d2_heldout100/337"", ""DA_d2_heldout100/341"", ""DA_d2_heldout100/349"", ""DA_d2_heldout100/350"", ""DA_d2_heldout100/352""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,concordant_noncompatible_scope_conflict,4356,23046,0.1890132777922416,"[""DA_d2_heldout100/254"", ""DA_d2_heldout100/255"", ""DA_d2_heldout100/257"", ""DA_d2_heldout100/259"", ""DA_d2_heldout100/262"", ""DA_d2_heldout100/268"", ""DA_d2_heldout100/270"", ""DA_d2_heldout100/273"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/281"", ""DA_d2_heldout100/289"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/293"", ""DA_d2_heldout100/303"", ""DA_d2_heldout100/310"", ""DA_d2_heldout100/312"", ""DA_d2_heldout100/317"", ""DA_d2_heldout100/318"", ""DA_d2_heldout100/328"", ""DA_d2_heldout100/337""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,concordant_uncertain,291,23046,0.012626920072897682,"[""DA_d2_heldout100/257"", ""DA_d2_heldout100/266"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/365"", ""DA_d2_heldout100/372"", ""DA_d2_heldout100/389"", ""DA_d2_heldout100/392"", ""DA_d2_heldout200b/457"", ""DA_d2_heldout200b/464"", ""DA_d2_heldout200b/478"", ""DA_d2_heldout200b/480"", ""DA_d2_heldout200b/482"", ""DA_d2_heldout200b/484"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/497"", ""DA_d2_heldout200b/498"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/583""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,legacy_false_positive_manifestation_related,7,23046,0.0003037403453961642,"[""DA_d2_heldout100/284"", ""DA_d2_heldout200b/518"", ""DA_d2_heldout200b/743""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,legacy_false_positive_not_equivalent,1,23046,4.3391477913737744e-05,"[""MCR_seq200b/430""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,legacy_false_positive_scope_conflict,52,23046,0.0022563568515143627,"[""DA_d2_heldout100/330"", ""DA_d2_heldout100/368"", ""DA_d2_heldout200b/489"", ""DA_d2_heldout200b/540"", ""MCR_seq200b/249"", ""MCR_seq200b/283"", ""MCR_seq200b/293"", ""MCR_seq200b/309"", ""MCR_seq200b/332"", ""MCR_seq200b/355"", ""MCR_seq200b/364"", ""MCR_v1_seq100/21"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/208"", ""MCR_v2_seq100/227""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
case_arm_occurrence,overall,ALL,legacy_only_compatible_partial,2450,23046,0.10630912088865747,"[""DA_d2_heldout100/254"", ""DA_d2_heldout100/255"", ""DA_d2_heldout100/261"", ""DA_d2_heldout100/268"", ""DA_d2_heldout100/269"", ""DA_d2_heldout100/273"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/281"", ""DA_d2_heldout100/283"", ""DA_d2_heldout100/290"", ""DA_d2_heldout100/301"", ""DA_d2_heldout100/302"", ""DA_d2_heldout100/310"", ""DA_d2_heldout100/312"", ""DA_d2_heldout100/318"", ""DA_d2_heldout100/321"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/383"", ""DA_d2_heldout100/391""]",descriptive_endpoint_transition_model_panel_not_root_where_novel
