reviewer_id,experiment_id,arm_id,endpoint,n_ita,n_served,positive_n,rate_ita,provenance
reviewer_a,E1,ab02_flat__clean_fixed,clinical_complete,200,200,54,0.27,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__clean_fixed,compatible_partial,200,200,63,0.315,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__clean_fixed,complete_or_compatible_partial,200,200,117,0.585,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__clean_shuffled_blocks,clinical_complete,200,199,56,0.28,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__clean_shuffled_blocks,compatible_partial,200,199,55,0.275,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__clean_shuffled_blocks,complete_or_compatible_partial,200,199,111,0.555,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__options_fixed,clinical_complete,200,199,128,0.64,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__options_fixed,compatible_partial,200,199,33,0.165,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__options_fixed,complete_or_compatible_partial,200,199,161,0.805,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__options_shuffled_blocks,clinical_complete,200,199,124,0.62,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__options_shuffled_blocks,compatible_partial,200,199,38,0.19,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,ab02_flat__options_shuffled_blocks,complete_or_compatible_partial,200,199,162,0.81,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,aphhm_hierarchical__clean_fixed,clinical_complete,200,189,35,0.175,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,aphhm_hierarchical__clean_fixed,compatible_partial,200,189,71,0.355,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,aphhm_hierarchical__clean_fixed,complete_or_compatible_partial,200,189,106,0.53,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,aphhm_hierarchical__clean_shuffled_blocks,clinical_complete,200,189,40,0.2,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E1,aphhm_hierarchical__clean_shuffled_blocks,compatible_partial,200,189,66,0.33,individual_blinded_model_reviewer_sensitivity_not_root
