reviewer_id,experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,provenance,n,left_rate,right_rate,delta_right_minus_left,both,left_only,right_only,neither,gain_case_keys,loss_case_keys,exact_mcnemar_p,holm_adjusted_p,holm_family_size
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,clinical_complete,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,200,0.27,0.64,0.37,44,10,84,62,"[""DA_d2_heldout100/261"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""MCR_seq200b/249"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/278"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/324"", ""MCR_seq200b/346"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_seq200b/416"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/184"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/482"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/715"", ""DA_d2_heldout200b/734"", ""DA_d2_seq100/237"", ""MCR_v1_seq100/28"", ""MCR_v1_seq100/95""]",1.032699183755085e-15,7.228894286285595e-15,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,compatible_partial,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,200,0.315,0.165,-0.15,19,44,14,123,"[""DA_d2_heldout100/301"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_seq100/21"", ""DA_d2_seq100/237"", ""MCR_v1_seq100/124"", ""MCR_v1_seq100/95"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/230""]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/679"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/747"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89"", ""MCR_seq200b/272"", ""MCR_seq200b/278"", ""MCR_seq200b/324"", ""MCR_seq200b/330"", ""MCR_seq200b/416"", ""MCR_seq200b/430"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/90"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/184"", ""MCR_v2_seq100/244""]",0.00010049669926914806,0.0007034768948840364,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,complete_or_compatible_partial,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,200,0.585,0.805,0.22,106,11,55,28,"[""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/187"", ""DA_d2_seq100/21"", ""DA_d2_seq100/27"", ""DA_d2_seq100/83"", ""DA_d2_seq100/95"", ""MCR_seq200b/249"", ""MCR_seq200b/274"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/346"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/124"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout200b/482"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/679"", ""DA_d2_heldout200b/715"", ""DA_d2_heldout200b/734"", ""DA_d2_heldout200b/747"", ""MCR_seq200b/330"", ""MCR_seq200b/430"", ""MCR_v1_seq100/28"", ""MCR_v1_seq100/90""]",3.601449657605633e-08,2.1608697945633797e-07,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,clinical_complete,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,100,0.28,0.69,0.41,20,8,49,23,"[""DA_d2_heldout100/261"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/429"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/83"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95""]","[""DA_d2_heldout100/301"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/482"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/715"", ""DA_d2_heldout200b/734"", ""DA_d2_seq100/237""]",2.7168525665310916e-08,1.630111539918655e-07,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,compatible_partial,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,100,0.4,0.19,-0.21,9,31,10,50,"[""DA_d2_heldout100/301"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/440"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/631"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_seq100/21"", ""DA_d2_seq100/237""]","[""DA_d2_heldout100/261"", ""DA_d2_heldout100/276"", ""DA_d2_heldout100/299"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/429"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/568"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/649"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/679"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/747"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89""]",0.0014504910141113214,0.01015343709877925,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,complete_or_compatible_partial,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,100,0.68,0.88,0.2,61,7,27,5,"[""DA_d2_heldout100/364"", ""DA_d2_heldout100/368"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/402"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/493"", ""DA_d2_heldout200b/501"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/629"", ""DA_d2_heldout200b/681"", ""DA_d2_heldout200b/684"", ""DA_d2_heldout200b/698"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/187"", ""DA_d2_seq100/21"", ""DA_d2_seq100/27"", ""DA_d2_seq100/83"", ""DA_d2_seq100/95""]","[""DA_d2_heldout200b/482"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/650"", ""DA_d2_heldout200b/679"", ""DA_d2_heldout200b/715"", ""DA_d2_heldout200b/734"", ""DA_d2_heldout200b/747""]",0.0008213953115046024,0.004928371869027615,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,MCR,clinical_complete,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,100,0.26,0.59,0.33,24,2,35,39,"[""MCR_seq200b/249"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/278"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/324"", ""MCR_seq200b/346"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_seq200b/416"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/184"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""MCR_v1_seq100/28"", ""MCR_v1_seq100/95""]",1.0244548320770264e-08,8.195638656616211e-08,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,MCR,compatible_partial,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,100,0.23,0.14,-0.09,10,13,4,73,"[""MCR_v1_seq100/124"", ""MCR_v1_seq100/95"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/230""]","[""MCR_seq200b/272"", ""MCR_seq200b/278"", ""MCR_seq200b/324"", ""MCR_seq200b/330"", ""MCR_seq200b/416"", ""MCR_seq200b/430"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/90"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/183"", ""MCR_v2_seq100/184"", ""MCR_v2_seq100/244""]",0.049041748046875,0.343292236328125,8
reviewer_a,E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,MCR,complete_or_compatible_partial,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,100,0.49,0.73,0.24,45,4,28,23,"[""MCR_seq200b/249"", ""MCR_seq200b/274"", ""MCR_seq200b/294"", ""MCR_seq200b/302"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/346"", ""MCR_seq200b/394"", ""MCR_seq200b/408"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/124"", ""MCR_v1_seq100/126"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/87"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/196"", ""MCR_v2_seq100/197"", ""MCR_v2_seq100/206"", ""MCR_v2_seq100/230"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/330"", ""MCR_seq200b/430"", ""MCR_v1_seq100/28"", ""MCR_v1_seq100/90""]",1.9301194697618484e-05,0.0001351083628833294,8
reviewer_a,E1,options_vs_clean_fixed__aphhm_hierarchical,aphhm_hierarchical__clean_fixed,aphhm_hierarchical__options_fixed,primary,ALL,clinical_complete,ita_individual_model_reviewer_sensitivity,individual_blinded_model_reviewer_sensitivity_not_root,200,0.175,0.62,0.445,30,5,94,71,"[""DA_d2_heldout100/261"", ""DA_d2_heldout100/308"", ""DA_d2_heldout100/352"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/375"", ""DA_d2_heldout100/398"", ""DA_d2_heldout100/420"", ""DA_d2_heldout100/424"", ""DA_d2_heldout100/449"", ""DA_d2_heldout200b/455"", ""DA_d2_heldout200b/461"", ""DA_d2_heldout200b/464"", ""DA_d2_heldout200b/482"", ""DA_d2_heldout200b/487"", ""DA_d2_heldout200b/523"", ""DA_d2_heldout200b/540"", ""DA_d2_heldout200b/553"", ""DA_d2_heldout200b/555"", ""DA_d2_heldout200b/565"", ""DA_d2_heldout200b/574"", ""DA_d2_heldout200b/575"", ""DA_d2_heldout200b/584"", ""DA_d2_heldout200b/586"", ""DA_d2_heldout200b/604"", ""DA_d2_heldout200b/608"", ""DA_d2_heldout200b/620"", ""DA_d2_heldout200b/642"", ""DA_d2_heldout200b/702"", ""DA_d2_heldout200b/703"", ""DA_d2_heldout200b/734"", ""DA_d2_heldout200b/738"", ""DA_d2_heldout200b/740"", ""DA_d2_heldout200b/743"", ""DA_d2_heldout200b/762"", ""DA_d2_seq100/100"", ""DA_d2_seq100/120"", ""DA_d2_seq100/122"", ""DA_d2_seq100/125"", ""DA_d2_seq100/134"", ""DA_d2_seq100/158"", ""DA_d2_seq100/182"", ""DA_d2_seq100/187"", ""DA_d2_seq100/202"", ""DA_d2_seq100/214"", ""DA_d2_seq100/219"", ""DA_d2_seq100/226"", ""DA_d2_seq100/233"", ""DA_d2_seq100/27"", ""DA_d2_seq100/3"", ""DA_d2_seq100/76"", ""DA_d2_seq100/81"", ""DA_d2_seq100/89"", ""DA_d2_seq100/95"", ""DA_d2_seq100/99"", ""MCR_seq200b/249"", ""MCR_seq200b/258"", ""MCR_seq200b/272"", ""MCR_seq200b/274"", ""MCR_seq200b/275"", ""MCR_seq200b/291"", ""MCR_seq200b/294"", ""MCR_seq200b/306"", ""MCR_seq200b/307"", ""MCR_seq200b/316"", ""MCR_seq200b/321"", ""MCR_seq200b/344"", ""MCR_seq200b/352"", ""MCR_seq200b/355"", ""MCR_seq200b/371"", ""MCR_seq200b/384"", ""MCR_seq200b/386"", ""MCR_seq200b/394"", ""MCR_seq200b/401"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_v1_seq100/100"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/111"", ""MCR_v1_seq100/114"", ""MCR_v1_seq100/27"", ""MCR_v1_seq100/30"", ""MCR_v1_seq100/47"", ""MCR_v1_seq100/6"", ""MCR_v1_seq100/60"", ""MCR_v1_seq100/76"", ""MCR_v1_seq100/95"", ""MCR_v2_seq100/138"", ""MCR_v2_seq100/168"", ""MCR_v2_seq100/169"", ""MCR_v2_seq100/170"", ""MCR_v2_seq100/188"", ""MCR_v2_seq100/231"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/244""]","[""DA_d2_heldout200b/631"", ""MCR_seq200b/295"", ""MCR_seq200b/320"", ""MCR_v2_seq100/220"", ""MCR_v2_seq100/236""]",2.3807607549403916e-22,1.9046086039523133e-21,8
