experiment_id,label,scope,endpoint,panel_delta,panel_sign,panel_holm_adjusted_p,panel_holm_significant,reviewer_a_delta,reviewer_b_delta,reviewer_c_delta,reviewer_delta_min,reviewer_delta_max,reviewer_delta_range,all_reviewers_same_direction,all_reviewers_and_panel_same_direction,reviewer_holm_significant_n,panel_and_all_reviewers_holm_robust_same_direction,provenance
E1,options_vs_clean_fixed__ab02_flat,ALL,clinical_complete,0.395,positive,1.4026538610874898e-16,True,0.37,0.395,0.385,0.37,0.395,0.025000000000000022,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,ALL,compatible_partial,-0.13,negative,0.006032475683794884,True,-0.15,-0.12,-0.105,-0.15,-0.105,0.045,True,True,2,False,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,ALL,complete_or_compatible_partial,0.265,positive,1.0624294586453198e-10,True,0.22,0.275,0.28,0.22,0.28,0.060000000000000026,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,DA,clinical_complete,0.45,positive,9.51294246154255e-09,True,0.41,0.44,0.44,0.41,0.44,0.030000000000000027,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,DA,compatible_partial,-0.19,negative,0.03781100858213904,True,-0.21,-0.17,-0.17,-0.21,-0.17,0.03999999999999998,True,True,1,False,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,DA,complete_or_compatible_partial,0.26,positive,4.315422847867012e-05,True,0.2,0.27,0.27,0.2,0.27,0.07,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,MCR,clinical_complete,0.34,positive,4.3190084397792816e-08,True,0.33,0.35,0.33,0.33,0.35,0.019999999999999962,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,MCR,compatible_partial,-0.07,negative,0.82928466796875,False,-0.09,-0.07,-0.04,-0.09,-0.04,0.049999999999999996,True,True,0,False,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__ab02_flat,MCR,complete_or_compatible_partial,0.27,positive,1.12093985080719e-05,True,0.24,0.28,0.29,0.24,0.29,0.04999999999999999,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__aphhm_hierarchical,ALL,clinical_complete,0.415,positive,3.757753992419023e-19,True,0.445,0.4,0.415,0.4,0.445,0.044999999999999984,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__aphhm_hierarchical,ALL,compatible_partial,-0.145,negative,0.0012311121795547386,True,-0.175,-0.13,-0.135,-0.175,-0.13,0.044999999999999984,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__aphhm_hierarchical,ALL,complete_or_compatible_partial,0.27,positive,4.490598822465785e-09,True,0.27,0.27,0.28,0.27,0.28,0.010000000000000009,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_fixed__aphhm_hierarchical,DA,clinical_complete,0.49,positive,2.5437429940211587e-12,True,0.53,0.48,0.49,0.48,0.53,0.050000000000000044,True,True,3,True,model_reviewer_perturbation_not_root
