experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,n_ita_pairs,n_common_served,left_ita_rate,right_ita_rate,ita_delta_right_minus_left,common_served_outcome_gain_n,common_served_outcome_loss_n,common_served_outcome_contribution,right_only_service_positive_n,right_only_service_positive_contribution,left_only_service_positive_n,left_only_service_positive_contribution,decomposition_sum,common_served_conditional_delta,provenance
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,200,199,0.245,0.64,0.395,88,9,0.395,0,0.0,0,0.0,0.395,0.3969849246231156,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,200,199,0.295,0.165,-0.13,16,42,-0.13,0,0.0,0,0.0,-0.13,-0.1306532663316583,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,ALL,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,200,199,0.54,0.805,0.265,60,7,0.265,0,0.0,0,0.0,0.265,0.2663316582914573,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,100,100,0.21,0.66,0.45,52,7,0.45,0,0.0,0,0.0,0.45,0.45,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,100,100,0.4,0.21,-0.19,12,31,-0.19,0,0.0,0,0.0,-0.19,-0.19,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,100,100,0.61,0.87,0.26,30,4,0.26,0,0.0,0,0.0,0.26,0.26,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,DA,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,100,100,0.38,0.64,0.26,35,9,0.26,0,0.0,0,0.0,0.26,0.26,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,MCR,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,100,99,0.28,0.62,0.34,36,2,0.34,0,0.0,0,0.0,0.34,0.3434343434343434,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,MCR,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,100,99,0.19,0.12,-0.07,4,11,-0.07,0,0.0,0,0.0,-0.07,-0.0707070707070707,blinded_model_panel_sensitivity_not_root
E1,options_vs_clean_fixed__ab02_flat,ab02_flat__clean_fixed,ab02_flat__options_fixed,primary,MCR,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,100,99,0.47,0.74,0.27,30,3,0.27,0,0.0,0,0.0,0.27,0.2727272727272727,blinded_model_panel_sensitivity_not_root
