endpoint,left,right,interaction,MCR_n,DA_n,estimate_first_minus_second,unadjusted_percentile_bootstrap_ci95,null_centered_two_sided_bootstrap_p,bootstrap_p_monte_carlo_se,bootstrap_repetitions,bootstrap_unit,slice_counts_fixed,holm_adjusted_bootstrap_p,multiplicity_family,multiplicity_family_n
clinical_complete,collapse3c,multistance,MCR_delta_minus_DA_delta,400,400,-0.0125,"[-0.045, 0.02]",0.4886755662216889,0.0035345386137117588,20000,case,True,1.0,clinical_complete_family_interactions_10,10
clinical_complete,collapse3c,forest,MCR_delta_minus_DA_delta,400,400,-0.0325,"[-0.07, 0.005]",0.1016949152542373,0.0021371533875820512,20000,case,True,0.9152542372881356,clinical_complete_family_interactions_10,10
clinical_complete,collapse3c,impc,MCR_delta_minus_DA_delta,400,400,-0.05,"[-0.0925, -0.0075000000000000015]",0.022848857557122144,0.0010565432073963512,20000,case,True,0.22848857557122143,clinical_complete_family_interactions_10,10
clinical_complete,e7,v0,MCR_delta_minus_DA_delta,400,400,0.004999999999999999,"[-0.0225, 0.0325]",0.7898605069746513,0.0028807341760999465,20000,case,True,1.0,clinical_complete_family_interactions_10,10
clinical_complete,forest,e7,MCR_delta_minus_DA_delta,400,400,0.01,"[-0.03, 0.05]",0.6607669616519174,0.003347706505223881,20000,case,True,1.0,clinical_complete_family_interactions_10,10
clinical_complete,forest,B06,MCR_delta_minus_DA_delta,400,400,0.02,"[-0.015, 0.055]",0.28843557822108895,0.00320335943913307,20000,case,True,1.0,clinical_complete_family_interactions_10,10
clinical_complete,B06,e7,MCR_delta_minus_DA_delta,400,400,-0.009999999999999998,"[-0.0475, 0.03]",0.6573671316434179,0.003355773567019161,20000,case,True,1.0,clinical_complete_family_interactions_10,10
clinical_complete,B07,e7,MCR_delta_minus_DA_delta,400,400,0.015,"[-0.022500000000000003, 0.055]",0.49627518624068795,0.0035353474163164244,20000,case,True,1.0,clinical_complete_family_interactions_10,10
clinical_complete,B07,B06,MCR_delta_minus_DA_delta,400,400,0.025,"[-0.0125, 0.0625]",0.21388930553472327,0.0028994160092974076,20000,case,True,1.0,clinical_complete_family_interactions_10,10
clinical_complete,forest,lite,MCR_delta_minus_DA_delta,400,400,-0.0125,"[-0.0425, 0.0175]",0.4682265886705665,0.003528299884026434,20000,case,True,1.0,clinical_complete_family_interactions_10,10
