left,right,scope,endpoint,unique_full_n,nonunique_full_n,unique_full_delta_right_minus_left,unique_full_ci95,nonunique_full_delta_right_minus_left,nonunique_full_ci95,interaction_delta_unique_minus_nonunique,stratum_ci_status,interaction_inference_output
collapse3c,multistance,ALL,clinical_complete,455,345,-0.006593406593406593,"[-0.03076923076923077, 0.017582417582417582]",0.005797101449275362,"[-0.014492753623188406, 0.02608695652173913]",-0.012390508042681957,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,multistance,DA,clinical_complete,285,115,0.0035087719298245615,"[-0.021052631578947368, 0.028070175438596492]",0.008695652173913044,"[0.0, 0.02608695652173913]",-0.005186880244088482,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,multistance,MCR,clinical_complete,170,230,-0.023529411764705882,"[-0.07058823529411765, 0.023529411764705882]",0.004347826086956522,"[-0.021739130434782608, 0.034782608695652174]",-0.027877237851662403,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,forest,ALL,clinical_complete,455,345,-0.03076923076923077,"[-0.05934065934065934, -0.002197802197802198]",-0.002898550724637681,"[-0.02608695652173913, 0.020289855072463767]",-0.027870680044593088,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,forest,DA,clinical_complete,285,115,-0.007017543859649123,"[-0.031578947368421054, 0.017543859649122806]",0.008695652173913044,"[0.0, 0.02608695652173913]",-0.015713196033562166,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,forest,MCR,clinical_complete,170,230,-0.07058823529411765,"[-0.13529411764705881, -0.0058823529411764705]",-0.008695652173913044,"[-0.0391304347826087, 0.021739130434782608]",-0.061892583120204604,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,impc,ALL,clinical_complete,455,345,-0.03296703296703297,"[-0.06593406593406594, 0.0]",-0.02608695652173913,"[-0.05217391304347826, -0.002898550724637681]",-0.006880076445293839,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,impc,DA,clinical_complete,285,115,-0.007017543859649123,"[-0.03508771929824561, 0.021052631578947368]",0.0,"[0.0, 0.0]",-0.007017543859649123,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
collapse3c,impc,MCR,clinical_complete,170,230,-0.07647058823529412,"[-0.14705882352941177, -0.0058823529411764705]",-0.0391304347826087,"[-0.07391304347826087, -0.004347826086956522]",-0.037340153452685425,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
e7,v0,ALL,clinical_complete,455,345,-0.026373626373626374,"[-0.04835164835164835, -0.004395604395604396]",0.005797101449275362,"[-0.008695652173913044, 0.020289855072463767]",-0.032170727822901736,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
e7,v0,DA,clinical_complete,285,115,-0.021052631578947368,"[-0.042105263157894736, 0.0]",0.0,"[-0.02608695652173913, 0.02608695652173913]",-0.021052631578947368,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
e7,v0,MCR,clinical_complete,170,230,-0.03529411764705882,"[-0.08235294117647059, 0.011764705882352941]",0.008695652173913044,"[-0.008695652173913044, 0.02608695652173913]",-0.043989769820971865,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
forest,e7,ALL,clinical_complete,455,345,0.02197802197802198,"[-0.006593406593406593, 0.05274725274725275]",-0.011594202898550725,"[-0.034782608695652174, 0.011594202898550725]",0.0335722248765727,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
forest,e7,DA,clinical_complete,285,115,0.0035087719298245615,"[-0.02456140350877193, 0.031578947368421054]",0.0,"[0.0, 0.0]",0.0035087719298245615,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
forest,e7,MCR,clinical_complete,170,230,0.052941176470588235,"[-0.011764705882352941, 0.11764705882352941]",-0.017391304347826087,"[-0.05217391304347826, 0.017391304347826087]",0.07033248081841433,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
forest,B06,ALL,clinical_complete,455,345,-0.002197802197802198,"[-0.02857142857142857, 0.024175824175824177]",-0.002898550724637681,"[-0.02608695652173913, 0.020289855072463767]",0.0007007485268354834,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
forest,B06,DA,clinical_complete,285,115,-0.014035087719298246,"[-0.03859649122807018, 0.010526315789473684]",-0.008695652173913044,"[-0.02608695652173913, 0.0]",-0.005339435545385202,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
forest,B06,MCR,clinical_complete,170,230,0.01764705882352941,"[-0.03529411764705882, 0.07058823529411765]",0.0,"[-0.030434782608695653, 0.030434782608695653]",0.01764705882352941,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
B06,e7,ALL,clinical_complete,455,345,0.024175824175824177,"[-0.004395604395604396, 0.05274725274725275]",-0.008695652173913044,"[-0.034782608695652174, 0.017391304347826087]",0.03287147634973722,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
B06,e7,DA,clinical_complete,285,115,0.017543859649122806,"[-0.007017543859649123, 0.0456140350877193]",0.008695652173913044,"[0.0, 0.02608695652173913]",0.008848207475209762,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
B06,e7,MCR,clinical_complete,170,230,0.03529411764705882,"[-0.029411764705882353, 0.1]",-0.017391304347826087,"[-0.05217391304347826, 0.017391304347826087]",0.05268542199488491,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
B07,e7,ALL,clinical_complete,455,345,0.026373626373626374,"[-0.002197802197802198, 0.05714285714285714]",0.0,"[-0.02318840579710145, 0.02318840579710145]",0.026373626373626374,unadjusted descriptive percentile bootstrap; not an interaction test,clinical_interaction_inference.json
