arm,scope,n,safe_exact_n,safe_exact_rate,safe_exact_wilson95,legacy_chain_n,legacy_chain_rate,legacy_chain_wilson95,clinical_complete_n,clinical_complete_rate,clinical_complete_wilson95,partial_n,partial_rate,partial_wilson95,task_n,task_rate,task_wilson95,complete_or_partial_n,complete_or_partial_rate
collapse3c,ALL,800,68,0.085,"[0.06760256509949727, 0.10636390215121386]",169,0.21125,"[0.18437787568883443, 0.24088192531994354]",122,0.1525,"[0.12925287612926012, 0.17906844283368478]",263,0.32875,"[0.2970839125731392, 0.36205285252730485]",369,0.46125,"[0.42697393419917856, 0.49589642870676137]",385,0.48125
collapse3c,DA,400,3,0.0075,"[0.0025538891952499396, 0.021815720724032123]",80,0.2,"[0.16373705973387687, 0.24197031686670106]",15,0.0375,"[0.022855029814710867, 0.060943842444513396]",211,0.5275,"[0.4785460270872868, 0.5759307967243268]",252,0.63,"[0.5816587842920732, 0.6758680191810097]",226,0.565
collapse3c,MCR,400,65,0.1625,"[0.12958740844606098, 0.20183339022958918]",89,0.2225,"[0.18448827447183322, 0.2657910488837013]",107,0.2675,"[0.22648238411831478, 0.31294083274713314]",52,0.13,"[0.10053125228664084, 0.1665078455207386]",117,0.2925,"[0.2500620261568489, 0.33888557599188407]",159,0.3975
multistance,ALL,800,69,0.08625,"[0.0687198954927655, 0.10773462456743144]",181,0.22625,"[0.1986047032148914, 0.25651173150771633]",121,0.15125,"[0.12809208007527473, 0.17774118607818434]",260,0.325,"[0.29344702469490636, 0.3582255819770803]",360,0.45,"[0.4158466633530462, 0.4846312242675215]",381,0.47625
multistance,DA,400,3,0.0075,"[0.0025538891952499396, 0.021815720724032123]",93,0.2325,"[0.19376640712110382, 0.2763226703477448]",17,0.0425,"[0.026701694991131116, 0.06700205432475019]",210,0.525,"[0.4760571112644918, 0.5734672740187934]",247,0.6175,"[0.5689692933715043, 0.6637953174599363]",227,0.5675
multistance,MCR,400,66,0.165,"[0.13184503236772813, 0.2045282048362506]",88,0.22,"[0.1821738927340146, 0.2631529920931915]",104,0.26,"[0.21944164704726868, 0.30512425423319367]",50,0.125,"[0.09611512323676381, 0.1610190975139586]",113,0.2825,"[0.24061027235147464, 0.32852757568394425]",154,0.385
lite,ALL,800,63,0.07875,"[0.06203471192750583, 0.09949149127577626]",190,0.2375,"[0.2093096206483907, 0.26819928935958925]",106,0.1325,"[0.11075333675293707, 0.15775913725823487]",270,0.3375,"[0.3055790153571029, 0.37097411940974195]",343,0.42875,"[0.39487683209624463, 0.4633041577630644]",376,0.47
lite,DA,400,5,0.0125,"[0.005350750779971611, 0.028923736195967484]",103,0.2575,"[0.21709827513471777, 0.302515187617416]",16,0.04,"[0.024769063069711758, 0.06398224771784103]",215,0.5375,"[0.4885138311983594, 0.5857727467265683]",241,0.6025,"[0.5537852193447489, 0.6492647603167204]",231,0.5775
lite,MCR,400,58,0.145,"[0.11387048965924287, 0.18288323931810765]",87,0.2175,"[0.1798616207098898, 0.2605128255889877]",90,0.225,"[0.1868047408249817, 0.2684270210588814]",55,0.1375,"[0.10718448673484568, 0.1747119266575193]",102,0.255,"[0.21475670087938903, 0.2999043233444163]",145,0.3625
forest,ALL,800,66,0.0825,"[0.065371587866808, 0.10361877376493153]",213,0.26625,"[0.23679168718948085, 0.2979424374366727]",107,0.13375,"[0.11190474478090257, 0.15909578203975516]",279,0.34875,"[0.31651954663902543, 0.3824260634131917]",361,0.45125,"[0.41708215585609704, 0.4858837845739565]",386,0.4825
forest,DA,400,2,0.005,"[0.0013722529547103846, 0.018044918436243156]",112,0.28,"[0.23825142339704647, 0.32593398611004404]",14,0.035,"[0.02096129419797776, 0.057885139532918004]",213,0.5325,"[0.48352749876023604, 0.5808542021080347]",255,0.6375,"[0.5892885151310687, 0.6830956039269998]",227,0.5675
forest,MCR,400,64,0.16,"[0.12733275559943816, 0.1991356045478835]",101,0.2525,"[0.21241694139207157, 0.29729164430340527]",93,0.2325,"[0.19376640712110382, 0.2763226703477448]",66,0.165,"[0.13184503236772813, 0.2045282048362506]",106,0.265,"[0.22413371758035427, 0.31033706075676515]",159,0.3975
impc,ALL,800,68,0.085,"[0.06760256509949727, 0.10636390215121386]",212,0.265,"[0.23559326645928702, 0.2966528053573808]",98,0.1225,"[0.10156740699738123, 0.1470406445379042]",275,0.34375,"[0.3116545796664976, 0.37733881914777617]",347,0.43375,"[0.3998051863778724, 0.46832801471937985]",373,0.46625
impc,DA,400,5,0.0125,"[0.005350750779971611, 0.028923736195967484]",117,0.2925,"[0.2500620261568489, 0.33888557599188407]",13,0.0325,"[0.01908984237880045, 0.0548041528237668]",211,0.5275,"[0.4785460270872868, 0.5759307967243268]",250,0.625,"[0.5765790058795889, 0.671042920536837]",224,0.56
impc,MCR,400,63,0.1575,"[0.1250811291822658, 0.19643479243672732]",95,0.2375,"[0.19841751180740802, 0.2815764427180976]",85,0.2125,"[0.17524350992363666, 0.2552260593185839]",64,0.16,"[0.12733275559943816, 0.1991356045478835]",97,0.2425,"[0.2030764095091307, 0.286822422073032]",149,0.3725
e7,ALL,800,59,0.07375,"[0.05760461807328737, 0.09396937389205146]",162,0.2025,"[0.17610481586747045, 0.23173861547490687]",113,0.14125,"[0.11882711753619815, 0.1671017261413744]",239,0.29875,"[0.26805591116118055, 0.33136758651160414]",333,0.41625,"[0.382571499981681, 0.45072896178276983]",352,0.44
e7,DA,400,4,0.01,"[0.003895483794990993, 0.025426564652619582]",81,0.2025,"[0.16603379503442495, 0.24462602009448153]",15,0.0375,"[0.022855029814710867, 0.060943842444513396]",195,0.4875,"[0.4388685044431795, 0.5363693029151779]",228,0.57,"[0.5210443194375308, 0.6176239593556675]",210,0.525
e7,MCR,400,55,0.1375,"[0.10718448673484568, 0.1747119266575193]",81,0.2025,"[0.16603379503442495, 0.24462602009448153]",98,0.245,"[0.20540872953011524, 0.289442540580376]",44,0.11,"[0.08296867911910685, 0.1444509104616444]",105,0.2625,"[0.22178679994488373, 0.30773153986390706]",142,0.355
v0,ALL,800,60,0.075,"[0.058710007439900694, 0.09535203733492396]",155,0.19375,"[0.16785197651812486, 0.22257508515785177]",103,0.12875,"[0.10730324895371116, 0.15374506662900336]",247,0.30875,"[0.277714632847932, 0.3416132873007392]",321,0.40125,"[0.36783474470907995, 0.43560908334154114]",350,0.4375
v0,DA,400,1,0.0025,"[0.0004414477868016362, 0.01402328507582339]",70,0.175,"[0.1409042015930453, 0.2152787897242474]",9,0.0225,"[0.011881583530495034, 0.04220265755875813]",190,0.475,"[0.4265327259812066, 0.5239428887355082]",221,0.5525,"[0.50350210232178, 0.6004991067731187]",199,0.4975
v0,MCR,400,59,0.1475,"[0.1161060733583933, 0.18560009414728573]",85,0.2125,"[0.17524350992363666, 0.2552260593185839]",94,0.235,"[0.1960909748126292, 0.278950541184548]",57,0.1425,"[0.1116383145426319, 0.18016297590639008]",100,0.25,"[0.2100790142364741, 0.2946771329306741]",151,0.3775
B06,ALL,800,62,0.0775,"[0.06092508570081956, 0.0981130646929767]",194,0.2425,"[0.2140764888881528, 0.2733846323577704]",105,0.13125,"[0.10960261260002592, 0.1564218086016602]",280,0.35,"[0.31773641020716853, 0.3836972526545343]",356,0.445,"[0.41090687750307575, 0.4796187988795487]",385,0.48125
B06,DA,400,0,0.0,"[8.673617379884035e-19, 0.009512294334296508]",98,0.245,"[0.20540872953011524, 0.289442540580376]",9,0.0225,"[0.011881583530495034, 0.04220265755875813]",214,0.535,"[0.486020056782804, 0.5833140826137954]",246,0.615,"[0.5664353568701253, 0.6613768154329864]",223,0.5575
B06,MCR,400,62,0.155,"[0.12283258671753924, 0.19373089637312538]",96,0.24,"[0.20074599691279923, 0.284200396141035]",96,0.24,"[0.20074599691279923, 0.284200396141035]",66,0.165,"[0.13184503236772813, 0.2045282048362506]",110,0.275,"[0.23353872471100914, 0.3207418077394244]",162,0.405
B07,ALL,800,57,0.07125,"[0.055398305362103356, 0.09119958098426384]",170,0.2125,"[0.1855613371265769, 0.24218651669168684]",101,0.12625,"[0.10500672189306873, 0.15106548807067413]",282,0.3525,"[0.32017087921882126, 0.38623888926185324]",352,0.44,"[0.40597059478489994, 0.4746028703597813]",383,0.47875
