endpoint,scope,left,right,n,left_only,right_only,delta_right_minus_left,slice_stratified_case_bootstrap_ci95,bootstrap_ci_multiplicity_status,exact_mcnemar_p,holm_adjusted_p_within_endpoint_family,endpoint_multiplicity_family_n,coherent_family_holm_p,coherent_multiplicity_family
safe_exact,ALL,collapse3c,multistance,800,12,13,0.00125,"[-0.01125, 0.01375]",unadjusted,1.0,1.0,30,1.0,safe_exact_overall_10
safe_exact,DA,collapse3c,multistance,400,2,2,0.0,"[-0.01, 0.01]",unadjusted,1.0,1.0,30,,
safe_exact,MCR,collapse3c,multistance,400,10,11,0.0025,"[-0.02, 0.025]",unadjusted,1.0,1.0,30,,
safe_exact,ALL,collapse3c,forest,800,18,16,-0.0025,"[-0.01625, 0.01125]",unadjusted,0.8641662404406816,1.0,30,1.0,safe_exact_overall_10
safe_exact,DA,collapse3c,forest,400,2,1,-0.0025,"[-0.0125, 0.005]",unadjusted,1.0,1.0,30,,
safe_exact,MCR,collapse3c,forest,400,16,15,-0.0025,"[-0.03, 0.025]",unadjusted,1.0,1.0,30,,
safe_exact,ALL,collapse3c,impc,800,25,25,0.0,"[-0.0175, 0.0175]",unadjusted,1.0,1.0,30,1.0,safe_exact_overall_10
safe_exact,DA,collapse3c,impc,400,3,5,0.005,"[-0.0075, 0.02]",unadjusted,0.7265625,1.0,30,,
safe_exact,MCR,collapse3c,impc,400,22,20,-0.005,"[-0.0375, 0.0275]",unadjusted,0.8776143287523155,1.0,30,,
safe_exact,ALL,e7,v0,800,12,13,0.00125,"[-0.01125, 0.01375]",unadjusted,1.0,1.0,30,1.0,safe_exact_overall_10
safe_exact,DA,e7,v0,400,4,1,-0.0075,"[-0.02, 0.0025]",unadjusted,0.375,1.0,30,,
safe_exact,MCR,e7,v0,400,8,12,0.01,"[-0.0125, 0.0325]",unadjusted,0.5034446716308594,1.0,30,,
safe_exact,ALL,forest,e7,800,23,16,-0.00875,"[-0.02375, 0.00625]",unadjusted,0.3367836351899314,1.0,30,1.0,safe_exact_overall_10
safe_exact,DA,forest,e7,400,2,4,0.005,"[-0.0075, 0.0175]",unadjusted,0.6875,1.0,30,,
safe_exact,MCR,forest,e7,400,21,12,-0.0225,"[-0.05, 0.005]",unadjusted,0.16275565745308995,1.0,30,,
safe_exact,ALL,forest,B06,800,16,12,-0.005,"[-0.01875, 0.0075]",unadjusted,0.5715881884098053,1.0,30,1.0,safe_exact_overall_10
safe_exact,DA,forest,B06,400,2,0,-0.005,"[-0.0125, 0.0]",unadjusted,0.5,1.0,30,,
safe_exact,MCR,forest,B06,400,14,12,-0.005,"[-0.03, 0.02]",unadjusted,0.8450189828872681,1.0,30,,
safe_exact,ALL,B06,e7,800,22,19,-0.00375,"[-0.01875, 0.0125]",unadjusted,0.755228657504631,1.0,30,1.0,safe_exact_overall_10
safe_exact,DA,B06,e7,400,0,4,0.01,"[0.0025, 0.02]",unadjusted,0.125,1.0,30,,
