family,endpoint,arm,repetitions,mean_rank,median_rank,rank_interval95,p_tied_for_first,p_unique_first
DA,clinical_complete,collapse3c,10000,3.86415,3.5,"[1.0, 8.0]",0.1666,0.1036
DA,clinical_complete,multistance,10000,2.5272,2.0,"[1.0, 6.5]",0.4137,0.306
DA,clinical_complete,lite,10000,3.08845,3.0,"[1.0, 7.0]",0.3023,0.2177
DA,clinical_complete,forest,10000,4.6105,4.5,"[1.5, 8.0]",0.0492,0.0205
DA,clinical_complete,impc,10000,5.32675,5.5,"[1.5, 9.0]",0.0368,0.0192
DA,clinical_complete,e7,10000,3.79675,3.5,"[1.0, 8.0]",0.2044,0.1385
DA,clinical_complete,v0,10000,7.86625,8.0,"[4.0, 9.0]",0.0013,0.0006
DA,clinical_complete,B06,10000,7.89715,8.0,"[4.5, 9.0]",0.0005,0.0002
DA,clinical_complete,B07,10000,6.0228,6.5,"[1.5, 9.0]",0.0357,0.0174
DA,safe_exact,collapse3c,10000,4.84715,5.0,"[1.0, 8.0]",0.0765,0.0257
DA,safe_exact,multistance,10000,4.8937,5.0,"[1.5, 8.0]",0.0594,0.016
DA,safe_exact,lite,10000,2.74735,2.5,"[1.0, 6.5]",0.3946,0.2392
DA,safe_exact,forest,10000,6.17485,6.5,"[2.5, 8.5]",0.011,0.0017
DA,safe_exact,impc,10000,2.79225,2.5,"[1.0, 6.5]",0.3949,0.2363
DA,safe_exact,e7,10000,3.7664,3.5,"[1.0, 7.5]",0.1852,0.0779
DA,safe_exact,v0,10000,7.37095,8.0,"[4.0, 8.5]",0.0006,0.0
DA,safe_exact,B06,10000,8.6805,8.5,"[8.0, 9.0]",0.0,0.0
DA,safe_exact,B07,10000,3.72685,3.5,"[1.0, 7.5]",0.243,0.1298
DA,legacy_chain,collapse3c,10000,7.37135,7.5,"[6.0, 9.0]",0.0,0.0
DA,legacy_chain,multistance,10000,4.86095,5.0,"[3.0, 7.0]",0.0005,0.0005
DA,legacy_chain,lite,10000,3.2266,3.0,"[2.0, 5.0]",0.0163,0.0113
