case_key,family,gold,evidence_count_control_champion,e7_contrast_champion,forest_evidence_integrator_champion,collapse_obligation_ledger_champion,pairwise_tournament_champion,evidence_count_control_hit,e7_contrast_hit,forest_evidence_integrator_hit,collapse_obligation_ledger_hit,pairwise_tournament_hit
DA_d2_heldout100/334,DA,Phaeohyphomycosis,Chromoblastomycosis,Phaeohyphomycosis,Phaeohyphomycosis,Phaeohyphomycosis,Exophiala infection,False,True,True,True,False
MCR_seq200b/260,MCR,syphilitic aortitis,Infectious aortitis,Infectious aortitis,Syphilitic aortitis,Syphilitic aortitis,Infectious aortitis,False,False,True,True,False
MCR_seq200b/285,MCR,Pycnodysostosis,Pyknodysostosis,Pyknodysostosis,Pycnodysostosis,Pyknodysostosis,Pyknodysostosis,False,False,True,False,False
MCR_seq200b/317,MCR,Cryptococcal meningitis,Progressive multifocal leukoencephalopathy,Toxoplasmosis,Cryptococcal meningitis,Cryptococcal meningitis,Cryptococcal meningitis,False,False,True,True,True
MCR_seq200b/345,MCR,Hereditary hypophosphatemic rickets with hypercalciuria,X-linked hypophosphatemia,Hypophosphatemic rickets with nephrocalcinosis,Hereditary hypophosphatemic rickets with hypercalciuria,Hypophosphatemic rickets with nephrocalcinosis,Hypophosphatemic rickets with nephrocalcinosis,False,False,True,False,False
MCR_seq200b/374,MCR,cryptogenic organizing pneumonia,Pneumonia,Cryptogenic organizing pneumonia,Cryptogenic organizing pneumonia,Cryptogenic organizing pneumonia,organizing pneumonia,False,True,True,True,False
MCR_seq200b/383,MCR,Idiopathic granulomatous mastitis,Idiopathic granulomatous mastitis,Granulomatous lobular mastitis,Idiopathic granulomatous mastitis,Idiopathic granulomatous mastitis,Idiopathic granulomatous mastitis,True,False,True,True,True
MCR_seq200b/418,MCR,Sarcoidosis,Arrhythmogenic Right Ventricular Cardiomyopathy,Cardiac sarcoidosis,Sarcoidosis,Cardiac sarcoidosis,Cardiac sarcoidosis,False,False,True,False,False
MCR_seq200b/424,MCR,Nonbacterial thrombotic endocarditis,Antiphospholipid Syndrome,Marantic Endocarditis,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,False,True,False,False,False
MCR_seq200b/458,MCR,Lymphangioleiomyomatosis,Birt-Hogg-Dube syndrome,Birt-Hogg-Dube syndrome,Lymphangioleiomyomatosis,Lymphangioleiomyomatosis,Lymphangioleiomyomatosis,False,False,True,True,True
MCR_seq200b/470,MCR,cone-rod dystrophy,Stargardt disease,Stargardt disease,Stargardt disease,Cone-rod dystrophy,Cone-rod dystrophy,False,False,False,True,True
MCR_seq200b/479,MCR,Extraskeletal myxoid chondrosarcoma,Low-grade fibromyxoid sarcoma,Myxoid Liposarcoma,Myxoid Liposarcoma,Myxoid Liposarcoma,Extraskeletal myxoid chondrosarcoma,False,False,False,False,True
MCR_v1_seq100/60,MCR,Polymyalgia rheumatica,Polymyalgia rheumatica,Iliopsoas tendinopathy,Polymyalgia rheumatica,Iliopsoas tendinopathy,Polymyalgia rheumatica,True,False,True,False,True
MCR_v2_seq100/174,MCR,autoimmune gastritis,Atrophic gastritis,Autoimmune gastritis,Autoimmune gastritis,Atrophic corpus gastritis,Autoimmune gastritis,False,True,True,False,True
MCR_v2_seq100/205,MCR,Cysticercosis,Neurofibromatosis type 1,Multiple lipomas,Cysticercosis,Cysticercosis,Cysticercosis,False,False,True,True,True
MCR_v2_seq100/211,MCR,Ewing sarcoma,Uterine Sarcoma,Ewing sarcoma,Ewing sarcoma,Ewing's Sarcoma,Ewing sarcoma,False,True,True,False,True
MCR_v2_seq100/220,MCR,Kawasaki disease,Kawasaki disease,Multisystem inflammatory syndrome in children (MIS-C),Multisystem inflammatory syndrome in children (MIS-C),Kawasaki disease,Kawasaki disease,True,False,False,True,True
