case_key,family,anchor_key,arm,success,gold_exposure_hit,gold_top1,candidate_n,champion_label,runner_up_label,cache_hit,error
DA_d2_heldout100/254,DA,ax_modality,real_views,True,False,False,8,Intramuscular abscess,Paraspinal abscess,False,
DA_d2_heldout100/254,DA,ax_modality,role_rotated,True,False,False,8,Intramuscular abscess,Paraspinal abscess,False,
DA_d2_heldout100/254,DA,ax_modality,single_anchor,True,False,False,2,Fusobacterium necrophorum infection,Intramuscular abscess,False,
DA_d2_heldout100/254,DA,ax_modality,duplicate_anchor,True,False,False,2,Fusobacterium necrophorum infection,Intramuscular abscess,False,
DA_d2_heldout100/255,DA,ax_modality,real_views,True,False,False,4,Pemphigus,Subacute cutaneous lupus erythematosus,False,
DA_d2_heldout100/255,DA,ax_modality,role_rotated,True,False,False,4,Pemphigus,Subacute cutaneous lupus erythematosus,False,
DA_d2_heldout100/255,DA,ax_modality,single_anchor,True,False,False,2,Lupus erythematosus,Subacute cutaneous lupus erythematosus,False,
DA_d2_heldout100/255,DA,ax_modality,duplicate_anchor,True,False,False,2,Lupus erythematosus,Subacute cutaneous lupus erythematosus,False,
DA_d2_heldout100/257,DA,ax_modality,real_views,True,False,False,5,HTRA1-related hereditary cerebral small vessel disease,Cerebral Amyloid Angiopathy,False,
DA_d2_heldout100/257,DA,ax_modality,role_rotated,True,False,False,5,HTRA1-related hereditary cerebral small vessel disease,Hereditary Cerebral Hemorrhage with Amyloidosis (HCHWA),False,
DA_d2_heldout100/257,DA,ax_modality,single_anchor,True,False,False,2,Cerebral Amyloid Angiopathy,CADASIL syndrome,False,
DA_d2_heldout100/257,DA,ax_modality,duplicate_anchor,True,False,False,2,CADASIL syndrome,Cerebral Amyloid Angiopathy,False,
DA_d2_heldout100/259,DA,ax_modality,real_views,True,False,False,5,Hypoxemic cardiac arrest,Chronic obstructive pulmonary disease (COPD) exacerbation,False,
DA_d2_heldout100/259,DA,ax_modality,role_rotated,True,False,False,5,Hypoxemic cardiac arrest,Chronic obstructive pulmonary disease (COPD) exacerbation,False,
DA_d2_heldout100/259,DA,ax_modality,single_anchor,True,False,False,3,Brugada syndrome,Chronic obstructive pulmonary disease (COPD) exacerbation,False,
DA_d2_heldout100/259,DA,ax_modality,duplicate_anchor,True,False,False,3,Chronic obstructive pulmonary disease (COPD) exacerbation,Brugada syndrome,False,
DA_d2_heldout100/261,DA,ax_modality,real_views,True,True,True,3,Cutaneous Malakoplakia,Malakoplakia,False,
DA_d2_heldout100/261,DA,ax_modality,role_rotated,True,True,True,3,Cutaneous Malakoplakia,Malakoplakia,False,
DA_d2_heldout100/261,DA,ax_modality,single_anchor,True,False,False,1,Malakoplakia,,False,
DA_d2_heldout100/261,DA,ax_modality,duplicate_anchor,True,False,False,1,Malakoplakia,,False,
DA_d2_heldout100/268,DA,ax_modality,real_views,True,False,False,5,Thalamic hemorrhage,Intracerebral Hemorrhage,False,
DA_d2_heldout100/268,DA,ax_modality,role_rotated,True,False,False,5,Thalamic hemorrhage,Intracerebral Hemorrhage,False,
DA_d2_heldout100/268,DA,ax_modality,single_anchor,True,False,False,2,Intracerebral Hemorrhage,Stroke,False,
DA_d2_heldout100/268,DA,ax_modality,duplicate_anchor,True,False,False,2,Intracerebral Hemorrhage,Stroke,False,
DA_d2_heldout100/270,DA,ax_mechanism,real_views,True,False,False,8,Tachyarrhythmia,Arrhythmia,False,
DA_d2_heldout100/270,DA,ax_mechanism,role_rotated,True,False,False,8,Infective endocarditis,Tachyarrhythmia,False,
DA_d2_heldout100/270,DA,ax_mechanism,single_anchor,True,False,False,4,Arrhythmia,Infective endocarditis,False,
DA_d2_heldout100/270,DA,ax_mechanism,duplicate_anchor,True,False,False,4,Arrhythmia,Infective endocarditis,False,
DA_d2_heldout100/273,DA,ax_modality,real_views,True,False,False,3,Allergic Contact Dermatitis,Atopic Dermatitis,False,
DA_d2_heldout100/273,DA,ax_modality,role_rotated,True,False,False,3,Allergic Contact Dermatitis,Atopic Dermatitis,False,
DA_d2_heldout100/273,DA,ax_modality,single_anchor,True,False,False,2,Allergic Contact Dermatitis,Atopic Dermatitis,False,
DA_d2_heldout100/273,DA,ax_modality,duplicate_anchor,True,False,False,2,Allergic Contact Dermatitis,Atopic Dermatitis,False,
DA_d2_heldout100/276,DA,ax_modality,real_views,True,False,False,4,Carcinoma Erysipelatoides,Cutaneous Metastasis,False,
DA_d2_heldout100/276,DA,ax_modality,role_rotated,True,False,False,4,Carcinoma Erysipelatoides,Inflammatory Breast Cancer,False,
DA_d2_heldout100/276,DA,ax_modality,single_anchor,True,False,False,3,Cutaneous Metastasis,Inflammatory Breast Cancer,False,
DA_d2_heldout100/276,DA,ax_modality,duplicate_anchor,True,False,False,3,Inflammatory Breast Cancer,Cutaneous Metastasis,False,
DA_d2_heldout100/281,DA,ax_syndrome,real_views,True,False,False,4,Invasive Melanoma,Melanoma,False,
DA_d2_heldout100/281,DA,ax_syndrome,role_rotated,True,False,False,4,BRAF V600E-mutant melanoma,Invasive Melanoma,False,
DA_d2_heldout100/281,DA,ax_syndrome,single_anchor,True,False,False,2,Invasive Melanoma,Melanoma,False,
DA_d2_heldout100/281,DA,ax_syndrome,duplicate_anchor,True,False,False,2,Invasive Melanoma,Melanoma,False,
DA_d2_heldout100/283,DA,ax_mechanism,real_views,True,False,False,3,Basal Cell Carcinoma,Cicatricial Ectropion,False,
DA_d2_heldout100/283,DA,ax_mechanism,role_rotated,True,False,False,3,Basal Cell Carcinoma,Cicatricial Ectropion,False,
DA_d2_heldout100/283,DA,ax_mechanism,single_anchor,True,False,False,3,Basal Cell Carcinoma,Cicatricial Ectropion,False,
DA_d2_heldout100/283,DA,ax_mechanism,duplicate_anchor,True,False,False,3,Basal Cell Carcinoma,Cicatricial Ectropion,False,
DA_d2_heldout100/284,DA,ax_mechanism,real_views,True,False,False,4,Tongue Metastasis of Malignant Mesothelioma,Malignant Pleural Mesothelioma,False,
DA_d2_heldout100/284,DA,ax_mechanism,role_rotated,True,False,False,4,Tongue Metastasis of Malignant Mesothelioma,Malignant Pleural Mesothelioma,False,
DA_d2_heldout100/284,DA,ax_mechanism,single_anchor,True,False,False,2,Tongue Metastasis,Malignant Mesothelioma,False,
DA_d2_heldout100/284,DA,ax_mechanism,duplicate_anchor,True,False,False,2,Tongue Metastasis,Malignant Mesothelioma,False,
DA_d2_heldout100/289,DA,ax_modality,real_views,True,False,False,3,Frontotemporal dementia and parkinsonism-17,Progressive supranuclear palsy,False,
DA_d2_heldout100/289,DA,ax_modality,role_rotated,True,False,False,3,Amyotrophic lateral sclerosis,Progressive supranuclear palsy,False,
DA_d2_heldout100/289,DA,ax_modality,single_anchor,True,False,False,2,Frontotemporal dementia and parkinsonism-17,Progressive supranuclear palsy,False,
DA_d2_heldout100/289,DA,ax_modality,duplicate_anchor,True,False,False,2,Progressive supranuclear palsy,,False,
DA_d2_heldout100/290,DA,ax_syndrome,real_views,True,False,False,6,Acute Coronary Syndrome,Myocardial Infarction with Total Occlusion,False,
DA_d2_heldout100/290,DA,ax_syndrome,role_rotated,True,False,False,6,Acute Coronary Syndrome,Coronary Artery Disease,False,
DA_d2_heldout100/290,DA,ax_syndrome,single_anchor,True,False,False,3,Acute Coronary Syndrome,Myocardial Infarction,False,
DA_d2_heldout100/290,DA,ax_syndrome,duplicate_anchor,True,False,False,3,Acute Coronary Syndrome,Myocardial Infarction,False,
DA_d2_heldout100/312,DA,ax_syndrome,real_views,True,False,False,4,Multiple system atrophy,Fabry disease,False,
DA_d2_heldout100/312,DA,ax_syndrome,role_rotated,True,False,False,4,Fabry disease,Multiple system atrophy,False,
DA_d2_heldout100/312,DA,ax_syndrome,single_anchor,True,False,False,3,Multiple System Atrophy,Fabry Disease,False,
DA_d2_heldout100/312,DA,ax_syndrome,duplicate_anchor,True,False,False,3,Multiple System Atrophy,Fabry Disease,False,
DA_d2_heldout100/314,DA,ax_syndrome,real_views,True,False,False,5,Peeling skin disease due to CDSN gene mutations,Peeling skin syndrome type B,False,
DA_d2_heldout100/314,DA,ax_syndrome,role_rotated,True,False,False,5,Peeling skin disease due to CDSN gene mutations,Peeling skin syndrome type B,False,
DA_d2_heldout100/314,DA,ax_syndrome,single_anchor,True,False,False,3,Peeling skin disease due to CDSN gene mutations,Peeling skin syndrome,False,
DA_d2_heldout100/314,DA,ax_syndrome,duplicate_anchor,True,False,False,3,Peeling skin disease due to CDSN gene mutations,Peeling skin syndrome,False,
DA_d2_heldout100/317,DA,ax_syndrome,real_views,True,False,False,3,Pyoderma gangrenosum,Sweet syndrome,False,
DA_d2_heldout100/317,DA,ax_syndrome,role_rotated,True,False,False,3,Pyoderma gangrenosum,Sweet syndrome,False,
DA_d2_heldout100/317,DA,ax_syndrome,single_anchor,True,False,False,2,Pyoderma gangrenosum,Acute febrile neutrophilic dermatosis (Sweet syndrome),False,
