family,arm,ita_n,served_n,service_rate,official_task_name,source_option_n_values,official_task_n,official_task_rate_ita,clinical_complete_n,clinical_complete_rate_ita,complete_or_compatible_partial_n,complete_or_compatible_partial_rate_ita,pool_complete_exposure_n,pool_complete_exposure_rate,pool_complete_or_partial_exposure_n,pool_complete_or_partial_exposure_rate,conditional_complete_conversion,mean_main_pool_width,runner_calls,runner_input_tokens,runner_output_tokens,runner_usage_row_coverage,confirmatory_withheld_gate_failure
DA,A0_control,400,388,0.97,DA Acc@N/option accuracy,[4],90,0.225,15,0.0375,234,0.585,18,0.045,286,0.715,0.8333333333333334,2.79,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
DA,A1_views,400,397,0.9925,DA Acc@N/option accuracy,[4],114,0.285,22,0.055,260,0.65,26,0.065,341,0.8525,0.8461538461538461,5.0925,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
DA,A2_views_typed,400,388,0.97,DA Acc@N/option accuracy,[4],102,0.255,20,0.05,253,0.6325,21,0.0525,316,0.79,0.9523809523809523,3.6425,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
DA,A3_full,400,398,0.995,DA Acc@N/option accuracy,[4],102,0.255,20,0.05,252,0.63,21,0.0525,325,0.8125,0.9523809523809523,3.72,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
DA,B1_corelift,400,397,0.9925,DA Acc@N/option accuracy,[4],124,0.31,30,0.075,259,0.6475,37,0.0925,332,0.83,0.8108108108108109,4.835,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",True
MCR,A0_control,400,389,0.9725,MCR Prompt-7 Acc,[],127,0.3175,100,0.25,167,0.4175,120,0.3,216,0.54,0.8333333333333334,2.765,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
MCR,A1_views,400,390,0.975,MCR Prompt-7 Acc,[],139,0.3475,112,0.28,175,0.4375,144,0.36,260,0.65,0.7777777777777778,4.705,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
MCR,A2_views_typed,400,390,0.975,MCR Prompt-7 Acc,[],131,0.3275,101,0.2525,175,0.4375,128,0.32,245,0.6125,0.7890625,3.4775,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
MCR,A3_full,400,389,0.9725,MCR Prompt-7 Acc,[],130,0.325,99,0.2475,177,0.4425,125,0.3125,246,0.615,0.792,3.4775,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",False
MCR,B1_corelift,400,391,0.9775,MCR Prompt-7 Acc,[],122,0.305,100,0.25,175,0.4375,135,0.3375,252,0.63,0.7407407407407407,4.5,,,,"{""calls"": 0, ""input_tokens"": 0, ""ita_n"": 400, ""output_tokens"": 0}",True
