family,contrast,left_arm,right_arm,endpoint,analysis_scope,status,n,both,left_only,right_only,neither,delta_right_minus_left,exact_mcnemar_p,holm_family,holm_adjusted_p
DA,A1-A0,A0_control,A1_views,clinical_complete,ITA,evaluated,400,15,0,7,378,0.0175,0.015625,DA/clinical_complete,0.0625
DA,A2-A1,A1_views,A2_views_typed,clinical_complete,ITA,evaluated,400,17,5,3,375,-0.005,0.7265625,DA/clinical_complete,1.0
DA,A3-A0,A0_control,A3_full,clinical_complete,ITA,evaluated,400,12,3,8,377,0.0125,0.2265625,DA/clinical_complete,0.6796875
DA,A3-A2,A2_views_typed,A3_full,clinical_complete,ITA,evaluated,400,19,1,1,379,0.0,1.0,DA/clinical_complete,1.0
DA,B1-A3,A3_full,B1_corelift,clinical_complete,ITA,confirmatory_withheld_gate_failure,,,,,,,,DA/clinical_complete,
DA,A1-A0,A0_control,A1_views,clinical_complete,common_served_sensitivity,sensitivity_only,385,15,0,7,363,0.01818181818181818,0.015625,,
DA,A2-A1,A1_views,A2_views_typed,clinical_complete,common_served_sensitivity,sensitivity_only,386,17,5,3,361,-0.0051813471502590676,0.7265625,,
DA,A3-A0,A0_control,A3_full,clinical_complete,common_served_sensitivity,sensitivity_only,386,12,3,7,364,0.010362694300518135,0.34375,,
DA,A3-A2,A2_views_typed,A3_full,clinical_complete,common_served_sensitivity,sensitivity_only,386,19,1,1,365,0.0,1.0,,
DA,A1-A0,A0_control,A1_views,complete_or_compatible_partial,ITA,evaluated,400,213,21,47,119,0.065,0.0021862431776861705,DA/complete_or_compatible_partial,0.008744972710744682
DA,A2-A1,A1_views,A2_views_typed,complete_or_compatible_partial,ITA,evaluated,400,235,25,18,122,-0.0175,0.3603776529357674,DA/complete_or_compatible_partial,0.7207553058715348
DA,A3-A0,A0_control,A3_full,complete_or_compatible_partial,ITA,evaluated,400,202,32,50,116,0.045,0.05980833833431617,DA/complete_or_compatible_partial,0.1794250150029485
DA,A3-A2,A2_views_typed,A3_full,complete_or_compatible_partial,ITA,evaluated,400,232,21,20,127,-0.0025,1.0,DA/complete_or_compatible_partial,1.0
DA,B1-A3,A3_full,B1_corelift,complete_or_compatible_partial,ITA,confirmatory_withheld_gate_failure,,,,,,,,DA/complete_or_compatible_partial,
DA,A1-A0,A0_control,A1_views,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,385,213,19,37,116,0.046753246753246755,0.022241389472860112,,
DA,A2-A1,A1_views,A2_views_typed,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,386,235,17,16,118,-0.0025906735751295338,1.0,,
DA,A3-A0,A0_control,A3_full,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,386,202,31,40,113,0.023316062176165803,0.3424709984198679,,
DA,A3-A2,A2_views_typed,A3_full,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,386,232,19,13,122,-0.015544041450777202,0.37708558747544885,,
DA,A1-A0,A0_control,A1_views,official_task,ITA,evaluated,400,70,20,44,266,0.06,0.0036899642765400487,DA/official_task,0.018449821382700245
DA,A2-A1,A1_views,A2_views_typed,official_task,ITA,evaluated,400,90,24,12,274,-0.03,0.06524533522315323,DA/official_task,0.1957360056694597
DA,A3-A0,A0_control,A3_full,official_task,ITA,evaluated,400,64,26,38,272,0.03,0.16864291143970336,DA/official_task,0.3372858228794067
