773 old_old suspend_CTEPH_only_explicit_IPAH_rows gold 2 top [('Eisenmenger Syndrome', 22.378), ('Patent Foramen Ovale', 19.301), ('Chronic Thromboembolic Disease', 3.578), ('Congenital Heart Disease', 3.222)]
773 old_old restore_exact_IPAH_subject_identity gold 2 top [('Eisenmenger Syndrome', 21.698), ('Patent Foramen Ovale', 19.301), ('Chronic Thromboembolic Disease', 3.245), ('Congenital Heart Disease', 3.173)]
522 old_old restore_explicit_DLB_subject_identity gold 2 top [('Vitamin B12 deficiency', 66.29), ('Catatonia', 21.629), ('Major depressive disorder with psychotic features', 17.857), ('Creutzfeldt-Jakob Disease', 10.733)]
773 free_old suspend_CTEPH_only_explicit_IPAH_rows gold 4 top [('Eisenmenger Syndrome', 16.374), ('Tricuspid Regurgitation', 9.884), ('Congenital Heart Disease', 3.062), ('Idiopathic Pulmonary Arterial Hypertension', 1.153)]
773 free_old restore_exact_IPAH_subject_identity gold 3 top [('Eisenmenger Syndrome', 15.534), ('Tricuspid Regurgitation', 9.304), ('Idiopathic Pulmonary Arterial Hypertension', 6.406), ('Congenital Heart Disease', 3.02)]
522 free_old restore_explicit_DLB_subject_identity gold 2 top [('Vitamin B12 deficiency', 48.178), ('Catatonia', 24.867), ('Chronic ischemia', 17.611), ('Major depressive disorder with psychotic features', 16.114)]
773 old_v2 suspend_CTEPH_only_explicit_IPAH_rows gold 3 top [('Eisenmenger Syndrome', 25.15), ('Tricuspid Regurgitation', 18.269), ('Patent Foramen Ovale', 17.16), ('Congenital Heart Disease', 4.895)]
773 old_v2 restore_exact_IPAH_subject_identity gold 3 top [('Eisenmenger Syndrome', 24.2), ('Tricuspid Regurgitation', 17.563), ('Patent Foramen Ovale', 15.915), ('Congenital Heart Disease', 4.793)]
522 old_v2 restore_explicit_DLB_subject_identity gold 2 top [('Vitamin B12 deficiency', 63.685), ('Catatonia', 18.158), ('Creutzfeldt-Jakob Disease', 14.25), ('Major depressive disorder with psychotic features', 12.185)]
773 free_v2 suspend_CTEPH_only_explicit_IPAH_rows gold 7 top [('Chronic Thromboembolic Pulmonary Hypertension', 30.825), ('Tricuspid Regurgitation', 18.096), ('Eisenmenger Syndrome', 12.454), ('Congenital Heart Disease', 4.609)]
773 free_v2 restore_exact_IPAH_subject_identity gold 4 top [('Chronic Thromboembolic Pulmonary Hypertension', 27.661), ('Tricuspid Regurgitation', 16.963), ('Eisenmenger Syndrome', 11.822), ('Idiopathic Pulmonary Arterial Hypertension', 9.324)]
522 free_v2 restore_explicit_DLB_subject_identity gold 4 top [('Vitamin B12 deficiency', 55.163), ('Chronic ischemia', 17.512), ('Major depressive disorder with psychotic features', 15.526), ('Catatonia', 15.377)]
773 free_v2 restore_old_proven_wrong_brake gold 6 top [('Tricuspid Regurgitation', 18.047), ('Eisenmenger Syndrome', 12.454), ('Congenital Heart Disease', 4.559), ('Chronic Thromboembolic Disease', 4.549)]
773 free_v2 restore_wrong_brake_and_suspend_numeric_votes gold 6 top [('Tricuspid Regurgitation', 18.047), ('Eisenmenger Syndrome', 12.454), ('Congenital Heart Disease', 4.559), ('Chronic Thromboembolic Disease', 4.549)]
