symptom_uuid,condition_snomed_id,likelihood_symptom_given_condition,likelihood_condition_given_symptom,strong_predictor
47846ef8-a65c-11eb-8d02-1e003a340630,415105001,very_high,medium,
476ae50a-a65c-11eb-8d02-1e003a340630,415105001,high,medium,
e2f2cab0-d456-11eb-a77f-1e003a340630,415105001,very_high,very_high,1
47600c02-a65c-11eb-8d02-1e003a340630,415105001,high,medium,
473569ac-a65c-11eb-8d02-1e003a340630,415105001,high,low,
4726f7fa-a65c-11eb-8d02-1e003a340630,415105001,medium,rare,
476b481a-a65c-11eb-8d02-1e003a340630,415105001,high,high,
477aafb2-a65c-11eb-8d02-1e003a340630,10509002,high,high,
47258974-a65c-11eb-8d02-1e003a340630,10509002,medium,rare,
471edde0-a65c-11eb-8d02-1e003a340630,10509002,medium,medium,
471ec3aa-a65c-11eb-8d02-1e003a340630,10509002,high,medium,
471f2d86-a65c-11eb-8d02-1e003a340630,10509002,high,low,
471ffab8-a65c-11eb-8d02-1e003a340630,10509002,high,medium,0
471f4866-a65c-11eb-8d02-1e003a340630,10509002,low,medium,
471f987a-a65c-11eb-8d02-1e003a340630,10509002,low,low,
471f130a-a65c-11eb-8d02-1e003a340630,10509002,high,medium,0
4722e7c8-a65c-11eb-8d02-1e003a340630,10509002,medium,medium,
471e8e62-a65c-11eb-8d02-1e003a340630,10509002,very_high,low,
473ca9f6-a65c-11eb-8d02-1e003a340630,10509002,medium,medium,
473b48a4-a65c-11eb-8d02-1e003a340630,10509002,low,rare,
47258974-a65c-11eb-8d02-1e003a340630,65275009,high,low,
471a5f04-a65c-11eb-8d02-1e003a340630,65275009,very_high,very_high,1
4737ee0c-a65c-11eb-8d02-1e003a340630,65275009,high,medium,
47172c6c-a65c-11eb-8d02-1e003a340630,65275009,high,medium,
471e0014-a65c-11eb-8d02-1e003a340630,65275009,high,low,
471a33ee-a65c-11eb-8d02-1e003a340630,65275009,high,low,0
47483014-a65c-11eb-8d02-1e003a340630,65275009,high,rare,
47758294-a65c-11eb-8d02-1e003a340630,65275009,low,low,
4725efa4-a65c-11eb-8d02-1e003a340630,65275009,high,low,
473914a8-a65c-11eb-8d02-1e003a340630,65275009,high,low,
47187806-a65c-11eb-8d02-1e003a340630,65275009,high,low,
4719b3f6-a65c-11eb-8d02-1e003a340630,65275009,medium,low,
4781953e-a65c-11eb-8d02-1e003a340630,65275009,high,low,
471a08ec-a65c-11eb-8d02-1e003a340630,65275009,high,low,
471c08a4-a65c-11eb-8d02-1e003a340630,65275009,high,very_high,1
477d1950-a65c-11eb-8d02-1e003a340630,69776003,medium,low,
4718acf4-a65c-11eb-8d02-1e003a340630,69776003,high,high,
47374d12-a65c-11eb-8d02-1e003a340630,69776003,low,low,
4781953e-a65c-11eb-8d02-1e003a340630,69776003,high,low,
4736971e-a65c-11eb-8d02-1e003a340630,69776003,very_high,very_high,1
471e0014-a65c-11eb-8d02-1e003a340630,69776003,medium,low,
