uuid,snomed_id,root_snomed_id,root_snomed_name,name,triage_level,relevance_male,relevance_female,relation1_type,child1_name,grouping1_selection_type,relation2_type,child2_name,grouping2_selection_type,relation3_type,child3_name,grouping3_selection_type
00718bf4-9803-4cf6-af0d-fe2f2f444c85,,438457000,Testicular swelling,Testicular swelling <laterality> unilateral,worrisome,,,laterality,unilateral,s,,,,,,
0075a985-8df0-4e5d-8a9b-28703b4fc047,298001000,298001000,Loss of body hair,Loss of body hair,opd_managed,,,,,,,,,,,
009240ed-9f08-4282-94fe-95019295f224,441708007,441708007,Swelling of jaw region,Swelling of jaw region,worrisome,,,,,,,,,,,
00f7b9d6-16d1-4f28-ad41-218920889403,,300874009,Ear swelling,Ear swelling <laterality> left,opd_managed,,,laterality,left,s,,,,,,
00fc66ab-7063-46d1-b7ad-1c1aa33c26dc,,7973008,Abnormal vision,Abnormal vision <agg by> glare,worrisome,,,aggravated,glare,m,,,,,,
0122fe8a-3dad-4f62-9a51-f902f9659cc4,,271807003,Skin rash,Skin rash <char> Ring shaped,opd_managed,,,characteristic,Ring shaped,m,,,,,,
016384c0-dfd5-4100-841c-2abf94d5ff5e,,1071000119107,Oral lesions,Oral lesions <since> 3 days to 7 days,opd_managed,,,duration_since,3 days to 7 days,s,,,,,,
01ec010a-29fa-4f82-8017-4d0150a9ebca,42134006,42134006,Distorted visual image,Distorted visual image,worrisome,,,,,,,,,,,
01fa1bba-fa0c-43b4-96a0-c34e999281a1,,70582006,Scar of skin,Scar of skin <char> Loss of sensation of temperature,opd_managed,,,characteristic,Loss of sensation of temperature,m,,,,,,
020cb83b-8ba8-4893-a5db-7ad349822b09,,53888004,Disturbance in sleep behavior,Disturbance in sleep behavior <char> Sleep walking,worrisome,,,characteristic,Sleep walking,m,,,,,,
0245dafc-c5be-4152-a5a7-432fab9e9ec3,,419326002,Restricted eye movement,Restricted eye movement <laterality> left,worrisome,,,laterality,left,s,,,,,,
029cd606-7931-4190-a016-1cd8c1da3455,,3253007,Discoloration of skin,Discoloration of skin <loc> Upper limb,opd_managed,,,location,Upper limb,m,,,,,,
02d54329-db61-431c-9cdd-73a7993556cb,,26544005,Muscle weakness,Muscle weakness <pattern> intermittent,worrisome,,,temporal_pattern,intermittent,s,,,,,,
