case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,pool_pre,pool_post
3,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B5.1,B4.1,B1.1,B3.1,B2.1","B4.1,B5.1,B1.1,B3.1,B2.1"
4,pilot24,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B1.1,B2.2,B3.2,B4.2,B5.2","B1.1,B2.2,B3.2,B4.2,B5.2"
5,pilot24,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B3.1,B2.1,B1.1,B4.2","B2.1,B3.1,B1.1,B4.2"
7,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B3.2,B1.2,B4.2,B2.2","B1.2,B3.2,B4.2,B2.2"
11,pilot24,pair,0,0,0.0,3,,0,0,0.0,0,0,,"B4.4,B2.1,B3.1,B5.1,B1.1","B4.4,B2.1,B3.1,B5.1,B1.1"
12,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.3,B4.2,B2.3,B3.2,B5.1","B4.2,B1.3,B2.3,B3.2,B5.1"
15,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.1,B4.1,B2.1,B3.1","B4.1,B1.1,B2.1,B3.1"
19,pilot24,pair,1,1,1.0,1,2,1,1,1.0,0,0,,"B3.1,B1.2,B2.2,B4.1,B5.2","B3.1,B1.2,B2.2,B4.1,B5.2"
21,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B4.2,B1.2,B5.2,B3.2,B2.1","B4.2,B1.2,B5.2,B3.2,B2.1"
22,pilot24,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B5.3,B3.3,B2.2,B1.1","B3.3,B5.3,B2.2,B1.1"
27,pilot24,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B2.2,B3.2,B1.1,B4.2","B3.2,B2.2,B1.1,B4.2"
28,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B1.2,B5.2,B2.20,B3.1,B4.17","B1.2,B5.2,B2.20,B3.1,B4.17"
29,pilot24,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B3.1,B4.1,B2.1,B5.1,B1.1","B3.1,B4.1,B2.1,B5.1,B1.1"
33,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B1.1,B4.2,B5.3,B2.2,B3.3","B1.1,B4.2,B5.3,B2.2,B3.3"
36,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B5.1,B1.1,B2.1,B4.2,B3.1","B5.1,B1.1,B2.1,B4.2,B3.1"
39,pilot24,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B1.2,B4.2,B2.2,B3.4","B4.2,B1.2,B2.2,B3.4"
40,pilot24,pair,0,1,0.5,2,3,0,1,0.5,0,1,,"B1.2,B4.1,B2.4,B5.4,B3.3","B4.1,B1.2,B2.4,B5.4,B3.3"
45,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B4.1,B1.1,B3.1,B2.1,B5.1","B1.1,B4.1,B3.1,B2.1,B5.1"
57,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B5.1,B3.1,B2.1,B1.1,B4.1","B3.1,B5.1,B2.1,B1.1,B4.1"
59,pilot24,pair,1,1,1.0,1,1,0,1,0.5,0,1,,"B4.1,B2.1,B1.2,B3.2","B2.1,B4.1,B1.2,B3.2"
60,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B2.2,B1.1,B4.1,B3.1","B1.1,B2.2,B4.1,B3.1"
62,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B2.1,B5.2,B1.2,B3.1,B4.2","B5.2,B2.1,B1.2,B3.1,B4.2"
63,pilot24,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B3.2,B5.2,B1.2,B4.1,B2.1","B3.2,B5.2,B1.2,B4.1,B2.1"
67,pilot24,pair,0,0,0.0,4,,0,0,0.0,0,0,,"B2.3,B5.2,B1.3,B4.2,B3.1","B2.3,B5.2,B1.3,B4.2,B3.1"
72,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B1.1,B2.1,B3.3,B4.1,B5.2","B1.1,B2.1,B3.3,B4.1,B5.2"
74,remain76,pair,0,0,0.0,2,,0,0,0.0,0,0,,"B1.3,B4.3,B2.3,B5.3,B3.3","B1.3,B4.3,B2.3,B5.3,B3.3"
76,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B5.2,B3.4,B2.4,B1.4,B4.2","B5.2,B3.4,B2.4,B1.4,B4.2"
81,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B3.3,B1.1,B5.1,B2.3,B4.1","B3.3,B1.1,B5.1,B2.3,B4.1"
83,remain76,pair,0,0,0.3333333333333333,3,4,0,0,0.3333333333333333,0,1,,"B1.2,B4.3,B2.3,B3.3,B5.4","B4.3,B1.2,B2.3,B3.3,B5.4"
87,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B3.2,B1.2,B4.2,B2.2","B1.2,B3.2,B4.2,B2.2"
89,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B3.3,B1.1,B2.1,B4.1","B3.3,B1.1,B2.1,B4.1"
90,remain76,pair,0,1,0.5,2,5,0,1,0.5,0,1,,"B5.1,B3.1,B2.2,B4.1,B1.3","B3.1,B5.1,B2.2,B4.1,B1.3"
95,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.1,B4.1,B3.1,B2.1,B5.1","B4.1,B1.1,B3.1,B2.1,B5.1"
97,remain76,pair,0,0,0.0,1,,0,0,0.0,0,0,,,
99,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B4.2,B2.3,B3.3,B1.1","B4.2,B2.3,B3.3,B1.1"
100,remain76,pair,0,1,0.5,2,3,0,1,0.5,0,1,,"B5.1,B4.1,B3.2,B1.2,B2.1","B4.1,B5.1,B3.2,B1.2,B2.1"
102,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B4.1,B2.2,B1.1,B3.1","B4.1,B2.2,B1.1,B3.1"
103,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B2.3,B5.1,B1.3,B3.1,B4.3","B2.3,B5.1,B1.3,B3.1,B4.3"
107,remain76,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B2.1,B1.1,B3.1,B4.1","B1.1,B2.1,B3.1,B4.1"
111,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B2.2,B1.2,B5.2,B3.2,B4.2","B1.2,B2.2,B5.2,B3.2,B4.2"
114,remain76,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B5.3,B1.1,B2.3,B3.2,B4.3","B1.1,B5.3,B2.3,B3.2,B4.3"
117,remain76,pair,0,1,0.5,2,5,0,1,0.5,0,1,,"B4.1,B5.2,B2.2,B3.5,B1.1","B5.2,B4.1,B2.2,B3.5,B1.1"
118,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B1.1,B5.1,B3.3,B2.3,B4.1","B1.1,B5.1,B3.3,B2.3,B4.1"
119,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B5.3,B2.5,B4.4,B1.3,B3.3","B2.5,B5.3,B4.4,B1.3,B3.3"
