case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
3,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B5.1,B4.1,B1.1,B3.1,B2.1","B1.1,B3.1,B2.1,B5.1,B4.1"
4,pilot24,both_l1fallback,0,1,0.5,2,5,0,1,0.5,0,1,,,,,"B1.1,B2.2,B3.2,B4.2,B5.2","B3.2,B1.1,B4.2,B5.2,B2.2"
5,pilot24,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,1,,,,,"B3.1,B2.1,B1.1,B4.2","B1.1,B2.1,B3.1,B4.2"
7,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B3.2,B1.2,B4.2,B2.2","B3.2,B1.2,B4.2,B2.2"
11,pilot24,both_l1fallback,0,0,0.0,3,,0,0,0.0,0,1,,,,,"B4.4,B2.1,B3.1,B5.1,B1.1","B2.1,B1.1,B3.1,B4.4,B5.1"
12,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B1.3,B4.2,B2.3,B3.2,B5.1","B1.3,B2.3,B4.2,B5.1,B3.2"
15,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B1.1,B4.1,B2.1,B3.1","B2.1,B1.1,B4.1,B3.1"
19,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B3.1,B1.2,B2.2,B4.1,B5.2","B1.2,B4.1,B5.2,B3.1,B2.2"
21,pilot24,both_l1fallback,1,1,1.0,1,4,1,1,1.0,0,0,,,,,"B4.2,B1.2,B5.2,B3.2,B2.1","B2.1,B3.2,B5.2,B4.2,B1.2"
22,pilot24,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,1,,,,,"B5.3,B3.3,B2.2,B1.1","B3.3,B1.1,B2.2,B5.3"
27,pilot24,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,1,,,,,"B2.2,B3.2,B1.1,B4.2","B1.1,B2.2,B4.2,B3.2"
28,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B1.2,B5.2,B2.20,B3.1,B4.17","B1.2,B2.20,B3.1,B4.17,B5.2"
29,pilot24,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,0,,,,,"B3.1,B4.1,B2.1,B5.1,B1.1","B2.1,B1.1,B3.1,B5.1,B4.1"
33,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B1.1,B4.2,B5.3,B2.2,B3.3","B1.1,B3.3,B2.2,B5.3,B4.2"
36,pilot24,both_l1fallback,0,1,0.5,2,2,1,1,1.0,0,0,,,,,"B5.1,B1.1,B2.1,B4.2,B3.1","B1.1,B3.1,B4.2,B5.1,B2.1"
39,pilot24,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,1,,,,,"B1.2,B4.2,B2.2,B3.4","B1.2,B4.2,B3.4,B2.2"
40,pilot24,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,1,,,,,"B1.2,B4.1,B2.4,B5.4,B3.3","B2.4,B3.3,B5.4,B1.2,B4.1"
45,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B4.1,B1.1,B3.1,B2.1,B5.1","B2.1,B1.1,B3.1,B5.1,B4.1"
57,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B5.1,B3.1,B2.1,B1.1,B4.1","B1.1,B4.1,B3.1,B5.1,B2.1"
59,pilot24,both_l1fallback,0,1,0.5,2,2,0,1,0.5,0,0,,,,,"B4.1,B2.1,B1.2,B3.2","B1.2,B2.1,B4.1,B3.2"
60,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B2.2,B1.1,B4.1,B3.1","B2.2,B1.1,B4.1,B3.1"
62,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B2.1,B5.2,B1.2,B3.1,B4.2","B1.2,B3.1,B2.1,B4.2,B5.2"
63,pilot24,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B3.2,B5.2,B1.2,B4.1,B2.1","B3.2,B1.2,B2.1,B5.2,B4.1"
67,pilot24,both_l1fallback,0,0,0.0,4,,0,0,0.0,0,0,,,,,"B2.3,B5.2,B1.3,B4.2,B3.1","B5.2,B2.3,B1.3,B4.2,B3.1"
72,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B1.1,B2.1,B3.3,B4.1,B5.2","B4.1,B1.1,B3.3,B2.1,B5.2"
74,remain76,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,0,,,,,"B1.3,B4.3,B2.3,B5.3,B3.3","B2.3,B1.3,B5.3,B3.3,B4.3"
76,remain76,both_l1fallback,0,1,0.5,2,3,1,1,1.0,0,0,,,,,"B5.2,B3.4,B2.4,B1.4,B4.2","B4.2,B1.4,B5.2,B2.4,B3.4"
81,remain76,both_l1fallback,1,1,1.0,1,2,1,1,1.0,0,0,,,,,"B3.3,B1.1,B5.1,B2.3,B4.1","B1.1,B3.3,B5.1,B2.3,B4.1"
83,remain76,both_l1fallback,1,1,1.0,1,1,0,0,0.3333333333333333,0,0,,,,,"B1.2,B4.3,B2.3,B3.3,B5.4","B3.3,B1.2,B4.3,B5.4,B2.3"
87,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B3.2,B1.2,B4.2,B2.2","B2.2,B1.2,B3.2,B4.2"
89,remain76,both_l1fallback,0,1,0.5,2,3,1,1,1.0,0,1,,,,,"B3.3,B1.1,B2.1,B4.1","B2.1,B1.1,B4.1,B3.3"
90,remain76,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,0,,,,,"B5.1,B3.1,B2.2,B4.1,B1.3","B1.3,B3.1,B4.1,B2.2,B5.1"
95,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B1.1,B4.1,B3.1,B2.1,B5.1","B2.1,B1.1,B3.1,B4.1,B5.1"
97,remain76,both_l1fallback,0,0,0.0,1,,0,0,0.0,0,0,,,,,,
99,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B4.2,B2.3,B3.3,B1.1","B4.2,B1.1,B3.3,B2.3"
100,remain76,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,0,,,,,"B5.1,B4.1,B3.2,B1.2,B2.1","B1.2,B2.1,B5.1,B3.2,B4.1"
102,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B4.1,B2.2,B1.1,B3.1","B1.1,B2.2,B4.1,B3.1"
103,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B2.3,B5.1,B1.3,B3.1,B4.3","B1.3,B3.1,B2.3,B5.1,B4.3"
107,remain76,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,1,,,,,"B2.1,B1.1,B3.1,B4.1","B2.1,B1.1,B3.1,B4.1"
111,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B2.2,B1.2,B5.2,B3.2,B4.2","B1.2,B2.2,B5.2,B3.2,B4.2"
114,remain76,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,1,,,,,"B5.3,B1.1,B2.3,B3.2,B4.3","B4.3,B1.1,B2.3,B5.3,B3.2"
117,remain76,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,0,,,,,"B4.1,B5.2,B2.2,B3.5,B1.1","B1.1,B4.1,B5.2,B2.2,B3.5"
118,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B1.1,B5.1,B3.3,B2.3,B4.1","B1.1,B2.3,B3.3,B4.1,B5.1"
119,remain76,both_l1fallback,1,1,1.0,1,2,1,1,1.0,0,0,,,,,"B5.3,B2.5,B4.4,B1.3,B3.3","B1.3,B2.5,B3.3,B4.4,B5.3"
120,remain76,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,1,,,,,"B3.4,B1.3,B2.3,B4.3,B5.3","B2.3,B1.3,B3.4,B4.3,B5.3"
122,remain76,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,0,,,,,"B3.1,B4.1,B2.1,B1.1","B2.1,B4.1,B1.1,B3.1"
124,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B1.2,B3.2,B2.1,B4.1","B1.2,B2.1,B4.1,B3.2"
125,remain76,both_l1fallback,0,0,0.0,1,,0,0,0.0,0,1,,,,,"B4.1,B2.1,B3.4,B1.1,B5.1","B4.1,B2.1,B5.1,B1.1,B3.4"
128,remain76,both_l1fallback,0,1,0.5,2,2,1,1,1.0,0,0,,,,,"B4.3,B3.3,B1.2,B2.2","B1.2,B4.3,B3.3,B2.2"
129,remain76,both_l1fallback,0,0,0.0,3,,0,0,0.0,0,1,,,,,"B5.1,B1.1,B4.1,B2.3,B3.1","B3.1,B1.1,B4.1,B5.1,B2.3"
132,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B1.1,B4.3,B3.1,B2.1,B5.1","B1.1,B3.1,B2.1,B4.3,B5.1"
134,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B4.1,B5.1,B3.1,B2.3,B1.1","B1.1,B5.1,B3.1,B4.1,B2.3"
137,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B4.2,B3.2,B2.1,B1.2","B2.1,B1.2,B3.2,B4.2"
139,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B1.3,B4.3,B2.3,B3.2","B1.3,B3.2,B4.3,B2.3"
140,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B3.1,B2.3,B1.1,B4.2","B2.3,B3.1,B1.1,B4.2"
147,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B5.1,B4.1,B2.1,B1.1,B3.1","B2.1,B1.1,B3.1,B4.1,B5.1"
149,remain76,both_l1fallback,1,1,1.0,1,3,1,1,1.0,0,0,,,,,"B3.1,B1.1,B4.1,B5.1,B2.1","B1.1,B3.1,B4.1,B5.1,B2.1"
150,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B4.3,B1.1,B2.1,B3.1","B4.3,B1.1,B2.1,B3.1"
151,remain76,both_l1fallback,0,1,0.5,2,2,0,1,0.5,0,0,,,,,"B3.2,B1.1,B4.1,B2.3","B3.2,B1.1,B4.1,B2.3"
156,remain76,both_l1fallback,0,1,0.5,2,3,1,1,1.0,0,0,,,,,"B2.3,B3.3,B4.2,B1.3,B5.3","B3.3,B1.3,B2.3,B5.3,B4.2"
158,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B2.2,B1.2,B5.2,B3.2,B4.1","B2.2,B1.2,B3.2,B4.1,B5.2"
161,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,0,,,,,"B4.1,B5.1,B3.4,B2.3,B1.3","B3.4,B2.3,B1.3,B5.1,B4.1"
163,remain76,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,1,,,,,"B4.4,B1.3,B5.3,B3.3,B2.1","B1.3,B3.3,B4.4,B5.3,B2.1"
164,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B4.2,B1.1,B3.1,B2.1,B5.1","B1.1,B3.1,B5.1,B4.2,B2.1"
165,remain76,both_l1fallback,1,1,1.0,1,1,0,1,0.5,0,0,,,,,"B2.1,B1.1,B3.2,B4.2","B4.2,B2.1,B1.1,B3.2"
167,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B1.1,B4.1,B3.2,B2.1","B2.1,B1.1,B4.1,B3.2"
173,remain76,both_l1fallback,0,1,0.5,2,3,0,1,0.5,0,0,,,,,"B2.1,B1.2,B3.1,B4.1,B5.1","B1.2,B2.1,B4.1,B5.1,B3.1"
174,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B3.2,B1.2,B4.2,B2.2,B5.2","B3.2,B1.2,B5.2,B2.2,B4.2"
177,remain76,both_l1fallback,0,1,0.5,2,3,0,1,0.5,0,0,,,,,"B1.4,B3.4,B2.1,B4.1,B5.1","B1.4,B2.1,B3.4,B5.1,B4.1"
181,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B5.1,B2.3,B1.3,B3.4,B4.1","B1.3,B3.4,B5.1,B4.1,B2.3"
182,remain76,both_l1fallback,1,1,1.0,1,1,1,1,1.0,0,1,,,,,"B1.3,B4.3,B2.3,B3.3","B2.3,B1.3,B3.3,B4.3"
183,remain76,both_l1fallback,0,0,0.0,2,,0,0,0.0,0,1,,,,,"B2.11,B1.1,B4.1,B3.5","B2.11,B1.1,B4.1,B3.5"
