case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
3,pilot24,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B5.1,B4.1,B1.1,B3.1,B2.1","B5.1,B4.1,B1.1,B3.1,B2.1"
4,pilot24,subdivide,1,1,1.0,1,4,0,1,0.5,0,0,,subdivide,6,"B1.1,B3.2","B1.1.L31,B1.1.L32,B1.1.L33,B2.2,B3.2.L31","B1.1.L31,B1.1.L32,B1.1.L33,B2.2,B3.2.L31"
5,pilot24,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B3.1,B2.1,B1.1,B4.2","B3.1,B2.1,B1.1,B4.2"
7,pilot24,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B3.2,B1.2,B4.2,B2.2","B3.2,B1.2,B4.2,B2.2"
11,pilot24,subdivide,0,0,0.0,3,,0,0,0.0,0,0,,calibrate_only,,,"B4.4,B2.1,B3.1,B5.1,B1.1","B4.4,B2.1,B3.1,B5.1,B1.1"
12,pilot24,subdivide,1,1,1.0,1,7,1,1,1.0,0,0,,subdivide,8,"B1.3,B4.2,B2.3,B3.2","B1.3.L31,B1.3.L32,B4.2.L31,B4.2.L32,B2.3.L31","B1.3.L31,B1.3.L32,B4.2.L31,B4.2.L32,B2.3.L31"
15,pilot24,subdivide,0,1,0.5,2,8,1,1,1.0,0,0,,subdivide,9,"B1.1,B4.1,B2.1","B1.1.L31,B1.1.L32,B1.1.L33,B4.1.L31,B4.1.L32","B1.1.L31,B1.1.L32,B1.1.L33,B4.1.L31,B4.1.L32"
19,pilot24,subdivide,1,1,1.0,1,2,1,1,1.0,0,0,,calibrate_only,,,"B3.1,B1.2,B2.2,B4.1,B5.2","B3.1,B1.2,B2.2,B4.1,B5.2"
21,pilot24,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,subdivide,4,B4.2,"B4.2.L31,B4.2.L32,B4.2.L33,B4.2.L34,B1.2","B4.2.L31,B4.2.L32,B4.2.L33,B4.2.L34,B1.2"
22,pilot24,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B5.3,B3.3,B2.2,B1.1","B5.3,B3.3,B2.2,B1.1"
27,pilot24,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B2.2,B3.2,B1.1,B4.2","B2.2,B3.2,B1.1,B4.2"
28,pilot24,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.2,B5.2,B2.20,B3.1,B4.17","B1.2,B5.2,B2.20,B3.1,B4.17"
29,pilot24,subdivide,1,1,1.0,1,13,0,1,0.5,0,0,,subdivide,15,"B3.1,B4.1,B2.1,B5.1,B1.1","B3.1.L31,B3.1.L32,B3.1.L33,B4.1.L31,B4.1.L32","B3.1.L31,B3.1.L32,B3.1.L33,B4.1.L31,B4.1.L32"
33,pilot24,subdivide,0,1,0.5,2,3,1,1,1.0,0,0,,subdivide,3,B4.2,"B1.1,B4.2.L31,B4.2.L32,B4.2.L33,B5.3","B1.1,B4.2.L31,B4.2.L32,B4.2.L33,B5.3"
36,pilot24,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B5.1,B1.1,B2.1,B4.2,B3.1","B5.1,B1.1,B2.1,B4.2,B3.1"
39,pilot24,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B1.2,B4.2,B2.2,B3.4","B1.2,B4.2,B2.2,B3.4"
