case_id	cohort	arm	skipped_gate	swapped	family_coverage	family_top1	family_top2	family_rr	gold_family_rank	l1_prior_opt1	l1_prior_opt2	l1_prior_rr	mapper_opt1	mapper_opt2	funnel_bucket	parent_source
3	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
4	pilot24	b12	0	0	1	0	0	0.333333	3	0	0	0.333333	0	1	L1_HIT_MISRANK	mapper_leaf_parent
5	pilot24	b12	1	0	0	0	0	0.0		0	0	0.0	0	0	L1_MISS	none
7	pilot24	b12	0	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
11	pilot24	b12	0	0	0	0	0	0.0		0	0	0.0	0	0	L1_MISS	none
12	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
15	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
19	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
21	pilot24	b12	0	0	1	0	0	0.2	5	0	0	0.2	1	1	L1_HIT_MISRANK	mapper_leaf_parent
22	pilot24	b12	1	0	0	0	0	0.0		0	0	0.0	0	0	L1_MISS	none
27	pilot24	b12	1	0	0	0	0	0.0		0	0	0.0	0	0	L1_MISS	none
28	pilot24	b12	0	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
29	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	0	1	L1_OK_OPTION_HIT	mapper_leaf_parent
33	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
36	pilot24	b12	1	0	1	0	1	0.5	2	0	1	0.5	1	1	L1_OK_OPTION_MISS	mapper_leaf_parent
39	pilot24	b12	1	0	0	0	0	0.0		0	0	0.0	0	0	L1_MISS	none
40	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	0	1	L1_OK_OPTION_HIT	mapper_leaf_parent
45	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
57	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
59	pilot24	b12	1	0	1	0	1	0.5	2	0	1	0.5	0	1	L1_OK_OPTION_MISS	mapper_leaf_parent
60	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
62	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
63	pilot24	b12	1	0	1	1	1	1.0	1	1	1	1.0	1	1	L1_OK_OPTION_HIT	mapper_leaf_parent
67	pilot24	b12	1	0	0	0	0	0.0		0	0	0.0	0	0	L1_MISS	none
