arm,desc,cov,top1,top2,mrr,orf4,burden,clean,pinv,dup,dreq,entry,hard,perf,qual,waived,d_cov,d_top2,d_orf4,d_clean,d_pinv,d_dup,pinv_red,dup_red,calls,empty_rank,localOK_e2eFAIL,gold_present_n,orf4_gap_pp
C-prod,生产C对照,76.5,33.3,51.0,42.2,76.5,3.86,56.7,0.0,7.4,0,False,True,False,True,False,-11.8,2.0,0.0,33.7,-37.1,-39.0,100.0,84.0,0,0,13,39,25.5
A-raw,未改A召回基线,88.2,43.1,49.0,46.1,76.5,6.04,22.9,37.1,46.4,0,False,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14,45,27.5
A1,本地parent门控,70.6,21.6,33.3,27.5,60.8,2.24,39.3,13.0,31.3,0,False,True,False,False,False,-17.6,-15.7,-15.7,16.4,-24.1,-15.1,65.0,32.5,29.71,0,14,36,27.5
A2,语义去重+cap,78.4,27.5,35.3,31.4,66.7,2.59,60.8,31.3,3.4,0,False,True,False,False,False,-9.8,-13.7,-9.8,37.9,-5.8,-43.0,15.7,92.6,1.0,0,16,40,31.4
A3,证据重排,82.4,23.5,25.5,24.5,76.5,3.83,22.9,36.2,48.5,0,False,True,False,False,False,-5.9,-23.5,0.0,-0.0,-0.9,2.1,2.4,-4.5,4.88,0,26,42,51.0
A4,A1→A2→A3,70.6,31.4,49.0,40.2,62.7,1.25,75.3,14.6,3.8,0,False,True,False,True,False,-17.6,0.0,-13.7,52.4,-22.5,-42.7,60.6,91.9,33.45,0,7,36,13.7
A5,原始全局仲裁,88.2,13.7,15.7,14.7,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-33.3,5.9,0.0,0.0,0.0,0.0,0.0,0,26,34,45,66.7
A6,A召回+C生成,82.4,31.4,31.4,31.4,66.7,4.99,17.7,39.8,51.9,0,False,True,False,False,False,-5.9,-17.6,-9.8,-5.2,2.7,5.5,-7.3,-11.9,4.88,0,18,42,35.3
A7,全局parent分配,54.9,19.6,29.4,24.5,45.1,1.79,31.6,12.0,42.8,4,False,True,False,False,False,-33.3,-19.6,-31.4,8.7,-25.1,-3.6,67.8,7.8,1.0,4,9,28,15.7
A8,兄弟对比再生,82.4,27.5,27.5,27.5,64.7,4.94,17.6,39.1,51.9,0,False,True,False,False,False,-5.9,-21.6,-11.8,-5.3,2.0,5.5,-5.4,-11.8,4.88,0,19,42,37.3
A9,稳定性共识,56.9,23.5,25.5,24.5,51.0,2.73,28.2,29.5,46.5,0,False,True,False,False,False,-31.4,-23.5,-25.5,5.3,-7.6,0.1,20.4,-0.3,0,0,13,29,25.5
A10,N-best选树,56.9,29.4,31.4,30.4,52.9,2.79,29.5,30.1,44.5,0,False,True,False,False,False,-31.4,-17.6,-23.5,6.5,-7.0,-1.9,18.9,4.1,1.0,0,11,29,21.6
A11,core/shadow,88.2,17.6,19.6,18.6,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-29.4,5.9,0.0,0.0,0.0,0.0,0.0,0,10,32,45,62.7
A12,证据支持门,88.2,25.5,27.5,26.5,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-21.6,5.9,0.0,0.0,0.0,0.0,0.0,0,6,28,45,54.9
A13,反事实剪枝,88.2,21.6,21.6,21.6,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-27.5,5.9,0.0,0.0,0.0,0.0,0.0,0,27,31,45,60.8
A14,动态F4,88.2,31.4,33.3,32.4,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-15.7,5.9,0.0,0.0,0.0,0.0,0.0,0,0,25,45,49.0
A15,双champion,88.2,31.4,33.3,32.4,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-15.7,5.9,0.0,0.0,0.0,0.0,0.0,0,0,25,45,49.0
A16,门控全局叶仲裁,88.2,27.5,29.4,28.4,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-19.6,5.9,0.0,0.0,0.0,0.0,0.0,0,3,27,45,52.9
A17,prior温度,88.2,33.3,35.3,34.3,82.4,6.04,22.9,37.1,46.4,0,False,True,False,True,True,0.0,-13.7,5.9,0.0,0.0,0.0,0.0,0.0,0,0,24,45,47.1
