arm	gold_fixture_arm	n	coverage_count	coverage_pct	top1_count	top1_pct	top2_count	top2_pct	mrr_at_2_pct	oracle_f4_top2_count	oracle_f4_top2_pct	leaf_burden	leaf_clean_pct	parent_invalid_pct	semantic_duplicate_excess_pct	delta_top1_pp_vs_a_raw	delta_top2_pp_vs_a_raw	oracle_minus_top2_pp	empty_ranking_count	downstream_required_count	hard_gates_pass	performance_gates_pass	quality_gates_pass	quality_waived_pure_downstream	entry_gate_pass
C-prod	C	51	39	76.5	15	29.4	24	47.1	38.2	39	76.5	3.86	55.1	0.1	7.5	-5.9	9.8	29.4	0	0	True	False	True	False	False
A-raw	A	51	45	88.2	18	35.3	19	37.3	36.3	42	82.4	6.042	18.6	39.1	49.8	0.0	0.0	45.1	0	0	True	True	False	False	False
A1	A	51	41	80.4	14	27.5	20	39.2	33.3	36	70.6	2.239	34.8	14.0	36.7	-7.8	2.0	31.4	0	0	True	False	False	False	False
A2	A	51	43	84.3	17	33.3	21	41.2	37.3	37	72.5	2.595	57.5	33.7	4.1	-2.0	3.9	31.4	0	0	True	True	False	False	False
A3	A	51	45	88.2	15	29.4	16	31.4	30.4	42	82.4	3.835	17.8	39.6	52.9	-5.9	-5.9	51.0	0	0	True	False	False	False	False
A4	A	51	41	80.4	19	37.3	28	54.9	46.1	37	72.5	1.249	74.9	14.9	4.9	2.0	17.6	17.6	0	0	True	False	True	False	False
A5	A	51	45	88.2	7	13.7	8	15.7	14.7	42	82.4	6.042	18.6	39.1	49.8	-21.6	-21.6	66.7	26	0	True	False	True	True	False
A6	semantic_tier3_proxy	51	45	88.2	19	37.3	19	37.3	37.3	37	72.5	4.988	14.4	41.0	55.7	2.0	0.0	35.3	0	0	True	True	False	False	False
A7	semantic_tier3_proxy	51	31	60.8	13	25.5	18	35.3	30.4	26	51.0	1.792	30.9	12.8	41.5	-9.8	-2.0	15.7	4	4	True	False	False	False	False
A8	semantic_tier3_proxy	51	45	88.2	17	33.3	17	33.3	33.3	36	70.6	4.937	13.5	40.8	55.8	-2.0	-3.9	37.3	0	0	True	False	False	False	False
A9	semantic_tier3_proxy	51	32	62.7	15	29.4	16	31.4	30.4	29	56.9	2.727	20.1	31.4	51.5	-5.9	-5.9	25.5	0	0	True	False	False	False	False
A10	semantic_tier3_proxy	51	32	62.7	18	35.3	19	37.3	36.3	30	58.8	2.79	22.3	31.6	49.4	0.0	0.0	21.6	0	0	True	False	False	False	False
A11	A	51	45	88.2	9	17.6	10	19.6	18.6	42	82.4	6.042	18.6	39.1	49.8	-17.6	-17.6	62.7	10	0	True	False	True	True	False
A12	A	51	45	88.2	13	25.5	14	27.5	26.5	42	82.4	6.042	18.6	39.1	49.8	-9.8	-9.8	54.9	6	0	True	False	True	True	False
A13	A	51	45	88.2	11	21.6	11	21.6	21.6	42	82.4	6.042	18.6	39.1	49.8	-13.7	-15.7	60.8	27	0	True	False	True	True	False
A14	A	51	45	88.2	16	31.4	17	33.3	32.4	42	82.4	6.042	18.6	39.1	49.8	-3.9	-3.9	49.0	0	0	True	False	True	True	False
A15	A	51	45	88.2	16	31.4	17	33.3	32.4	42	82.4	6.042	18.6	39.1	49.8	-3.9	-3.9	49.0	0	0	True	False	True	True	False
A16	A	51	45	88.2	14	27.5	15	29.4	28.4	42	82.4	6.042	18.6	39.1	49.8	-7.8	-7.8	52.9	3	0	True	False	True	True	False
A17	A	51	45	88.2	17	33.3	18	35.3	34.3	42	82.4	6.042	18.6	39.1	49.8	-2.0	-2.0	47.1	0	0	True	False	True	True	False
