arm,replicate,case_id,tree_hash,status,coverage,l1_parent_coverage,gold_l2_coverage,clean_parent_coverage,gold_hint_recall,b_mapping_recall,b_mapping_recall_conditional,generator_retention,gap_gain,duplicate_rate,leaf_burden,llm_calls,generation_llm_calls,generation_model_calls,generation_cache_hits,retrieval_calls,mapping_calls,downstream_llm_calls,oracle_capability_llm_calls,production_e2e_llm_calls,oracle_top1,oracle_top2,oracle_rr,oracle_parent_f4_local_top1,oracle_parent_f4_local_top2,oracle_parent_f4_local_rr,actual_top1,actual_top2,actual_rr,gold_generated,mapping_recall,oracle_capability_model_calls,production_e2e_model_calls,gap_attempted,l1_route,l1_route_top2,l1_gold_parent_rank,local_top1,local_champion,error_attribution
A,1,mb11_pancoast,72354bebab93d8ebeef3f4d22e05823ae561db25a83750f24039d7716abaf35e,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.2857142857142857,5.25,14,14,10,4,4,0,23,18,5,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,1,mb34_leukemoid,bad862dc996bb858e1133a40a3b5de874fd2f12e8ec58f2e0ebdc44ace807960,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.39622641509433965,8.833333333333334,24,24,16,8,6,0,33,25,8,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,1,mb55_glucagonoma,ba8abc8fd90c037fc3d6d4bb79ef7013d8989abd2a2692f24717f1348839f8e7,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.2962962962962963,5.4,19,19,13,6,5,0,17,11,6,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,False,True,2,True,True,success
A,1,mb57_kartagener,7474d340f509614be282c1d178279928aad1309ee7426730f0b9d6643c39014c,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.5833333333333334,4.8,19,19,13,6,5,0,24,18,6,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,1,mb65_cml,d19f1372eb01b0cd76a2e2724176cf1a0bd2ac25ce36a1a7e9cba29e0774e592,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.4583333333333333,4.8,19,19,12,7,5,0,22,16,6,False,True,0.5,False,True,0.5,False,False,0.0,True,True,0,0,True,True,True,1,False,False,local_rank
A,1,mb66_peliosis,a2d138f6694ae40f57ab562bb5d0e51172dc80260b5234e92e22e6b462330cb9,absent,1.0,1.0,False,1.0,,,,,False,0.52,5.0,20,20,15,5,5,0,0,0,0,False,False,0.0,False,False,0.0,False,False,0.0,False,,0,0,True,False,False,,False,False,gold_absent
A,1,mb77_hyperpara,93e738e892563f9991ec210090e9f5c5a1a62d6c87bc4c5905249765c92f0968,unique,1.0,1.0,True,1.0,True,,,True,False,0.23076923076923078,5.2,18,18,12,6,5,0,10,4,6,False,False,0.25,False,False,0.25,False,False,0.0,True,True,0,0,True,False,False,3,False,False,l1_prior_disadvantage
A,1,mb82_adhesions,be45f25123d883713c4b662ed5ef936a3c58bdc553a10b7a83473d7bf1693b84,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.32,5.0,20,20,14,6,5,0,16,10,6,True,True,1.0,True,True,1.0,False,False,0.0,True,True,0,0,True,False,True,2,False,False,l1_prior_disadvantage
A,1,mb83_foreignbody,22b95ff8413a24a65c8f404b77a67bc9116952230b8ad9bc644218749fb10b7f,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.3888888888888889,4.5,16,16,12,4,4,0,17,12,5,False,True,0.5,False,True,0.5,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,1,mxh011,ff1809da63ab204776c95b0b1b2bf8bd931d157cf16589612afb1c64e297df7b,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.6,6.0,20,20,10,10,5,0,25,19,6,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,1,mxh014,ff769ca6d17b1ac02ba469bb001c7c00ca39268fc6bb9113481f76a3c76b4f86,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.2631578947368421,7.6,18,18,11,7,5,0,34,27,7,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,1,mxh036,da84b15ab076141e78f7708c7774c60c4e1d2b5ce058b917c2aee2c9c25cbec1,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.5925925925925926,5.4,20,20,9,11,5,0,24,18,6,True,True,1.0,True,True,1.0,False,True,0.5,True,True,0,0,True,True,True,1,True,True,intergroup
A,1,mxh045,34a1b30da5e69f56a0442581587f6c480c191e52d45425edafd0b10ade59f612,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.65,8.0,19,19,13,6,5,0,22,16,6,False,False,0.3333333333333333,False,False,0.3333333333333333,False,False,0.0,True,True,0,0,True,True,True,1,False,False,local_rank
A,1,mxh046,59091ed5e8c2615a89a1e89a95f33bc8576c332176272fa885ace63113e2b2a3,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.7222222222222222,4.5,16,16,9,7,4,0,17,12,5,False,True,0.5,False,True,0.5,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,1,mxh055,9cfee2dadaed8c1ae5dc28a9d48baa932d9732b8eccd425d4969390fe7a97796,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.38461538461538464,7.8,18,18,12,6,5,0,23,16,7,True,True,1.0,True,True,1.0,False,False,0.0,True,True,0,0,True,True,True,1,False,False,local_rank
A,1,mxh068,7389c0479290a81007184807d32cc9ce7187f82f0fef71bd5fbf25d580fe9ac0,absent,1.0,1.0,False,1.0,,,,,False,0.65,8.0,20,20,13,7,5,0,0,0,0,False,False,0.0,False,False,0.0,False,False,0.0,False,,0,0,True,False,False,,False,False,gold_absent
A,1,mxh075,7bea34eff3bd9c73b8963651d6cef5f5a786e36f4845b142040aa661c9fcb301,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.6,7.0,20,20,12,8,5,0,15,9,6,True,True,1.0,True,True,1.0,False,False,0.3333333333333333,True,True,0,0,True,True,True,1,True,True,intergroup
A,2,mb11_pancoast,2e7c0e68bcccd1b562274bfe099579e95ddd0dedf3d6c1bd554b468d6d4f589d,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.3333333333333333,4.5,13,13,9,4,4,0,18,13,5,True,True,1.0,True,True,1.0,False,True,0.5,True,True,0,0,True,False,True,2,True,True,l1_prior_disadvantage
A,2,mb34_leukemoid,d1565db47952a6b2812a88a433c9143db97d8a1b74fd3014c637130cab32c678,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.5128205128205128,6.5,24,24,14,10,6,0,32,24,8,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,2,mb55_glucagonoma,115585c0166d118d4154656fffb64dc3d6359c4f7f33e3a73d3575c357cca60a,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.3333333333333333,4.8,19,19,12,7,5,0,15,9,6,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,False,True,2,True,True,success
A,2,mb57_kartagener,7694f78181abee444b5b5521af55ef499af271e0239b85c380ef4749afb79a83,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.5555555555555556,5.4,20,20,14,6,5,0,27,21,6,False,True,0.5,False,True,0.5,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,2,mb65_cml,3aeeb9e584833aaf9f0da85174f42dd36dd907a190ee837bc3de7057afd8ea15,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.4166666666666667,4.8,20,20,15,5,5,0,17,11,6,False,True,0.5,False,True,0.5,False,False,0.0,True,True,0,0,True,True,True,1,False,False,local_rank
A,2,mb66_peliosis,5279238a1a7e5c01ed9784999547ea6eda1845591820f5bf8952c75ef9a00219,absent,1.0,1.0,False,1.0,,,,,False,0.5714285714285714,4.2,17,17,12,5,5,0,0,0,0,False,False,0.0,False,False,0.0,False,False,0.0,False,,0,0,True,False,False,,False,False,gold_absent
A,2,mb77_hyperpara,2a6d4e1ec76fed8b17e77f2e39f3df96dd9f38586387127573b8ba13ba189a0c,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.23529411764705882,6.8,16,16,11,5,5,0,14,8,6,True,True,1.0,True,True,1.0,False,False,0.25,True,True,0,0,True,False,True,2,True,True,l1_prior_disadvantage
A,2,mb82_adhesions,0f18a79c994e90aca5f60fdfe362c44cf7d95fba4c929cafd09e4a30a4146a67,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,True,0.28,5.0,20,20,15,5,5,0,13,7,6,False,False,0.25,False,False,0.25,False,False,0.0,True,True,0,0,True,True,True,1,False,False,local_rank
A,2,mb83_foreignbody,5d6e4f546f1b1b296a55288477f5be90a27752ce73268929a3722cb7dbf3b297,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.28,6.25,16,16,11,5,4,0,23,17,6,False,True,0.5,False,True,0.5,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,2,mxh011,45fc0c9db14130e8bbed57833ab45c3ea11f5d5aba81af74272f06e6d18e5ac8,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.5416666666666666,4.8,19,19,11,8,5,0,24,18,6,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,2,mxh014,09098eb365eabb8a1456365dcfe2b8918216890c38d8a53a0101f6178b446a06,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.2631578947368421,7.6,20,20,13,7,5,0,33,26,7,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
A,2,mxh036,3decac71b26d99cf3f7b6d1d836de5a8b48f852b9c0c1e4986b8a8201a521ee1,duplicated_across_l1,1.0,1.0,True,1.0,True,,,True,False,0.42857142857142855,7.0,20,20,11,9,5,0,23,17,6,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0,0,True,True,True,1,True,True,success
