arm,replicate,case_id,tree_hash,all_l2_count,fallback_count,leaf_count,leaf_specific_count,leaf_specific_rate,leaf_parent_invalid_count,leaf_parent_invalid_rate,leaf_semantic_duplicate_count,leaf_semantic_duplicate_rate,leaf_exact_duplicate_count,leaf_exact_duplicate_rate,semantic_duplicate_excess_count,semantic_duplicate_excess_rate,exact_duplicate_excess_count,exact_duplicate_excess_rate,semantic_vs_exact_excess_gap,leaf_clean_count,leaf_clean_rate,novel_vs_c_leaf_count,novel_vs_c_leaf_specific_count,novel_vs_c_leaf_specific_rate,novel_vs_c_leaf_parent_invalid_count,novel_vs_c_leaf_parent_invalid_rate,novel_vs_c_leaf_semantic_duplicate_count,novel_vs_c_leaf_semantic_duplicate_rate,novel_vs_c_leaf_exact_duplicate_count,novel_vs_c_leaf_exact_duplicate_rate,novel_vs_c_semantic_duplicate_excess_count,novel_vs_c_semantic_duplicate_excess_rate,novel_vs_c_exact_duplicate_excess_count,novel_vs_c_exact_duplicate_excess_rate,novel_vs_c_semantic_vs_exact_excess_gap,novel_vs_c_leaf_clean_count,novel_vs_c_leaf_clean_rate
C,1,mb11_pancoast,1f1548f1523db528b40ccb4a8c28a90360ed97c642562a1edce3c99e76684029,16,0,16,14,0.875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,14,0.875,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb34_leukemoid,e6b28297b42f6951de5631d106d062ba2deefb8c30e7f725eb889f3211f4fdc4,24,0,24,12,0.5,0,0.0,6,0.25,2,0.08333333333333333,3,0.125,1,0.041666666666666664,0.08333333333333333,12,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb55_glucagonoma,2cc2ef5124fe60684a8cd28f4e2f4ed885ea847bf8b6a47019627621da108f88,20,0,20,9,0.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,9,0.45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb57_kartagener,6ce939d5e0e0391e231df2a44e14d43b636249dd5272c3ad89753b21a4d3224d,20,0,20,12,0.6,1,0.05,7,0.35,7,0.35,4,0.2,4,0.2,0.0,5,0.25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb65_cml,316fc6b7342a93b2208b8d46093d9cbeede7e739ba0c24be0bdf596becee8b45,19,0,19,10,0.5263157894736842,0,0.0,8,0.42105263157894735,8,0.42105263157894735,4,0.21052631578947367,4,0.21052631578947367,0.0,6,0.3157894736842105,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb66_peliosis,fb65d1c51f91ec728a546776a13bee8792f97947f629ee36d2cea10d418c41d5,20,0,20,18,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,18,0.9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb77_hyperpara,499af00e085d0c6feaac7c6400d4424f19f2e0bae13202a626c6453265ce5094,20,0,20,15,0.75,0,0.0,2,0.1,2,0.1,1,0.05,1,0.05,0.0,15,0.75,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb82_adhesions,2eacc1c39bb6a6d996f688bcdac0a9fe40bc310082910ac00549203261a6ccbe,20,0,20,16,0.8,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0.0,15,0.75,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mb83_foreignbody,ef33efa9080b2097374d5b5ec443522417b20c270652134ec3598800406b9049,16,0,16,10,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,10,0.625,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mxh011,a4bebf32ed4dd20db949ac2f9b02f60b7b2c3b70e62e960a9cb9efef59fac108,20,0,20,15,0.75,0,0.0,2,0.1,2,0.1,1,0.05,1,0.05,0.0,13,0.65,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mxh014,a6b44a9500c7cd2f6a9fbe1eecaa2cbc9408f56364450f13e96e8ea7dcb26481,20,0,20,11,0.55,2,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,11,0.55,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mxh036,c8d53df17db6383f0532d0727978ce50b4b728904fd7fe1d0471ffdcf9d9f554,19,0,19,14,0.7368421052631579,4,0.21052631578947367,2,0.10526315789473684,2,0.10526315789473684,1,0.05263157894736842,1,0.05263157894736842,0.0,9,0.47368421052631576,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mxh045,e17ae23f9ff6e365cfddb8985f151b0c9f4754142647fa7503f1165abe9aee28,18,0,18,7,0.3888888888888889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,0.3888888888888889,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
C,1,mxh046,a0c4c423fc2cb763928435540c0d551155263819ec91e376e4c2df5da6aedc40,13,0,13,7,0.5384615384615384,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,0.5384615384615384,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
