replicate	case_id	contrast	from_cell	to_cell	top2_before	top2_after	transfer	from_funnel	to_funnel
1	mb11_pancoast	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mb11_pancoast	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mb11_pancoast	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mb34_leukemoid	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mb34_leukemoid	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mb34_leukemoid	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mb55_glucagonoma	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mb55_glucagonoma	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mb55_glucagonoma	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mb57_kartagener	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mb57_kartagener	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mb57_kartagener	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mb65_cml	AA_to_AO	AA	AO	False	True	gain	intergroup_rank_loss	success
1	mb65_cml	AA_to_OA	AA	OA	False	False	stable_miss	intergroup_rank_loss	intergroup_rank_loss
1	mb65_cml	AA_to_OO	AA	OO	False	True	gain	intergroup_rank_loss	success
1	mb66_peliosis	AA_to_AO	AA	AO	False	False	stable_miss	technical_failure	technical_failure
1	mb66_peliosis	AA_to_OA	AA	OA	False	False	stable_miss	technical_failure	technical_failure
1	mb66_peliosis	AA_to_OO	AA	OO	False	False	stable_miss	technical_failure	technical_failure
1	mb77_hyperpara	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mb77_hyperpara	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mb77_hyperpara	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mb82_adhesions	AA_to_AO	AA	AO	False	True	gain	local_champion_miss	success
1	mb82_adhesions	AA_to_OA	AA	OA	False	False	stable_miss	local_champion_miss	local_champion_miss
1	mb82_adhesions	AA_to_OO	AA	OO	False	True	gain	local_champion_miss	success
1	mb83_foreignbody	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mb83_foreignbody	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mb83_foreignbody	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mxh011	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mxh011	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mxh011	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mxh014	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mxh014	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mxh014	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mxh036	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mxh036	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mxh036	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mxh045	AA_to_AO	AA	AO	False	False	stable_miss	gold_absent	gold_absent
1	mxh045	AA_to_OA	AA	OA	False	False	stable_miss	gold_absent	gold_absent
1	mxh045	AA_to_OO	AA	OO	False	False	stable_miss	gold_absent	gold_absent
1	mxh046	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mxh046	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mxh046	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mxh055	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mxh055	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mxh055	AA_to_OO	AA	OO	True	True	stable_success	success	success
1	mxh068	AA_to_AO	AA	AO	False	False	stable_miss	gold_absent	gold_absent
1	mxh068	AA_to_OA	AA	OA	False	False	stable_miss	gold_absent	gold_absent
1	mxh068	AA_to_OO	AA	OO	False	False	stable_miss	gold_absent	gold_absent
1	mxh075	AA_to_AO	AA	AO	True	True	stable_success	success	success
1	mxh075	AA_to_OA	AA	OA	True	True	stable_success	success	success
1	mxh075	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mb11_pancoast	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mb11_pancoast	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mb11_pancoast	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mb34_leukemoid	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mb34_leukemoid	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mb34_leukemoid	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mb55_glucagonoma	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mb55_glucagonoma	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mb55_glucagonoma	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mb57_kartagener	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mb57_kartagener	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mb57_kartagener	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mb65_cml	AA_to_AO	AA	AO	False	True	gain	intergroup_rank_loss	success
2	mb65_cml	AA_to_OA	AA	OA	False	False	stable_miss	intergroup_rank_loss	intergroup_rank_loss
2	mb65_cml	AA_to_OO	AA	OO	False	True	gain	intergroup_rank_loss	success
2	mb66_peliosis	AA_to_AO	AA	AO	False	False	stable_miss	local_champion_miss	intergroup_rank_loss
2	mb66_peliosis	AA_to_OA	AA	OA	False	False	stable_miss	local_champion_miss	local_champion_miss
2	mb66_peliosis	AA_to_OO	AA	OO	False	True	gain	local_champion_miss	success
2	mb77_hyperpara	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mb77_hyperpara	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mb77_hyperpara	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mb82_adhesions	AA_to_AO	AA	AO	False	True	gain	local_champion_miss	success
2	mb82_adhesions	AA_to_OA	AA	OA	False	False	stable_miss	local_champion_miss	local_champion_miss
2	mb82_adhesions	AA_to_OO	AA	OO	False	True	gain	local_champion_miss	success
2	mb83_foreignbody	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mb83_foreignbody	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mb83_foreignbody	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mxh011	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mxh011	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mxh011	AA_to_OO	AA	OO	True	True	stable_success	success	success
2	mxh014	AA_to_AO	AA	AO	True	True	stable_success	success	success
2	mxh014	AA_to_OA	AA	OA	True	True	stable_success	success	success
2	mxh014	AA_to_OO	AA	OO	True	True	stable_success	success	success
