case_id,replicate,option_letter,is_gold,option_text,auto_leaf_id,auto_leaf_label,corrected_leaf_id,corrected_leaf_label,binding_verdict,binding_rationale
mb34_leukemoid,1,B,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia,B2.1,Chronic Lymphocytic Leukemia,wrong_leaf,"CLL option must bind to Chronic Lymphocytic Leukemia leaf, not CML"
mb34_leukemoid,2,B,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia,B2.1,Chronic Lymphocytic Leukemia,wrong_leaf,"CLL option must bind to Chronic Lymphocytic Leukemia leaf, not CML"
mb34_leukemoid,3,B,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia,B2.1,Chronic Lymphocytic Leukemia,wrong_leaf,"CLL option must bind to Chronic Lymphocytic Leukemia leaf, not CML"
mb65_cml,1,A,False,Acute lymphoblastic leukemia,B3.4,Acute Myeloid Leukemia,B1.2,Acute Lymphoblastic Leukemia,wrong_leaf,ALL option maps to Acute Lymphoblastic Leukemia leaf
mb65_cml,1,B,False,Acute myelogenous leukemia,B3.4,Acute Myeloid Leukemia,B2.2,Acute Myelogenous Leukemia,wrong_leaf,AML option maps to Acute Myelogenous/Myeloid Leukemia leaf
mb65_cml,1,C,False,Chronic lymphocytic leukemia,B3.4,Acute Myeloid Leukemia,,,should_unmatch,No Chronic Lymphocytic Leukemia leaf in tree
mb65_cml,1,D,True,Chronic myelogenous leukemia,B3.4,Acute Myeloid Leukemia,B3.1,Chronic Myeloid Leukemia,wrong_leaf,Gold CML must bind to Chronic Myeloid/Myelogenous Leukemia leaf
mb65_cml,2,A,False,Acute lymphoblastic leukemia,B1.1,Acute Myeloid Leukemia,B1.2,Acute Lymphoblastic Leukemia,wrong_leaf,ALL option maps to Acute Lymphoblastic Leukemia leaf
mb65_cml,2,B,False,Acute myelogenous leukemia,B1.1,Acute Myeloid Leukemia,B3.4,Acute Myelogenous Leukemia,wrong_leaf,AML option maps to Acute Myelogenous/Myeloid Leukemia leaf
mb65_cml,2,C,False,Chronic lymphocytic leukemia,B1.1,Acute Myeloid Leukemia,,,should_unmatch,No Chronic Lymphocytic Leukemia leaf in tree
mb65_cml,2,D,True,Chronic myelogenous leukemia,B1.1,Acute Myeloid Leukemia,B3.1,Chronic Myelogenous Leukemia,wrong_leaf,Gold CML must bind to Chronic Myeloid/Myelogenous Leukemia leaf
mb65_cml,3,A,False,Acute lymphoblastic leukemia,B3.4,Acute Myeloid Leukemia,B2.1,Acute Lymphoblastic Leukemia,wrong_leaf,ALL option maps to Acute Lymphoblastic Leukemia leaf
mb65_cml,3,B,False,Acute myelogenous leukemia,B3.4,Acute Myeloid Leukemia,B2.2,Acute Myelogenous Leukemia,wrong_leaf,AML option maps to Acute Myelogenous/Myeloid Leukemia leaf
mb65_cml,3,C,False,Chronic lymphocytic leukemia,B3.4,Acute Myeloid Leukemia,,,should_unmatch,No Chronic Lymphocytic Leukemia leaf in tree
mb65_cml,3,D,True,Chronic myelogenous leukemia,B3.4,Acute Myeloid Leukemia,B3.1,Chronic Myeloid Leukemia,wrong_leaf,Gold CML must bind to Chronic Myeloid/Myelogenous Leukemia leaf
mb77_hyperpara,1,C,True,Increased parathyroid hormone,B2.5,Hyperparathyroidism,B3.2,Primary Hyperparathyroidism,wrong_leaf,Increased PTH mechanism should bind Primary Hyperparathyroidism leaf
mb77_hyperpara,2,C,True,Increased parathyroid hormone,B4.1,Hyperparathyroidism,B3.2,Primary Hyperparathyroidism,wrong_leaf,Increased PTH mechanism should bind Primary Hyperparathyroidism leaf
mb77_hyperpara,3,C,True,Increased parathyroid hormone,B4.1,Hyperparathyroidism,B1.2,Primary hyperparathyroidism,wrong_leaf,Increased PTH mechanism should bind Primary Hyperparathyroidism leaf
mxh011,1,B,True,Streptococcus pneumoniae,B3.1,Epiglottitis,B2.2,Pneumonia due to Streptococcus pneumoniae,wrong_leaf,"Gold pathogen option binds to pneumococcal pathogen leaf, not syndrome leaf"
mxh011,2,B,True,Streptococcus pneumoniae,B2.1,Epiglottitis,B2.2,Pneumonia due to Streptococcus pneumoniae,wrong_leaf,"Gold pathogen option binds to pneumococcal pathogen leaf, not syndrome leaf"
mxh011,3,B,True,Streptococcus pneumoniae,B1.1,Epiglottitis,B2.2,Pneumococcal Pneumonia,wrong_leaf,"Gold pathogen option binds to pneumococcal pathogen leaf, not syndrome leaf"
mxh011,3,C,False,Parainfluenza virus,B5.7,Influenza,,,should_unmatch,No parainfluenza-specific leaf; Influenza leaf is wrong entity
mxh055,1,H,False,Nonexertional heat stroke,B1.3,Exertional Heat Stroke,,,should_unmatch,Nonexertional heat stroke must not bind to Exertional Heat Stroke leaf
mxh055,2,H,False,Nonexertional heat stroke,B1.3,Exertional Heat Stroke,,,should_unmatch,Nonexertional heat stroke must not bind to Exertional Heat Stroke leaf
mxh055,3,H,False,Nonexertional heat stroke,B1.2,Exertional Heat Stroke,,,should_unmatch,Nonexertional heat stroke must not bind to Exertional Heat Stroke leaf
mxh068,1,C,False,Haemophilus influenzae type b,B4.7,influenza,,,should_unmatch,Haemophilus influenzae must not bind to generic influenza leaf
mxh068,2,B,False,Parainfluenza virus type 1,B3.6,influenza,,,should_unmatch,Parainfluenza must not bind to generic influenza leaf
mxh068,2,C,False,Haemophilus influenzae type b,B3.6,influenza,,,should_unmatch,Haemophilus influenzae must not bind to generic influenza leaf
