case_id,replicate,auto_mcq_success,auto_gold_rank,binding_mcq_success,binding_gold_rank,synonym_mcq_success,synonym_gold_rank,mcq_changed_by_binding,mcq_changed_by_synonym
mb11_pancoast,1,True,1,True,1,True,1,False,False
mb11_pancoast,2,False,2,False,2,False,2,False,False
mb11_pancoast,3,False,2,False,2,False,2,False,False
mb34_leukemoid,1,True,1,True,1,True,1,False,False
mb34_leukemoid,2,True,1,True,1,True,1,False,False
mb34_leukemoid,3,True,1,True,1,True,1,False,False
mb55_glucagonoma,1,True,1,True,1,True,1,False,False
mb55_glucagonoma,2,True,1,True,1,True,1,False,False
mb55_glucagonoma,3,True,1,True,1,True,1,False,False
mb57_kartagener,1,True,1,True,1,True,1,False,False
mb57_kartagener,2,True,1,True,1,True,1,False,False
mb57_kartagener,3,True,3,True,3,True,3,False,False
mb65_cml,1,False,1,False,,False,,False,False
mb65_cml,2,False,1,False,,False,,False,False
mb65_cml,3,False,1,False,,False,,False,False
mb66_peliosis,1,False,,False,,False,,False,False
mb66_peliosis,2,False,,False,,False,,False,False
mb66_peliosis,3,False,,False,,False,,False,False
mb77_hyperpara,1,True,2,False,,True,4,True,True
mb77_hyperpara,2,True,2,True,4,True,4,False,False
mb77_hyperpara,3,True,1,True,3,True,3,False,False
mb82_adhesions,1,False,,False,,False,,False,False
mb82_adhesions,2,False,,False,,False,,False,False
mb82_adhesions,3,False,,False,,False,,False,False
mb83_foreignbody,1,True,1,True,1,True,1,False,False
mb83_foreignbody,2,True,1,True,1,True,1,False,False
mb83_foreignbody,3,True,1,True,1,True,1,False,False
mxh011,1,True,1,False,,False,,True,False
mxh011,2,True,1,False,,False,,True,False
mxh011,3,True,1,False,,False,,True,False
mxh014,1,True,1,True,1,True,1,False,False
mxh014,2,True,1,True,1,True,1,False,False
mxh014,3,True,1,True,1,True,1,False,False
mxh036,1,False,2,False,2,False,2,False,False
mxh036,2,True,1,True,1,True,1,False,False
mxh036,3,False,3,False,3,False,3,False,False
mxh045,1,False,,False,,False,,False,False
mxh045,2,False,,False,,False,,False,False
mxh045,3,False,,False,,False,,False,False
mxh046,1,True,1,True,1,True,1,False,False
mxh046,2,False,,False,,False,,False,False
mxh046,3,True,1,True,1,True,1,False,False
mxh055,1,False,,False,,False,,False,False
mxh055,2,False,,False,,False,,False,False
mxh055,3,False,,False,,False,,False,False
mxh068,1,False,,False,,False,,False,False
mxh068,2,False,,False,,False,,False,False
mxh068,3,False,,False,,False,,False,False
mxh075,1,False,3,False,3,False,3,False,False
mxh075,2,False,,False,,False,,False,False
mxh075,3,False,,False,,False,,False,False
