arm,replicate,case_id,tree_hash,status,coverage,l1_parent_coverage,gold_l2_coverage,clean_parent_coverage,gold_hint_recall,b_mapping_recall,b_mapping_recall_conditional,generator_retention,gap_gain,duplicate_rate,leaf_burden,llm_calls,generation_llm_calls,generation_model_calls,generation_cache_hits,retrieval_calls,mapping_calls,downstream_llm_calls,oracle_capability_llm_calls,production_e2e_llm_calls,oracle_top1,oracle_top2,oracle_rr,oracle_parent_f4_local_top1,oracle_parent_f4_local_top2,oracle_parent_f4_local_rr,actual_top1,actual_top2,actual_rr,added_leaves,added_specific_rate,added_specific_count,added_duplicate_rate,added_duplicate_count,added_parent_invalid_rate,added_parent_invalid_count,gold_added_yield,gold_added_count,within_parent_duplicate_count,cross_parent_duplicate_count,filter_rejections,budget_rejections,trigger_rate,triggered_parents,topology_loss,c_success_preservation,actual_top1,actual_top2,actual_rr,oracle_parent_f4_local_top1,oracle_parent_f4_local_top2,oracle_parent_f4_local_rr,oracle_capability_model_calls,production_e2e_model_calls
ALL_A_b1,1,mb11_pancoast,b79ed5eab597d17114e8aa49137a575a9f281fe7f3f487c26c90f3a05cc47583,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.5,11,11,0,0,4,0,9,4,5,True,True,1.0,True,True,1.0,True,True,1.0,2,0.5,1,0.5,1,0.5,1,0.0,0,0,0,2,0,1.0,4,0.0,True,True,True,1.0,True,True,1.0,4,5
ALL_A_b1,1,mb34_leukemoid,d4c04f6f80c827980d6ba01888865a3856ab731a1d7169e2e9db2f8a9888782e,absent,1.0,1.0,False,1.0,,,,,False,0.04,4.166666666666667,18,18,0,0,6,0,0,0,0,False,False,0.0,False,False,0.0,False,False,0.0,1,1.0,1,1.0,1,1.0,1,0.0,0,0,1,6,0,1.0,6,0.0,,False,False,0.0,False,False,0.0,0,0
ALL_A_b1,1,mb55_glucagonoma,2cc2ef5124fe60684a8cd28f4e2f4ed885ea847bf8b6a47019627621da108f88,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,15,15,0,0,5,0,10,4,6,True,True,1.0,True,True,1.0,True,True,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1.0,5,0.0,True,True,True,1.0,True,True,1.0,0,0
ALL_A_b1,1,mb57_kartagener,d75f60be8f4c158449d969e391aa56039a42c3414bb6c56255332b105a9111af,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.19047619047619047,4.2,15,15,0,0,5,0,18,12,6,True,True,1.0,True,True,1.0,True,True,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,0,4,7,0,0.8,4,0.0,True,True,True,1.0,True,True,1.0,12,6
ALL_A_b1,1,mb65_cml,c48d9300711d25a12cd3b455875571f3ef482a91309a2baa7014465adaf1b3e1,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.2,4.0,15,15,0,0,5,0,19,13,6,True,True,1.0,True,True,1.0,False,False,0.3333333333333333,1,1.0,1,0.0,0,1.0,1,0.0,0,0,4,5,0,1.0,5,0.0,,False,False,0.3333333333333333,True,True,1.0,13,6
ALL_A_b1,1,mb66_peliosis,14facd8e18182a4b9a8c689d101de34752048f491d0bd085b0f7a1e9f0965a68,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.2,14,14,0,0,5,0,4,4,0,True,True,1.0,True,True,1.0,False,False,0.0,1,1.0,1,0.0,0,1.0,1,0.0,0,0,0,5,0,1.0,5,0.0,,False,False,0.0,True,True,1.0,4,0
ALL_A_b1,1,mb77_hyperpara,bcf72849b5129ac49bf1aa0f805b9fe847e4aada24d1b865b54bb5495c0a6852,unique,1.0,1.0,True,1.0,,,,,False,0.043478260869565216,4.6,15,15,0,0,5,0,11,5,6,True,True,1.0,True,True,1.0,False,True,0.5,3,0.6666666666666666,2,0.6666666666666666,2,0.3333333333333333,1,0.0,0,0,1,2,0,1.0,5,0.0,True,False,True,0.5,True,True,1.0,5,6
ALL_A_b1,1,mb82_adhesions,a2ac7655e063ad6fadb1cbab25ef2a1fa377198e4a0f02a9c641422e78bca5d6,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.4,14,14,0,0,5,0,11,5,6,True,True,1.0,True,True,1.0,False,False,0.0,2,1.0,2,0.5,1,0.5,1,0.0,0,0,0,4,0,1.0,5,0.0,,False,False,0.0,True,True,1.0,5,6
ALL_A_b1,1,mb83_foreignbody,d113cc46bb6d6a2567929df59b7493391652bef69deee0c7fc502ddacc52aa9a,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.25,12,12,0,0,4,0,10,5,5,False,True,0.5,False,True,0.5,False,False,0.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0,0,4,0,1.0,4,0.0,False,False,False,0.0,False,True,0.5,5,5
ALL_A_b1,1,mxh011,c48036cb7313c31b222862805015655de5bbdc8e1105384f76dbd003e49c5865,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.043478260869565216,4.6,15,15,0,0,5,0,14,8,6,True,True,1.0,True,True,1.0,True,True,1.0,3,1.0,3,0.3333333333333333,1,0.0,0,0.0,0,0,1,5,0,1.0,5,0.0,True,True,True,1.0,True,True,1.0,8,6
