arm,replicate,case_id,top1,top2,mrr2,rank,schema_valid,served_chunks
N0-CoT-live-production-RAG,1,mb11_pancoast,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mb34_leukemoid,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,1,mb55_glucagonoma,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mb57_kartagener,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mb65_cml,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mb66_peliosis,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mb77_hyperpara,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mb82_adhesions,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mb83_foreignbody,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,1,mxh011,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,1,mxh014,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mxh036,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,1,mxh045,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,1,mxh046,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,1,mxh055,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,1,mxh068,False,False,0.0,,True,12
N0-CoT-live-production-RAG,1,mxh075,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mb11_pancoast,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mb34_leukemoid,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,2,mb55_glucagonoma,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mb57_kartagener,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mb65_cml,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mb66_peliosis,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mb77_hyperpara,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,2,mb82_adhesions,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mb83_foreignbody,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,2,mxh011,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,2,mxh014,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mxh036,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,2,mxh045,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,2,mxh046,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,2,mxh055,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,2,mxh068,False,False,0.0,,True,12
N0-CoT-live-production-RAG,2,mxh075,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,3,mb11_pancoast,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mb34_leukemoid,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,3,mb55_glucagonoma,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mb57_kartagener,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,3,mb65_cml,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mb66_peliosis,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mb77_hyperpara,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mb82_adhesions,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mb83_foreignbody,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,3,mxh011,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,3,mxh014,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mxh036,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,3,mxh045,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,3,mxh046,True,True,1.0,1,True,12
N0-CoT-live-production-RAG,3,mxh055,False,True,0.5,2,True,12
N0-CoT-live-production-RAG,3,mxh068,False,False,0.0,,True,12
N0-CoT-live-production-RAG,3,mxh075,False,True,0.5,2,True,12
N0-CoT-no-RAG,1,mb11_pancoast,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mb34_leukemoid,False,True,0.5,2,True,0
N0-CoT-no-RAG,1,mb55_glucagonoma,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mb57_kartagener,False,True,0.5,2,True,0
N0-CoT-no-RAG,1,mb65_cml,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mb66_peliosis,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mb77_hyperpara,True,True,1.0,1,True,0
N0-CoT-no-RAG,1,mb82_adhesions,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mb83_foreignbody,False,True,0.5,2,True,0
N0-CoT-no-RAG,1,mxh011,True,True,1.0,1,True,0
N0-CoT-no-RAG,1,mxh014,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mxh036,False,True,0.5,2,True,0
N0-CoT-no-RAG,1,mxh045,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mxh046,True,True,1.0,1,True,0
N0-CoT-no-RAG,1,mxh055,True,True,1.0,1,True,0
N0-CoT-no-RAG,1,mxh068,False,False,0.0,,True,0
N0-CoT-no-RAG,1,mxh075,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mb11_pancoast,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mb34_leukemoid,False,True,0.5,2,True,0
N0-CoT-no-RAG,2,mb55_glucagonoma,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mb57_kartagener,False,True,0.5,2,True,0
N0-CoT-no-RAG,2,mb65_cml,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mb66_peliosis,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mb77_hyperpara,True,True,1.0,1,True,0
N0-CoT-no-RAG,2,mb82_adhesions,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mb83_foreignbody,False,True,0.5,2,True,0
N0-CoT-no-RAG,2,mxh011,True,True,1.0,1,True,0
N0-CoT-no-RAG,2,mxh014,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mxh036,False,True,0.5,2,True,0
N0-CoT-no-RAG,2,mxh045,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mxh046,False,True,0.5,2,True,0
N0-CoT-no-RAG,2,mxh055,True,True,1.0,1,True,0
N0-CoT-no-RAG,2,mxh068,False,False,0.0,,True,0
N0-CoT-no-RAG,2,mxh075,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mb11_pancoast,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mb34_leukemoid,False,True,0.5,2,True,0
N0-CoT-no-RAG,3,mb55_glucagonoma,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mb57_kartagener,False,True,0.5,2,True,0
N0-CoT-no-RAG,3,mb65_cml,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mb66_peliosis,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mb77_hyperpara,True,True,1.0,1,True,0
N0-CoT-no-RAG,3,mb82_adhesions,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mb83_foreignbody,False,True,0.5,2,True,0
N0-CoT-no-RAG,3,mxh011,True,True,1.0,1,True,0
N0-CoT-no-RAG,3,mxh014,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mxh036,False,True,0.5,2,True,0
N0-CoT-no-RAG,3,mxh045,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mxh046,True,True,1.0,1,True,0
N0-CoT-no-RAG,3,mxh055,True,True,1.0,1,True,0
N0-CoT-no-RAG,3,mxh068,False,False,0.0,,True,0
N0-CoT-no-RAG,3,mxh075,False,False,0.0,,True,0
