rank	arm	category	n	n_error	option_top1	option_top2	mrr2	method	runs_root
0	Ours-compat-synonym_bind	tree_method (Approach A live)	100	0	0.81	0.93	0.95	synonym_bind_repair	analysis/l1_recall_failure_v1/smoke_synonym_bind_live
1	B07-meddxagent-complete	API+shared RAG (MEDDx complete-profile)	100	0	0.62	0.71	0.665	meddxagent_complete_profile	diagnosisarena_remaining_v1
2	B06-mac-single-vendor	API pure multi-step	100	0	0.61	0.67	0.64	mac_single_vendor	diagnosisarena_fixed_v1
3	B04-dual-inf	API pure multi-step	100	0	0.6	0.7	0.65	dual_inf	diagnosisarena_fixed_v1
4	B17-imedrag	API+shared RAG (i-MedRAG)	100	0	0.6	0.67	0.635	imedrag	diagnosisarena_imedrag_v1
5	B05-mdagents	API pure multi-step	100	0	0.58	0.67	0.625	mdagents	diagnosisarena_fixed_v1
6	B13-self-refine-1	API pure multi-step	100	0	0.57	0.62	0.595		diagnosisarena_remaining_v1
7	B02-flat-matched-rerank	API+shared RAG	100	0	0.56	0.63	0.595	flat_matched_rerank	diagnosisarena_fixed_v1
8	B01-cot-rag	API+shared RAG	100	0	0.55	0.63	0.59		diagnosisarena_rag_smoke_live
9	B00-direct-cot	API pure	100	0	0.54	0.61	0.575		diagnosisarena_remaining_v1
10	B11b-cod-prompt-shared-kb	API+shared RAG	100	0	0.54	0.55	0.545		diagnosisarena_rag_smoke_live
11	B12-sc-cot-5	API pure	100	0	0.52	0.61	0.565	rrf	diagnosisarena_remaining_v1
12	B03-flat-beam	API+shared RAG	100	0	0.52	0.6	0.56	flat_beam	diagnosisarena_remaining_v1
13	B15-medprompt-style	API+shared RAG	100	0	0.52	0.57	0.545	medprompt_shared_kb	diagnosisarena_fixed_v1
14	B16-medrag-kg	API+shared RAG	100	0	0.48	0.52	0.5	medrag_elicited_shared_kb	diagnosisarena_fixed_v1
15	B11a-official-diagnosisgpt	Local GPU (resource-unmatched)	100	0	0.14	0.14	0.14		diagnosisarena_b11a_smoke
