arm	category	n	err	acc_llm	hits	k
Ours-compat	tree	100	0	0.47	47	5
B04-dual-inf	API pure	100	0	0.47	47	2
B00-direct-cot	API pure	100	0	0.45	45	2
B06-mac-single-vendor	API pure	100	0	0.45	45	2
B12-sc-cot-5	API pure	100	0	0.43	43	2
B07-meddxagent-complete	API+shared RAG	100	0	0.41	41	2
B05-mdagents	API pure	100	0	0.4	40	2
B17-imedrag	API+shared RAG	100	0	0.38	38	2
B01-cot-rag	API+shared RAG	100	0	0.37	37	2
B03-flat-beam	API+shared RAG	100	0	0.36	36	2
B11b-cod-prompt-shared-kb	API+shared RAG	100	0	0.36	36	2
B13-self-refine-1	API pure	100	0	0.35	35	2
B02-flat-matched-rerank	API+shared RAG	100	0	0.34	34	2
B16-medrag-kg	API+shared RAG	100	0	0.33	33	2
B15-medprompt-style	API+shared RAG	100	0	0.29	29	2
